,is_returning,num_ebikes_available,is_installed,last_reported,eightd_has_available_keys,legacy_id,num_docks_disabled,num_bikes_available,station_status,station_id,num_docks_available,is_renting,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,2020-07-30 14:04:38+00:00,True,3,0,12,active,3,3,True,0,,,2020-07-30 14:21:50,2020
1,True,0,True,2020-07-30 14:08:53+00:00,False,4,0,10,active,4,8,True,1,,,2020-07-30 14:21:50,2020
2,True,0,True,2020-07-30 14:14:25+00:00,False,5,0,3,active,5,11,True,1,,,2020-07-30 14:21:50,2020
3,True,0,True,2020-07-30 14:14:33+00:00,False,6,0,10,active,6,5,True,0,,,2020-07-30 14:21:50,2020
4,True,0,True,2020-07-30 14:10:55+00:00,False,7,0,8,active,7,6,True,1,,,2020-07-30 14:21:50,2020
5,True,0,True,2020-07-30 14:05:21+00:00,False,8,0,2,active,8,15,True,2,,,2020-07-30 14:21:50,2020
6,True,0,True,2020-07-30 14:02:50+00:00,False,9,0,1,active,9,14,True,0,,,2020-07-30 14:21:50,2020
7,True,0,True,2020-07-30 14:20:21+00:00,False,10,0,5,active,10,6,True,0,,,2020-07-30 14:21:50,2020
8,True,0,True,2020-07-30 14:16:12+00:00,False,11,0,10,active,11,5,True,0,"{'off_dock_count': 55, 'region': 'BOS', 'off_dock_capacity': 50, 'valet_revision': 73, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 14:21:50,2020
9,True,0,True,2020-07-30 14:21:33+00:00,True,12,0,5,active,12,11,True,2,,,2020-07-30 14:21:50,2020
10,True,0,True,2020-07-30 13:47:50+00:00,False,13,0,18,active,13,1,True,0,,,2020-07-30 14:21:50,2020
11,True,0,True,2020-07-30 14:20:34+00:00,False,14,0,22,active,14,3,True,0,,,2020-07-30 14:21:50,2020
12,True,0,True,2020-07-30 14:20:09+00:00,False,15,0,9,active,15,6,True,0,,,2020-07-30 14:21:50,2020
13,True,0,True,2020-07-30 14:09:30+00:00,True,16,0,1,active,16,16,True,2,,,2020-07-30 14:21:50,2020
14,True,0,True,2020-07-30 14:20:49+00:00,False,17,0,9,active,17,6,True,0,,,2020-07-30 14:21:50,2020
15,True,0,True,2020-07-30 13:51:57+00:00,False,19,0,4,active,19,11,True,0,,,2020-07-30 14:21:50,2020
16,True,0,True,2020-07-30 13:58:54+00:00,True,20,0,13,active,20,10,True,0,,,2020-07-30 14:21:50,2020
17,True,0,True,2020-07-30 14:12:42+00:00,True,21,0,12,active,21,6,True,0,,,2020-07-30 14:21:50,2020
18,True,0,True,2020-07-30 14:20:40+00:00,True,22,0,12,active,22,34,True,1,,,2020-07-30 14:21:50,2020
19,True,0,True,2020-07-30 14:20:37+00:00,True,23,0,14,active,23,7,True,0,,,2020-07-30 14:21:50,2020
20,True,0,True,2020-07-30 13:41:19+00:00,False,24,0,14,active,24,4,True,1,,,2020-07-30 14:21:50,2020
21,True,0,True,2020-07-30 14:18:03+00:00,False,25,0,5,active,25,10,True,0,,,2020-07-30 14:21:50,2020
22,True,0,True,2020-07-30 12:29:40+00:00,False,26,0,0,active,26,13,True,2,,,2020-07-30 14:21:50,2020
23,True,0,True,2020-07-30 14:11:46+00:00,False,27,0,1,active,27,20,True,2,,,2020-07-30 14:21:50,2020
24,True,0,True,2020-07-30 13:11:12+00:00,False,29,0,9,active,29,6,True,0,,,2020-07-30 14:21:50,2020
25,True,0,True,2020-07-30 13:48:56+00:00,False,30,0,12,active,30,3,True,0,,,2020-07-30 14:21:50,2020
26,True,0,True,2020-07-30 13:58:17+00:00,True,31,0,6,active,31,12,True,1,,,2020-07-30 14:21:50,2020
27,True,0,True,2020-07-30 13:31:11+00:00,False,32,0,8,active,32,5,True,2,,,2020-07-30 14:21:50,2020
28,True,0,True,2020-07-30 14:03:48+00:00,False,33,0,22,active,33,4,True,1,,,2020-07-30 14:21:50,2020
29,True,0,True,2020-07-30 14:13:59+00:00,False,35,0,15,active,35,8,True,0,,,2020-07-30 14:21:50,2020
30,True,0,True,2020-07-30 14:20:57+00:00,True,36,0,15,active,36,18,True,0,,,2020-07-30 14:21:50,2020
31,True,0,True,2020-07-30 12:18:22+00:00,True,37,0,4,active,37,11,True,0,,,2020-07-30 14:21:50,2020
32,True,0,True,2020-07-30 14:05:15+00:00,False,39,0,11,active,39,10,True,2,,,2020-07-30 14:21:50,2020
33,True,0,True,2020-07-30 14:20:14+00:00,False,40,0,1,active,40,18,True,0,,,2020-07-30 14:21:50,2020
34,True,0,True,2020-07-30 14:19:17+00:00,True,41,0,19,active,41,7,True,1,,,2020-07-30 14:21:50,2020
35,True,0,True,2020-07-30 14:16:46+00:00,False,42,0,18,active,42,5,True,0,,,2020-07-30 14:21:50,2020
36,True,0,True,2020-07-30 12:47:18+00:00,True,43,0,8,active,43,7,True,0,,,2020-07-30 14:21:50,2020
37,True,0,True,2020-07-30 13:35:31+00:00,False,44,0,10,active,44,12,True,1,,,2020-07-30 14:21:50,2020
38,True,0,True,2020-07-30 14:17:26+00:00,False,46,0,1,active,46,18,True,0,,,2020-07-30 14:21:50,2020
39,True,0,True,2020-07-30 14:19:39+00:00,True,47,0,7,active,47,12,True,0,,,2020-07-30 14:21:50,2020
40,True,0,True,2020-07-30 13:31:24+00:00,False,48,0,14,active,48,5,True,0,,,2020-07-30 14:21:50,2020
41,True,0,True,2020-07-30 14:08:11+00:00,False,49,0,5,active,49,13,True,0,,,2020-07-30 14:21:50,2020
42,True,0,True,2020-07-30 14:21:11+00:00,True,50,0,6,active,50,9,True,0,,,2020-07-30 14:21:50,2020
43,True,0,True,2020-07-30 13:59:48+00:00,False,51,0,4,active,51,10,True,1,,,2020-07-30 14:21:50,2020
44,True,0,True,2020-07-30 13:32:11+00:00,True,52,0,0,active,52,23,True,0,,,2020-07-30 14:21:50,2020
45,True,0,True,2020-07-30 13:40:48+00:00,False,53,0,0,active,53,19,True,0,,,2020-07-30 14:21:50,2020
46,True,0,True,2020-07-30 13:38:06+00:00,False,54,0,3,active,54,12,True,0,,,2020-07-30 14:21:50,2020
47,True,0,True,2020-07-30 14:07:47+00:00,False,55,0,12,active,55,3,True,0,,,2020-07-30 14:21:50,2020
48,True,0,True,2020-07-30 14:21:15+00:00,True,56,0,11,active,56,7,True,0,,,2020-07-30 14:21:50,2020
49,True,0,True,2020-07-30 14:15:50+00:00,True,57,0,2,active,57,12,True,0,,,2020-07-30 14:21:50,2020
50,True,0,True,2020-07-30 14:06:59+00:00,True,58,0,9,active,58,10,True,0,,,2020-07-30 14:21:50,2020
51,True,0,True,2020-07-30 14:04:19+00:00,True,59,0,8,active,59,11,True,0,,,2020-07-30 14:21:50,2020
52,True,0,True,2020-07-30 14:19:57+00:00,False,60,0,5,active,60,14,True,0,"{'off_dock_count': 36, 'region': 'BOS', 'off_dock_capacity': 40, 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 14:21:50,2020
53,True,0,True,2020-07-30 14:09:16+00:00,False,61,0,9,active,61,10,True,0,,,2020-07-30 14:21:50,2020
54,True,0,True,2020-07-30 12:36:54+00:00,False,63,0,14,active,63,1,True,0,,,2020-07-30 14:21:50,2020
55,True,0,True,2020-07-30 14:05:27+00:00,False,64,0,8,active,64,9,True,2,,,2020-07-30 14:21:50,2020
56,True,0,True,2020-07-30 12:59:16+00:00,False,65,0,10,active,65,13,True,0,,,2020-07-30 14:21:50,2020
57,True,0,True,2020-07-30 14:14:29+00:00,False,66,0,1,active,66,14,True,0,,,2020-07-30 14:21:50,2020
58,True,0,True,2020-07-30 14:19:05+00:00,True,67,0,13,active,67,14,True,0,,,2020-07-30 14:21:50,2020
59,True,0,True,2020-07-30 14:19:51+00:00,True,68,0,6,active,68,11,True,2,,,2020-07-30 14:21:50,2020
60,True,0,True,2020-07-30 13:40:01+00:00,True,69,0,6,active,69,13,True,0,,,2020-07-30 14:21:50,2020
61,True,0,True,2020-07-30 14:16:38+00:00,False,70,0,2,active,70,21,True,0,,,2020-07-30 14:21:50,2020
62,True,0,True,2020-07-30 14:21:22+00:00,False,71,0,20,active,71,3,True,0,,,2020-07-30 14:21:50,2020
63,True,0,True,2020-07-30 13:55:01+00:00,False,72,0,3,active,72,20,True,0,,,2020-07-30 14:21:50,2020
64,True,0,True,2020-07-30 13:58:01+00:00,False,73,0,10,active,73,4,True,1,,,2020-07-30 14:21:50,2020
