,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
57,66,True,True,active,0,9,6,66,False,2020-08-20 23:32:31+00:00,True,0,0,,,2020-08-20 23:33:35,2020
58,67,True,True,active,3,5,19,67,True,2020-08-20 23:23:44+00:00,True,0,0,,,2020-08-20 23:33:35,2020
59,68,True,True,active,0,1,18,68,True,2020-08-20 23:33:31+00:00,True,0,0,,,2020-08-20 23:33:35,2020
60,69,True,True,active,0,0,19,69,True,2020-08-20 23:26:30+00:00,True,0,0,,,2020-08-20 23:33:35,2020
61,70,True,True,active,0,8,15,70,False,2020-08-20 23:23:48+00:00,True,0,0,,,2020-08-20 23:33:35,2020
62,71,True,True,active,2,8,13,71,False,2020-08-20 23:32:06+00:00,True,0,0,,,2020-08-20 23:33:35,2020
63,72,True,True,active,0,22,1,72,False,2020-08-20 23:27:14+00:00,True,0,0,,,2020-08-20 23:33:35,2020
64,73,True,True,active,0,7,8,73,False,2020-08-20 23:19:49+00:00,True,0,0,,,2020-08-20 23:33:35,2020
65,74,True,True,active,2,8,9,74,True,2020-08-20 23:31:03+00:00,True,0,0,,,2020-08-20 23:33:35,2020
66,75,True,True,active,1,10,4,75,False,2020-08-20 23:29:15+00:00,True,0,0,,,2020-08-20 23:33:35,2020
67,76,True,True,active,1,6,10,76,False,2020-08-20 23:33:34+00:00,True,0,0,,,2020-08-20 23:33:35,2020
68,77,True,True,active,0,13,2,77,False,2020-08-20 22:29:03+00:00,True,0,0,,,2020-08-20 23:33:35,2020
69,78,True,True,active,0,11,8,78,False,2020-08-20 23:31:18+00:00,True,0,0,,,2020-08-20 23:33:35,2020
70,79,True,True,active,2,7,10,79,False,2020-08-20 23:26:43+00:00,True,0,0,,,2020-08-20 23:33:35,2020
71,80,True,True,active,0,35,0,80,False,2020-08-20 23:20:34+00:00,True,0,0,,,2020-08-20 23:33:35,2020
72,81,True,True,active,0,2,17,81,False,2020-08-20 23:32:18+00:00,True,0,0,,,2020-08-20 23:33:35,2020
73,82,True,True,active,1,12,2,82,False,2020-08-20 23:33:31+00:00,True,0,0,,,2020-08-20 23:33:35,2020
74,84,True,True,active,0,6,9,84,False,2020-08-20 23:31:26+00:00,True,0,0,,,2020-08-20 23:33:35,2020
75,85,True,True,active,0,19,0,85,False,2020-08-20 22:29:05+00:00,True,0,0,,,2020-08-20 23:33:35,2020
76,86,True,True,active,0,17,2,86,False,2020-08-20 23:31:32+00:00,True,0,0,,,2020-08-20 23:33:35,2020
77,87,True,True,active,1,10,4,87,False,2020-08-20 23:31:22+00:00,True,0,0,,,2020-08-20 23:33:35,2020
78,89,True,True,active,0,7,12,89,False,2020-08-20 23:25:15+00:00,True,0,0,,,2020-08-20 23:33:35,2020
79,90,True,True,active,0,11,8,90,False,2020-08-20 23:31:59+00:00,True,0,0,,,2020-08-20 23:33:35,2020
80,91,True,True,active,0,14,5,91,False,2020-08-20 23:33:30+00:00,True,0,0,,,2020-08-20 23:33:35,2020
81,92,True,True,active,0,10,9,92,False,2020-08-20 22:56:07+00:00,True,0,0,,,2020-08-20 23:33:35,2020
82,93,True,True,active,0,0,15,93,False,2020-08-20 21:54:05+00:00,True,0,0,,,2020-08-20 23:33:35,2020
83,94,True,True,active,1,5,5,94,False,2020-08-20 22:56:44+00:00,True,0,0,,,2020-08-20 23:33:35,2020
