,is_renting,num_bikes_disabled,last_reported,station_status,num_ebikes_available,station_id,eightd_has_available_keys,legacy_id,num_docks_available,num_docks_disabled,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,True,0,2020-07-11 22:06:36+00:00,active,0,56,True,56,16,1,True,True,1,,,2020-07-11 23:29:05,2020
49,True,0,2020-07-11 23:17:37+00:00,active,0,57,True,57,1,0,True,True,13,,,2020-07-11 23:29:05,2020
50,True,2,2020-07-11 23:26:36+00:00,active,0,58,True,58,16,0,True,True,1,,,2020-07-11 23:29:05,2020
51,True,1,2020-07-11 22:16:02+00:00,active,0,59,True,59,17,0,True,True,1,,,2020-07-11 23:29:05,2020
52,True,1,2020-07-11 23:28:12+00:00,active,0,60,False,60,9,0,True,True,9,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_capacity': 40, 'valet_revision': 44, 'active': True, 'off_dock_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",2020-07-11 23:29:05,2020
53,True,0,2020-07-11 23:25:58+00:00,active,0,61,False,61,14,0,True,True,5,,,2020-07-11 23:29:05,2020
54,True,0,2020-07-11 21:41:12+00:00,active,0,63,False,63,7,0,True,True,8,,,2020-07-11 23:29:05,2020
55,True,1,2020-07-11 23:26:20+00:00,active,0,64,False,64,2,0,True,True,16,,,2020-07-11 23:29:05,2020
56,True,0,2020-07-11 22:51:08+00:00,active,0,65,False,65,17,0,True,True,6,,,2020-07-11 23:29:05,2020
57,True,0,2020-07-11 23:23:59+00:00,active,0,66,False,66,10,0,True,True,5,,,2020-07-11 23:29:05,2020
58,True,0,2020-07-11 23:28:28+00:00,active,0,67,True,67,19,0,True,True,8,,,2020-07-11 23:29:05,2020
59,True,0,2020-07-11 23:25:03+00:00,active,0,68,True,68,13,0,True,True,6,,,2020-07-11 23:29:05,2020
60,True,1,2020-07-11 23:26:44+00:00,active,0,69,True,69,15,0,True,True,3,,,2020-07-11 23:29:05,2020
61,True,1,2020-07-11 22:55:37+00:00,active,0,70,False,70,4,0,True,True,18,,,2020-07-11 23:29:05,2020
62,True,0,2020-07-11 23:26:41+00:00,active,0,71,False,71,5,0,True,True,18,,,2020-07-11 23:29:05,2020
63,True,2,2020-07-11 23:28:05+00:00,active,0,72,False,72,14,0,True,True,7,,,2020-07-11 23:29:05,2020
64,True,0,2020-07-11 23:15:14+00:00,active,0,73,False,73,2,0,True,True,13,,,2020-07-11 23:29:05,2020
65,True,2,2020-07-11 23:28:41+00:00,active,0,74,True,74,5,0,True,True,12,,,2020-07-11 23:29:05,2020
66,True,0,2020-07-11 23:23:00+00:00,active,0,75,False,75,9,0,True,True,6,,,2020-07-11 23:29:05,2020
67,True,0,2020-07-11 23:24:14+00:00,active,0,76,False,76,17,0,True,True,0,,,2020-07-11 23:29:05,2020
68,True,0,2020-07-11 23:17:53+00:00,active,0,77,False,77,8,0,True,True,7,,,2020-07-11 23:29:05,2020
69,True,0,2020-07-11 23:20:53+00:00,active,0,78,False,78,1,0,True,True,18,,,2020-07-11 23:29:05,2020
70,True,0,2020-07-11 22:11:12+00:00,active,0,79,False,79,19,0,True,True,0,,,2020-07-11 23:29:05,2020
71,True,0,2020-07-11 23:14:07+00:00,active,0,80,False,80,21,0,True,True,14,,,2020-07-11 23:29:05,2020
72,True,1,2020-07-11 23:27:24+00:00,active,0,81,False,81,12,0,True,True,6,,,2020-07-11 23:29:05,2020
73,True,0,2020-07-11 23:28:53+00:00,active,0,82,False,82,11,0,True,True,4,,,2020-07-11 23:29:05,2020
74,True,1,2020-07-11 23:28:42+00:00,active,0,84,False,84,9,0,True,True,5,,,2020-07-11 23:29:05,2020
75,True,0,2020-07-11 22:24:53+00:00,active,0,85,False,85,10,0,True,True,9,,,2020-07-11 23:29:05,2020
76,True,1,2020-07-11 23:18:10+00:00,active,0,86,False,86,18,0,True,True,0,,,2020-07-11 23:29:05,2020
77,True,0,2020-07-11 23:25:25+00:00,active,0,87,False,87,9,0,True,True,6,,,2020-07-11 23:29:05,2020
78,True,0,2020-07-11 22:49:26+00:00,active,0,89,False,89,18,0,True,True,1,,,2020-07-11 23:29:05,2020
79,True,1,2020-07-11 23:14:10+00:00,active,0,90,False,90,15,0,True,True,3,,,2020-07-11 23:29:05,2020
80,True,1,2020-07-11 23:22:27+00:00,active,0,91,False,91,8,0,True,True,10,,,2020-07-11 23:29:05,2020
81,True,0,2020-07-11 23:12:50+00:00,active,0,92,False,92,13,0,True,True,6,,,2020-07-11 23:29:05,2020
82,True,2,2020-07-11 22:24:34+00:00,active,0,93,False,93,0,0,True,True,13,,,2020-07-11 23:29:05,2020
83,True,0,2020-07-11 23:28:39+00:00,active,0,94,False,94,1,0,True,True,10,,,2020-07-11 23:29:05,2020
84,True,1,2020-07-11 23:20:54+00:00,active,0,95,False,95,5,0,True,True,9,,,2020-07-11 23:29:05,2020
85,True,0,2020-07-11 23:21:40+00:00,active,0,96,False,96,9,0,True,True,10,,,2020-07-11 23:29:05,2020
86,True,0,2020-07-11 23:16:37+00:00,active,0,97,False,97,10,0,True,True,9,,,2020-07-11 23:29:05,2020
87,True,1,2020-07-11 22:59:30+00:00,active,0,98,False,98,12,0,True,True,10,,,2020-07-11 23:29:05,2020
88,True,0,2020-07-11 22:47:43+00:00,active,0,99,False,99,8,0,True,True,7,,,2020-07-11 23:29:05,2020
89,True,1,2020-07-11 23:28:51+00:00,active,0,100,True,100,15,0,True,True,9,,,2020-07-11 23:29:05,2020
90,True,0,2020-07-11 22:36:39+00:00,active,0,101,False,101,6,0,True,True,9,,,2020-07-11 23:29:05,2020
91,True,0,2020-07-11 23:27:11+00:00,active,0,102,False,102,9,0,True,True,6,,,2020-07-11 23:29:05,2020
92,True,0,2020-07-11 22:14:29+00:00,active,0,103,False,103,13,0,True,True,2,,,2020-07-11 23:29:05,2020
93,True,0,2020-07-11 23:25:54+00:00,active,0,104,False,104,1,0,True,True,18,,,2020-07-11 23:29:05,2020
94,True,3,2020-07-11 23:26:53+00:00,active,0,105,False,105,8,0,True,True,8,,,2020-07-11 23:29:05,2020
