,is_renting,last_reported,station_status,legacy_id,num_bikes_disabled,station_id,num_bikes_available,num_ebikes_available,is_installed,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
71,True,2020-08-21 17:36:37+00:00,active,80,2,80,32,0,True,0,True,1,False,,,2020-08-21 17:43:55,2020
72,True,2020-08-21 17:43:27+00:00,active,81,0,81,1,0,True,0,True,18,False,,,2020-08-21 17:43:55,2020
73,True,2020-08-21 15:46:45+00:00,active,82,0,82,1,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
74,True,2020-08-21 17:16:03+00:00,active,84,0,84,13,0,True,0,True,2,False,,,2020-08-21 17:43:55,2020
75,True,2020-08-21 17:43:19+00:00,active,85,1,85,15,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
76,True,2020-08-21 17:41:16+00:00,active,86,0,86,13,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
77,True,2020-08-21 17:36:05+00:00,active,87,0,87,6,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
78,True,2020-08-21 17:39:05+00:00,active,89,0,89,7,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
79,True,2020-08-21 17:25:14+00:00,active,90,0,90,6,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
80,True,2020-08-21 17:43:34+00:00,active,91,1,91,15,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
81,True,2020-08-21 17:30:03+00:00,active,92,1,92,9,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
82,True,2020-08-21 17:23:41+00:00,active,93,0,93,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
83,True,2020-08-21 17:35:46+00:00,active,94,1,94,5,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
84,True,2020-08-21 17:05:34+00:00,active,95,1,95,5,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
85,True,2020-08-21 17:28:33+00:00,active,96,0,96,5,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
86,True,2020-08-21 17:41:57+00:00,active,97,0,97,9,0,True,0,True,10,False,,,2020-08-21 17:43:55,2020
87,True,2020-08-21 17:41:10+00:00,active,98,1,98,9,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
88,True,2020-08-21 16:40:56+00:00,active,99,0,99,15,0,True,0,True,0,False,,,2020-08-21 17:43:55,2020
89,True,2020-08-21 17:38:43+00:00,active,100,1,100,11,0,True,0,True,13,True,,,2020-08-21 17:43:55,2020
90,True,2020-08-21 15:24:57+00:00,active,101,0,101,4,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
91,True,2020-08-21 15:14:11+00:00,active,102,0,102,0,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
92,True,2020-08-21 17:09:01+00:00,active,103,0,103,9,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
93,True,2020-08-21 17:14:22+00:00,active,104,0,104,12,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
94,True,2020-08-21 17:39:53+00:00,active,105,0,105,7,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
95,True,2020-08-21 17:07:37+00:00,active,106,0,106,5,0,True,0,True,10,False,,,2020-08-21 17:43:55,2020
96,True,2020-08-21 17:37:51+00:00,active,107,0,107,14,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
97,True,2020-08-21 17:31:38+00:00,active,108,1,108,12,0,True,0,True,4,False,,,2020-08-21 17:43:55,2020
98,True,2020-08-21 08:55:46+00:00,active,109,0,109,2,0,True,0,True,33,False,,,2020-08-21 17:43:55,2020
99,True,2020-08-21 17:34:53+00:00,active,110,0,110,4,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
100,True,2020-08-21 14:01:54+00:00,active,111,0,111,7,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
101,True,2020-08-21 17:00:04+00:00,active,112,0,112,10,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
102,True,2020-08-21 17:27:32+00:00,active,113,2,113,4,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
103,True,2020-08-21 16:38:16+00:00,active,114,0,114,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
104,True,2020-08-21 17:35:44+00:00,active,115,0,115,10,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
105,True,2020-08-21 17:15:20+00:00,active,116,0,116,8,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
106,True,2020-08-21 17:41:42+00:00,active,117,0,117,6,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
107,True,2020-08-21 17:02:40+00:00,active,118,2,118,14,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
108,True,2020-08-21 17:26:23+00:00,active,119,0,119,4,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
109,True,2020-08-21 17:43:38+00:00,active,120,0,120,8,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
110,True,2020-08-21 17:07:03+00:00,active,121,0,121,1,0,True,0,True,16,False,,,2020-08-21 17:43:55,2020
111,True,2020-08-21 17:29:47+00:00,active,122,0,122,9,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
112,True,2020-08-21 17:33:02+00:00,active,124,0,124,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
113,True,2020-08-21 15:53:45+00:00,active,125,1,125,0,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
114,True,2020-08-21 16:29:45+00:00,active,126,1,126,11,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
115,True,2020-08-21 17:18:35+00:00,active,128,0,128,3,0,True,0,True,16,False,,,2020-08-21 17:43:55,2020
116,True,2020-08-21 16:53:01+00:00,active,129,0,129,3,0,True,0,True,16,False,,,2020-08-21 17:43:55,2020
117,True,2020-08-21 17:40:22+00:00,active,130,0,130,8,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
118,True,2020-08-21 16:56:09+00:00,active,131,1,131,5,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
119,True,2020-08-21 17:39:05+00:00,active,133,1,133,4,0,True,0,True,18,False,,,2020-08-21 17:43:55,2020
120,True,2020-08-21 13:36:10+00:00,active,135,0,135,2,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
121,True,2020-08-21 17:43:29+00:00,active,136,1,136,7,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
122,True,2020-08-21 16:39:47+00:00,active,137,0,137,5,0,True,0,True,10,False,,,2020-08-21 17:43:55,2020
123,True,2020-08-21 17:22:52+00:00,active,138,1,138,7,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
124,True,2020-08-21 17:17:46+00:00,active,139,0,139,0,0,True,0,True,19,False,,,2020-08-21 17:43:55,2020
125,True,2020-08-21 13:07:47+00:00,active,140,0,140,16,0,True,0,True,1,False,,,2020-08-21 17:43:55,2020
126,True,2020-08-21 17:26:40+00:00,active,141,0,141,4,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
127,True,2020-08-21 16:15:00+00:00,active,142,0,142,19,0,True,0,True,4,False,,,2020-08-21 17:43:55,2020
128,True,2020-08-21 17:28:41+00:00,active,143,0,143,19,0,True,0,True,4,False,,,2020-08-21 17:43:55,2020
129,True,2020-08-21 16:51:31+00:00,active,144,0,144,18,0,True,0,True,1,False,,,2020-08-21 17:43:55,2020
130,True,2020-08-21 15:46:40+00:00,active,145,0,145,13,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
131,True,2020-08-21 17:26:45+00:00,active,146,0,146,12,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
132,True,2020-08-21 17:34:36+00:00,active,149,0,149,11,0,True,0,True,7,True,,,2020-08-21 17:43:55,2020
133,True,2020-08-21 16:40:52+00:00,active,150,1,150,6,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
134,True,2020-08-21 17:25:23+00:00,active,151,0,151,10,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
135,True,2020-08-21 17:43:15+00:00,active,152,0,152,10,0,True,0,True,5,True,,,2020-08-21 17:43:55,2020
136,True,2020-08-21 17:28:52+00:00,active,156,0,156,3,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
137,True,2020-08-21 17:42:49+00:00,active,157,1,157,5,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
138,True,2020-08-21 17:23:59+00:00,active,159,1,159,2,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
139,True,2020-08-21 17:06:13+00:00,active,160,0,160,5,0,True,0,True,9,True,,,2020-08-21 17:43:55,2020
140,True,2020-08-21 17:28:23+00:00,active,161,0,161,15,0,True,0,True,8,True,,,2020-08-21 17:43:55,2020
141,True,2020-08-21 16:22:46+00:00,active,162,0,162,6,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
142,True,2020-08-21 17:43:19+00:00,active,163,0,163,11,0,True,0,True,8,True,,,2020-08-21 17:43:55,2020
143,True,2020-08-21 17:18:32+00:00,active,167,0,167,14,0,True,0,True,1,False,,,2020-08-21 17:43:55,2020
144,True,2020-08-21 17:24:11+00:00,active,169,0,169,8,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
145,True,2020-08-21 17:10:44+00:00,active,170,0,170,7,0,True,0,True,7,True,,,2020-08-21 17:43:55,2020
146,True,2020-08-21 16:32:18+00:00,active,171,0,171,10,0,True,0,True,13,True,,,2020-08-21 17:43:55,2020
147,True,2020-08-21 16:45:36+00:00,active,173,0,173,9,0,True,0,True,5,True,,,2020-08-21 17:43:55,2020
148,True,2020-08-21 17:33:38+00:00,active,174,0,174,6,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
149,True,2020-08-21 17:34:16+00:00,active,175,0,175,6,0,True,0,True,11,True,,,2020-08-21 17:43:55,2020
150,True,2020-08-21 17:40:37+00:00,active,176,0,176,9,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
151,True,2020-08-21 17:20:31+00:00,active,177,2,177,3,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
152,True,2020-08-21 17:43:17+00:00,active,178,0,178,3,0,True,0,True,16,False,,,2020-08-21 17:43:55,2020
153,True,2020-08-21 17:41:27+00:00,active,179,0,179,19,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
154,True,2020-08-21 17:23:59+00:00,active,180,0,180,13,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
155,True,2020-08-21 16:09:10+00:00,active,181,0,181,1,0,True,0,True,18,False,,,2020-08-21 17:43:55,2020
156,True,2020-08-21 17:39:48+00:00,active,182,0,182,4,0,True,0,True,15,True,,,2020-08-21 17:43:55,2020
157,True,2020-08-21 17:01:05+00:00,active,183,0,183,5,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
158,True,2020-08-21 17:32:41+00:00,active,184,0,184,0,0,True,0,True,19,False,,,2020-08-21 17:43:55,2020
159,True,2020-08-21 17:36:10+00:00,active,185,0,185,1,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
160,True,2020-08-21 17:16:53+00:00,active,186,0,186,2,0,True,0,True,13,True,,,2020-08-21 17:43:55,2020
161,True,2020-08-21 16:59:39+00:00,active,187,1,187,2,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
162,True,2020-08-21 17:37:02+00:00,active,188,0,188,8,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
163,True,2020-08-21 17:28:26+00:00,active,189,1,189,16,0,True,0,True,6,True,,,2020-08-21 17:43:55,2020
164,True,2020-08-21 17:32:43+00:00,active,190,0,190,14,0,True,0,True,23,True,,,2020-08-21 17:43:55,2020
165,True,2020-08-21 16:12:45+00:00,active,191,0,191,1,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
166,True,2020-08-21 17:32:20+00:00,active,192,0,192,14,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
167,True,2020-08-21 14:36:31+00:00,active,193,0,193,3,0,True,0,True,12,True,,,2020-08-21 17:43:55,2020
168,True,2020-08-21 16:47:59+00:00,active,194,0,194,2,0,True,0,True,17,False,,,2020-08-21 17:43:55,2020
169,True,2020-08-21 17:30:15+00:00,active,195,0,195,2,0,True,0,True,21,False,,,2020-08-21 17:43:55,2020
170,True,2020-08-21 13:55:16+00:00,active,196,0,196,2,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
171,True,2020-08-21 16:45:36+00:00,active,197,0,197,7,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
172,True,2020-08-21 16:00:45+00:00,active,199,0,199,8,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
173,True,2020-08-21 17:36:10+00:00,active,200,0,200,15,0,True,0,True,4,False,,,2020-08-21 17:43:55,2020
174,True,2020-08-21 12:22:54+00:00,active,201,0,201,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
175,True,2020-08-21 17:37:03+00:00,active,202,0,202,4,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
176,True,2020-08-21 12:45:21+00:00,active,203,0,203,6,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
177,True,2020-08-21 12:44:46+00:00,active,204,1,204,4,0,True,0,True,10,False,,,2020-08-21 17:43:55,2020
178,True,2020-08-21 17:31:24+00:00,active,205,0,205,3,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
179,True,2020-08-21 17:17:31+00:00,active,206,0,206,2,0,True,0,True,21,True,,,2020-08-21 17:43:55,2020
180,True,2020-08-21 15:12:16+00:00,active,208,1,208,14,0,True,0,True,0,True,,,2020-08-21 17:43:55,2020
181,True,2020-08-21 17:07:16+00:00,active,209,1,209,6,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
182,True,2020-08-21 09:07:17+00:00,active,210,1,210,2,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
183,True,2020-08-21 08:52:25+00:00,active,211,0,211,10,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
184,True,2020-08-21 17:22:40+00:00,active,212,1,212,8,0,True,0,True,24,False,,,2020-08-21 17:43:55,2020
185,True,2020-08-21 17:16:29+00:00,active,213,0,213,4,0,True,0,True,12,True,,,2020-08-21 17:43:55,2020
186,True,2020-08-21 17:34:00+00:00,active,214,0,214,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
187,True,2020-08-21 14:03:49+00:00,active,215,2,215,8,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
188,True,2020-08-21 06:54:34+00:00,active,216,0,216,14,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
189,True,2020-08-21 17:29:12+00:00,active,217,1,217,5,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
190,True,2020-08-21 17:17:13+00:00,active,218,0,218,1,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
191,True,2020-08-21 09:28:06+00:00,active,219,0,219,7,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
192,True,2020-08-21 17:39:26+00:00,active,221,0,221,2,0,True,0,True,17,False,,,2020-08-21 17:43:55,2020
193,True,2020-08-21 17:39:57+00:00,active,222,1,222,2,0,True,0,True,11,True,,,2020-08-21 17:43:55,2020
194,True,2020-08-21 17:04:51+00:00,active,224,0,224,15,0,True,0,True,2,False,,,2020-08-21 17:43:55,2020
195,True,2020-08-21 17:10:49+00:00,active,225,1,225,13,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
196,True,2020-08-21 16:32:35+00:00,active,226,0,226,0,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
197,True,2020-08-21 17:42:18+00:00,active,227,0,227,11,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
198,True,2020-08-21 14:51:35+00:00,active,228,0,228,4,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
199,True,2020-08-21 08:55:46+00:00,active,232,0,232,1,0,True,0,True,10,False,,,2020-08-21 17:43:55,2020
200,True,2020-08-21 16:50:04+00:00,active,233,0,233,8,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
