,station_status,legacy_id,num_ebikes_available,is_renting,num_bikes_disabled,station_id,num_bikes_available,num_docks_available,is_returning,is_installed,eightd_has_available_keys,num_docks_disabled,last_reported,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,active,3,0,True,0,3,3,12,True,True,True,0,2020-07-31 15:48:38+00:00,,,2020-07-31 16:03:00,2020
1,active,4,0,True,0,4,10,9,True,True,False,0,2020-07-31 15:39:08+00:00,,,2020-07-31 16:03:00,2020
2,active,5,0,True,0,5,5,10,True,True,False,0,2020-07-31 15:44:13+00:00,,,2020-07-31 16:03:00,2020
3,active,6,0,True,0,6,7,8,True,True,False,0,2020-07-31 15:57:53+00:00,,,2020-07-31 16:03:00,2020
4,active,7,0,True,1,7,12,2,True,True,False,0,2020-07-31 15:44:12+00:00,,,2020-07-31 16:03:00,2020
5,active,8,0,True,2,8,6,11,True,True,False,0,2020-07-31 15:50:03+00:00,,,2020-07-31 16:03:00,2020
6,active,9,0,True,0,9,13,2,True,True,False,0,2020-07-31 15:40:26+00:00,,,2020-07-31 16:03:00,2020
7,active,10,0,True,0,10,10,1,True,True,False,0,2020-07-31 15:54:31+00:00,,,2020-07-31 16:03:00,2020
8,active,11,0,True,0,11,12,3,True,True,False,0,2020-07-31 15:50:16+00:00,"{'region': 'BOS', 'valet_revision': 75, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'active': True, 'off_dock_count': 67}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 16:03:00,2020
9,active,12,0,True,3,12,4,11,True,True,True,0,2020-07-31 15:39:22+00:00,,,2020-07-31 16:03:00,2020
10,active,13,0,True,0,13,13,6,True,True,False,0,2020-07-31 15:40:28+00:00,,,2020-07-31 16:03:00,2020
11,active,14,0,True,0,14,15,10,True,True,False,0,2020-07-31 16:01:14+00:00,,,2020-07-31 16:03:00,2020
12,active,15,0,True,2,15,7,6,True,True,False,0,2020-07-31 15:36:46+00:00,,,2020-07-31 16:03:00,2020
13,active,16,0,True,2,16,0,17,True,True,True,0,2020-07-31 14:53:01+00:00,,,2020-07-31 16:03:00,2020
14,active,17,0,True,0,17,8,7,True,True,False,0,2020-07-31 15:55:42+00:00,,,2020-07-31 16:03:00,2020
15,active,19,0,True,0,19,4,11,True,True,False,0,2020-07-31 15:57:38+00:00,,,2020-07-31 16:03:00,2020
16,active,20,0,True,0,20,20,3,True,True,True,0,2020-07-31 15:29:00+00:00,,,2020-07-31 16:03:00,2020
17,active,21,0,True,0,21,9,9,True,True,True,0,2020-07-31 15:59:04+00:00,,,2020-07-31 16:03:00,2020
18,active,22,0,True,1,22,8,38,True,True,True,0,2020-07-31 15:48:20+00:00,,,2020-07-31 16:03:00,2020
19,active,23,0,True,0,23,8,13,True,True,True,0,2020-07-31 15:55:27+00:00,,,2020-07-31 16:03:00,2020
20,active,24,0,True,0,24,13,6,True,True,False,0,2020-07-31 16:00:00+00:00,,,2020-07-31 16:03:00,2020
21,active,25,0,True,2,25,7,6,True,True,False,0,2020-07-31 15:34:31+00:00,,,2020-07-31 16:03:00,2020
22,active,26,0,True,3,26,1,11,True,True,False,0,2020-07-31 15:49:47+00:00,,,2020-07-31 16:03:00,2020
23,active,27,0,True,2,27,11,10,True,True,False,0,2020-07-31 15:48:50+00:00,,,2020-07-31 16:03:00,2020
24,active,29,0,True,0,29,9,6,True,True,False,0,2020-07-31 15:23:08+00:00,,,2020-07-31 16:03:00,2020
25,active,30,0,True,1,30,12,2,True,True,False,0,2020-07-31 15:24:03+00:00,,,2020-07-31 16:03:00,2020
26,active,31,0,True,1,31,16,2,True,True,True,0,2020-07-31 13:25:28+00:00,,,2020-07-31 16:03:00,2020
27,active,32,0,True,2,32,6,7,True,True,False,0,2020-07-31 15:56:38+00:00,,,2020-07-31 16:03:00,2020
28,active,33,0,True,0,33,17,10,True,True,False,0,2020-07-31 16:00:52+00:00,,,2020-07-31 16:03:00,2020
29,active,35,0,True,1,35,21,1,True,True,False,0,2020-07-31 15:55:46+00:00,,,2020-07-31 16:03:00,2020
30,active,36,0,True,0,36,3,30,True,True,True,0,2020-07-31 16:01:47+00:00,,,2020-07-31 16:03:00,2020
31,active,37,0,True,0,37,1,14,True,True,True,0,2020-07-31 15:14:47+00:00,,,2020-07-31 16:03:00,2020
32,active,39,0,True,1,39,15,7,True,True,False,0,2020-07-31 15:59:40+00:00,,,2020-07-31 16:03:00,2020
33,active,40,0,True,0,40,16,3,True,True,False,0,2020-07-31 15:45:44+00:00,,,2020-07-31 16:03:00,2020
34,active,41,0,True,1,41,14,12,True,True,True,0,2020-07-31 15:42:02+00:00,,,2020-07-31 16:03:00,2020
35,active,42,0,True,0,42,12,11,True,True,False,0,2020-07-31 15:53:18+00:00,,,2020-07-31 16:03:00,2020
36,active,43,0,True,0,43,8,7,True,True,True,0,2020-07-31 15:50:02+00:00,,,2020-07-31 16:03:00,2020
37,active,44,0,True,0,44,18,5,True,True,False,0,2020-07-31 16:00:43+00:00,,,2020-07-31 16:03:00,2020
38,active,46,0,True,0,46,7,12,True,True,False,0,2020-07-31 15:57:44+00:00,,,2020-07-31 16:03:00,2020
39,active,47,0,True,0,47,2,17,True,True,True,0,2020-07-31 15:50:42+00:00,,,2020-07-31 16:03:00,2020
40,active,48,0,True,0,48,11,8,True,True,False,0,2020-07-31 14:38:42+00:00,,,2020-07-31 16:03:00,2020
41,active,49,0,True,0,49,5,13,True,True,False,0,2020-07-31 16:00:29+00:00,,,2020-07-31 16:03:00,2020
42,active,50,0,True,0,50,13,2,True,True,True,0,2020-07-31 16:00:46+00:00,,,2020-07-31 16:03:00,2020
43,active,51,0,True,2,51,4,9,True,True,False,0,2020-07-31 14:50:38+00:00,,,2020-07-31 16:03:00,2020
44,active,52,0,True,1,52,5,17,True,True,True,0,2020-07-31 15:55:06+00:00,,,2020-07-31 16:03:00,2020
45,active,53,0,True,0,53,3,16,True,True,False,0,2020-07-31 15:57:50+00:00,,,2020-07-31 16:03:00,2020
46,active,54,0,True,0,54,0,15,True,True,False,0,2020-07-31 15:02:55+00:00,,,2020-07-31 16:03:00,2020
47,active,55,0,True,0,55,7,8,True,True,False,0,2020-07-31 16:02:40+00:00,,,2020-07-31 16:03:00,2020
48,active,56,0,True,0,56,10,8,True,True,True,0,2020-07-31 14:10:51+00:00,,,2020-07-31 16:03:00,2020
49,active,57,0,True,0,57,6,8,True,True,True,0,2020-07-31 15:54:21+00:00,,,2020-07-31 16:03:00,2020
50,active,58,0,True,0,58,1,18,True,True,True,0,2020-07-31 16:00:35+00:00,,,2020-07-31 16:03:00,2020
51,active,59,0,True,0,59,14,5,True,True,True,0,2020-07-31 15:50:55+00:00,,,2020-07-31 16:03:00,2020
52,active,60,0,True,0,60,4,15,True,True,False,0,2020-07-31 16:01:45+00:00,"{'region': 'BOS', 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'active': True, 'off_dock_count': 19}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 16:03:00,2020
53,active,61,0,True,0,61,11,8,True,True,False,0,2020-07-31 16:01:02+00:00,,,2020-07-31 16:03:00,2020
54,active,63,0,True,0,63,9,6,True,True,False,0,2020-07-31 15:45:58+00:00,,,2020-07-31 16:03:00,2020
55,active,64,0,True,2,64,14,3,True,True,False,0,2020-07-31 15:17:23+00:00,,,2020-07-31 16:03:00,2020
56,active,65,0,True,0,65,5,18,True,True,False,0,2020-07-31 16:00:12+00:00,,,2020-07-31 16:03:00,2020
57,active,66,0,True,0,66,8,7,True,True,False,0,2020-07-31 15:46:41+00:00,,,2020-07-31 16:03:00,2020
58,active,67,0,True,1,67,5,21,True,True,True,0,2020-07-31 16:01:42+00:00,,,2020-07-31 16:03:00,2020
59,active,68,0,True,0,68,13,6,True,True,True,0,2020-07-31 16:02:28+00:00,,,2020-07-31 16:03:00,2020
60,active,69,0,True,0,69,7,12,True,True,True,0,2020-07-31 15:53:25+00:00,,,2020-07-31 16:03:00,2020
61,active,70,0,True,0,70,18,5,True,True,False,0,2020-07-31 15:59:20+00:00,,,2020-07-31 16:03:00,2020
