,eightd_has_available_keys,num_docks_disabled,is_renting,num_docks_available,is_installed,num_ebikes_available,legacy_id,last_reported,is_returning,station_status,num_bikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,False,0,True,11,True,0,49,2020-07-29 20:12:17+00:00,True,active,7,49,0,,,2020-07-29 20:17:20,2020
42,True,0,True,2,True,0,50,2020-07-29 20:16:08+00:00,True,active,12,50,1,,,2020-07-29 20:17:20,2020
43,False,0,True,6,True,0,51,2020-07-29 19:54:50+00:00,True,active,6,51,3,,,2020-07-29 20:17:20,2020
44,True,0,True,14,True,0,52,2020-07-29 20:13:21+00:00,True,active,9,52,0,,,2020-07-29 20:17:20,2020
45,False,0,True,17,True,0,53,2020-07-29 20:15:43+00:00,True,active,2,53,0,,,2020-07-29 20:17:20,2020
46,False,0,True,11,True,0,54,2020-07-29 20:15:24+00:00,True,active,4,54,0,,,2020-07-29 20:17:20,2020
47,False,0,True,11,True,0,55,2020-07-29 20:14:59+00:00,True,active,4,55,0,,,2020-07-29 20:17:20,2020
48,True,0,True,6,True,0,56,2020-07-29 18:31:43+00:00,True,active,12,56,0,,,2020-07-29 20:17:20,2020
49,True,0,True,10,True,0,57,2020-07-29 19:48:03+00:00,True,active,4,57,0,,,2020-07-29 20:17:20,2020
50,True,0,True,14,True,0,58,2020-07-29 20:10:09+00:00,True,active,4,58,1,,,2020-07-29 20:17:20,2020
51,True,0,True,13,True,0,59,2020-07-29 19:12:13+00:00,True,active,6,59,0,,,2020-07-29 20:17:20,2020
52,False,0,True,7,True,0,60,2020-07-29 20:16:31+00:00,True,active,12,60,0,"{'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 40, 'off_dock_count': 17, 'valet_revision': 61, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 20:17:20,2020
53,False,0,True,12,True,0,61,2020-07-29 20:05:16+00:00,True,active,6,61,1,,,2020-07-29 20:17:20,2020
54,False,0,True,0,True,0,63,2020-07-29 19:23:59+00:00,True,active,15,63,0,,,2020-07-29 20:17:20,2020
55,False,0,True,4,True,0,64,2020-07-29 20:16:26+00:00,True,active,13,64,2,,,2020-07-29 20:17:20,2020
56,False,0,True,12,True,0,65,2020-07-29 19:46:02+00:00,True,active,10,65,1,,,2020-07-29 20:17:20,2020
57,False,0,True,10,True,0,66,2020-07-29 20:08:21+00:00,True,active,5,66,0,,,2020-07-29 20:17:20,2020
58,True,0,True,17,True,0,67,2020-07-29 20:16:30+00:00,True,active,8,67,2,,,2020-07-29 20:17:20,2020
59,True,0,True,16,True,0,68,2020-07-29 20:15:36+00:00,True,active,2,68,1,,,2020-07-29 20:17:20,2020
60,True,0,True,14,True,0,69,2020-07-29 20:16:20+00:00,True,active,5,69,0,,,2020-07-29 20:17:20,2020
61,False,0,True,19,True,0,70,2020-07-29 20:14:54+00:00,True,active,4,70,0,,,2020-07-29 20:17:20,2020
62,False,0,True,6,True,0,71,2020-07-29 19:28:23+00:00,True,active,17,71,0,,,2020-07-29 20:17:20,2020
63,False,0,True,12,True,0,72,2020-07-29 19:46:49+00:00,True,active,11,72,0,,,2020-07-29 20:17:20,2020
64,False,0,True,7,True,0,73,2020-07-29 19:25:19+00:00,True,active,7,73,1,,,2020-07-29 20:17:20,2020
65,True,0,True,4,True,0,74,2020-07-29 20:07:24+00:00,True,active,13,74,2,,,2020-07-29 20:17:20,2020
66,False,0,True,8,True,0,75,2020-07-29 19:53:45+00:00,True,active,7,75,0,,,2020-07-29 20:17:20,2020
67,False,0,True,9,True,0,76,2020-07-29 20:14:38+00:00,True,active,7,76,1,,,2020-07-29 20:17:20,2020
68,False,0,True,10,True,0,77,2020-07-29 20:03:39+00:00,True,active,5,77,0,,,2020-07-29 20:17:20,2020
69,False,0,True,8,True,0,78,2020-07-29 19:25:59+00:00,True,active,11,78,0,,,2020-07-29 20:17:20,2020
70,False,0,True,13,True,0,79,2020-07-29 20:16:42+00:00,True,active,6,79,0,,,2020-07-29 20:17:20,2020
71,False,0,True,0,True,0,80,2020-07-29 19:54:04+00:00,True,active,34,80,1,,,2020-07-29 20:17:20,2020
72,False,0,True,14,True,0,81,2020-07-29 20:12:04+00:00,True,active,5,81,0,,,2020-07-29 20:17:20,2020
73,False,0,True,14,True,0,82,2020-07-29 18:58:10+00:00,True,active,1,82,0,,,2020-07-29 20:17:20,2020
74,False,0,True,8,True,0,84,2020-07-29 19:28:24+00:00,True,active,6,84,1,,,2020-07-29 20:17:20,2020
75,False,0,True,10,True,0,85,2020-07-29 20:14:57+00:00,True,active,8,85,1,,,2020-07-29 20:17:20,2020
76,False,0,True,16,True,0,86,2020-07-29 20:16:59+00:00,True,active,1,86,2,,,2020-07-29 20:17:20,2020
77,False,0,True,11,True,0,87,2020-07-29 20:06:29+00:00,True,active,3,87,1,,,2020-07-29 20:17:20,2020
78,False,0,True,8,True,0,89,2020-07-29 20:10:46+00:00,True,active,11,89,0,,,2020-07-29 20:17:20,2020
79,False,0,True,10,True,0,90,2020-07-29 20:11:49+00:00,True,active,9,90,0,,,2020-07-29 20:17:20,2020
80,False,0,True,5,True,0,91,2020-07-29 20:15:46+00:00,True,active,11,91,3,,,2020-07-29 20:17:20,2020
81,False,0,True,9,True,0,92,2020-07-29 20:00:23+00:00,True,active,10,92,0,,,2020-07-29 20:17:20,2020
82,False,0,True,10,True,0,93,2020-07-29 19:11:23+00:00,True,active,2,93,3,,,2020-07-29 20:17:20,2020
