,is_returning,num_bikes_available,num_bikes_disabled,is_renting,is_installed,num_ebikes_available,legacy_id,last_reported,station_id,num_docks_available,num_docks_disabled,eightd_has_available_keys,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,13,0,True,True,0,3,2020-08-05 19:55:07+00:00,3,2,0,True,active,,,2020-08-05 19:56:45,2020
1,True,2,0,True,True,0,4,2020-08-05 19:21:14+00:00,4,17,0,False,active,,,2020-08-05 19:56:45,2020
2,True,10,0,True,True,0,5,2020-08-05 19:24:46+00:00,5,5,0,False,active,,,2020-08-05 19:56:45,2020
3,True,4,0,True,True,0,6,2020-08-05 19:43:13+00:00,6,11,0,False,active,,,2020-08-05 19:56:45,2020
4,True,9,0,True,True,0,7,2020-08-05 19:42:57+00:00,7,6,0,False,active,,,2020-08-05 19:56:45,2020
5,True,0,0,True,True,0,8,2020-08-05 19:15:35+00:00,8,19,0,False,active,,,2020-08-05 19:56:45,2020
6,True,13,0,True,True,0,9,2020-08-05 19:54:24+00:00,9,2,0,False,active,,,2020-08-05 19:56:45,2020
7,True,3,0,True,True,0,10,2020-08-05 19:56:14+00:00,10,8,0,False,active,,,2020-08-05 19:56:45,2020
8,True,13,0,True,True,0,11,2020-08-05 19:51:48+00:00,11,2,0,False,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 79, 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 38, 'dock_blocked_count': 0}",2020-08-05 19:56:45,2020
9,True,10,0,True,True,0,12,2020-08-05 19:55:38+00:00,12,8,0,True,active,,,2020-08-05 19:56:45,2020
10,True,11,0,True,True,0,13,2020-08-05 19:51:31+00:00,13,8,0,False,active,,,2020-08-05 19:56:45,2020
11,True,17,0,True,True,0,14,2020-08-05 19:52:55+00:00,14,8,0,False,active,,,2020-08-05 19:56:45,2020
12,True,6,0,True,True,0,15,2020-08-05 19:52:27+00:00,15,9,0,False,active,,,2020-08-05 19:56:45,2020
13,True,3,0,True,True,0,16,2020-08-05 19:50:03+00:00,16,16,0,True,active,,,2020-08-05 19:56:45,2020
14,True,0,0,True,True,0,17,2020-08-05 19:42:23+00:00,17,15,0,False,active,,,2020-08-05 19:56:45,2020
15,True,2,0,True,True,0,19,2020-08-05 19:52:32+00:00,19,13,0,False,active,,,2020-08-05 19:56:45,2020
16,True,16,0,True,True,0,20,2020-08-05 19:54:13+00:00,20,7,0,True,active,,,2020-08-05 19:56:45,2020
17,True,10,1,True,True,0,21,2020-08-05 19:56:18+00:00,21,7,0,True,active,,,2020-08-05 19:56:45,2020
18,True,5,2,True,True,0,22,2020-08-05 19:46:26+00:00,22,40,0,True,active,,,2020-08-05 19:56:45,2020
19,True,10,0,True,True,0,23,2020-08-05 19:54:00+00:00,23,11,0,True,active,,,2020-08-05 19:56:45,2020
20,True,6,0,True,True,0,24,2020-08-05 19:25:25+00:00,24,13,0,False,active,,,2020-08-05 19:56:45,2020
21,True,3,0,True,True,0,25,2020-08-05 18:25:51+00:00,25,12,0,False,active,,,2020-08-05 19:56:45,2020
22,True,4,1,True,True,0,26,2020-08-05 19:50:49+00:00,26,10,0,False,active,,,2020-08-05 19:56:45,2020
23,True,3,0,True,True,0,27,2020-08-05 19:39:02+00:00,27,20,0,False,active,,,2020-08-05 19:56:45,2020
24,True,13,1,True,True,0,29,2020-08-05 19:37:21+00:00,29,1,0,False,active,,,2020-08-05 19:56:45,2020
25,True,6,0,True,True,0,30,2020-08-05 19:55:21+00:00,30,9,0,False,active,,,2020-08-05 19:56:45,2020
26,True,4,0,True,True,0,31,2020-08-05 19:26:03+00:00,31,15,0,True,active,,,2020-08-05 19:56:45,2020
27,True,12,1,True,True,0,32,2020-08-05 19:55:39+00:00,32,2,0,False,active,,,2020-08-05 19:56:45,2020
28,True,13,0,True,True,0,33,2020-08-05 19:50:59+00:00,33,14,0,False,active,,,2020-08-05 19:56:45,2020
29,True,15,0,True,True,0,35,2020-08-05 19:37:52+00:00,35,8,0,False,active,,,2020-08-05 19:56:45,2020
30,True,17,0,True,True,0,36,2020-08-05 19:45:51+00:00,36,16,0,True,active,,,2020-08-05 19:56:45,2020
31,True,9,0,True,True,0,37,2020-08-05 18:37:26+00:00,37,6,0,True,active,,,2020-08-05 19:56:45,2020
32,True,10,0,True,True,0,39,2020-08-05 19:33:20+00:00,39,13,0,False,active,,,2020-08-05 19:56:45,2020
33,True,3,1,True,True,0,40,2020-08-05 19:45:58+00:00,40,15,0,False,active,,,2020-08-05 19:56:45,2020
34,True,5,0,True,True,0,41,2020-08-05 19:40:37+00:00,41,22,0,True,active,,,2020-08-05 19:56:45,2020
35,True,18,1,True,True,0,42,2020-08-05 19:49:02+00:00,42,4,0,False,active,,,2020-08-05 19:56:45,2020
36,True,7,0,True,True,0,43,2020-08-05 19:28:40+00:00,43,8,0,True,active,,,2020-08-05 19:56:45,2020
37,True,19,0,True,True,0,44,2020-08-05 19:56:16+00:00,44,4,0,False,active,,,2020-08-05 19:56:45,2020
38,True,2,0,True,True,0,46,2020-08-05 19:53:31+00:00,46,17,0,False,active,,,2020-08-05 19:56:45,2020
39,True,8,1,True,True,0,47,2020-08-05 19:56:14+00:00,47,10,0,True,active,,,2020-08-05 19:56:45,2020
40,True,10,0,True,True,0,48,2020-08-05 19:43:31+00:00,48,9,0,False,active,,,2020-08-05 19:56:45,2020
41,True,17,0,True,True,0,49,2020-08-05 19:10:54+00:00,49,1,0,False,active,,,2020-08-05 19:56:45,2020
42,True,12,1,True,True,0,50,2020-08-05 19:50:22+00:00,50,2,0,True,active,,,2020-08-05 19:56:45,2020
43,True,4,0,True,True,0,51,2020-08-05 18:57:27+00:00,51,11,0,False,active,,,2020-08-05 19:56:45,2020
44,True,5,0,True,True,0,52,2020-08-05 19:54:53+00:00,52,18,0,True,active,,,2020-08-05 19:56:45,2020
45,True,6,0,True,True,0,53,2020-08-05 19:54:43+00:00,53,13,0,False,active,,,2020-08-05 19:56:45,2020
46,True,13,0,True,True,0,54,2020-08-05 19:47:17+00:00,54,2,0,False,active,,,2020-08-05 19:56:45,2020
47,True,10,2,True,True,0,55,2020-08-05 19:55:52+00:00,55,3,0,False,active,,,2020-08-05 19:56:45,2020
48,True,4,0,True,True,0,56,2020-08-05 17:20:11+00:00,56,14,0,True,active,,,2020-08-05 19:56:45,2020
49,True,4,1,True,True,0,57,2020-08-05 19:41:35+00:00,57,9,0,True,active,,,2020-08-05 19:56:45,2020
50,True,6,0,True,True,0,58,2020-08-05 19:39:10+00:00,58,13,0,True,active,,,2020-08-05 19:56:45,2020
51,True,9,0,True,True,0,59,2020-08-05 19:56:22+00:00,59,10,0,True,active,,,2020-08-05 19:56:45,2020
52,True,9,0,True,True,0,60,2020-08-05 19:51:32+00:00,60,10,0,False,active,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 67, 'region': 'BOS', 'off_dock_capacity': 40, 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 33, 'dock_blocked_count': 0}",2020-08-05 19:56:45,2020
53,True,17,1,True,True,0,61,2020-08-05 19:55:13+00:00,61,1,0,False,active,,,2020-08-05 19:56:45,2020
54,True,5,0,True,True,0,63,2020-08-05 19:53:28+00:00,63,10,0,False,active,,,2020-08-05 19:56:45,2020
55,True,6,0,True,True,0,64,2020-08-05 19:37:54+00:00,64,13,0,False,active,,,2020-08-05 19:56:45,2020
56,True,4,1,True,True,0,65,2020-08-05 16:53:26+00:00,65,18,0,False,active,,,2020-08-05 19:56:45,2020
57,True,3,0,True,True,0,66,2020-08-05 19:55:21+00:00,66,12,0,False,active,,,2020-08-05 19:56:45,2020
58,True,9,0,True,True,0,67,2020-08-05 19:45:45+00:00,67,18,0,True,active,,,2020-08-05 19:56:45,2020
59,True,6,0,True,True,0,68,2020-08-05 19:54:11+00:00,68,13,0,True,active,,,2020-08-05 19:56:45,2020
60,True,9,0,True,True,0,69,2020-08-05 19:54:25+00:00,69,10,0,True,active,,,2020-08-05 19:56:45,2020
61,True,16,1,True,True,0,70,2020-08-05 19:40:04+00:00,70,6,0,False,active,,,2020-08-05 19:56:45,2020
62,True,14,0,True,True,0,71,2020-08-05 18:10:37+00:00,71,9,0,False,active,,,2020-08-05 19:56:45,2020
63,True,11,0,True,True,0,72,2020-08-05 19:42:22+00:00,72,12,0,False,active,,,2020-08-05 19:56:45,2020
64,True,5,0,True,True,0,73,2020-08-05 18:33:20+00:00,73,10,0,False,active,,,2020-08-05 19:56:45,2020
65,True,16,0,True,True,0,74,2020-08-05 19:53:48+00:00,74,3,0,True,active,,,2020-08-05 19:56:45,2020
66,True,1,0,True,True,0,75,2020-08-05 18:37:24+00:00,75,14,0,False,active,,,2020-08-05 19:56:45,2020
67,True,5,0,True,True,0,76,2020-08-05 19:10:15+00:00,76,12,0,False,active,,,2020-08-05 19:56:45,2020
68,True,6,0,True,True,0,77,2020-08-05 19:37:33+00:00,77,9,0,False,active,,,2020-08-05 19:56:45,2020
69,True,11,0,True,True,0,78,2020-08-05 19:46:20+00:00,78,8,0,False,active,,,2020-08-05 19:56:45,2020
70,True,2,0,True,True,0,79,2020-08-05 19:28:04+00:00,79,17,0,False,active,,,2020-08-05 19:56:45,2020
71,True,29,0,True,True,0,80,2020-08-05 19:51:42+00:00,80,6,0,False,active,,,2020-08-05 19:56:45,2020
72,True,13,0,True,True,0,81,2020-08-05 19:53:12+00:00,81,6,0,False,active,,,2020-08-05 19:56:45,2020
73,True,3,1,True,True,0,82,2020-08-05 19:43:49+00:00,82,11,0,False,active,,,2020-08-05 19:56:45,2020
