,num_ebikes_available,station_id,legacy_id,num_docks_available,eightd_has_available_keys,is_returning,num_bikes_disabled,last_reported,is_renting,is_installed,num_docks_disabled,station_status,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,3,3,11,True,True,2,2020-07-29 19:16:30+00:00,True,True,0,active,2,,,2020-07-29 19:26:10,2020
1,0,4,4,9,False,True,0,2020-07-29 19:11:09+00:00,True,True,0,active,10,,,2020-07-29 19:26:10,2020
2,0,5,5,6,False,True,1,2020-07-29 19:07:19+00:00,True,True,0,active,8,,,2020-07-29 19:26:10,2020
3,0,6,6,3,False,True,0,2020-07-29 19:17:20+00:00,True,True,0,active,12,,,2020-07-29 19:26:10,2020
4,0,7,7,10,False,True,0,2020-07-29 19:14:50+00:00,True,True,0,active,5,,,2020-07-29 19:26:10,2020
5,0,8,8,12,False,True,1,2020-07-29 19:13:29+00:00,True,True,0,active,6,,,2020-07-29 19:26:10,2020
6,0,9,9,11,False,True,2,2020-07-29 19:14:11+00:00,True,True,0,active,2,,,2020-07-29 19:26:10,2020
7,0,10,10,5,False,True,1,2020-07-29 19:12:58+00:00,True,True,0,active,5,,,2020-07-29 19:26:10,2020
8,0,11,11,6,False,True,2,2020-07-29 19:25:32+00:00,True,True,0,active,7,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'valet_revision': 69, 'off_dock_count': 50, 'active': True, 'dock_blocked_count': 0}",2020-07-29 19:26:10,2020
9,0,12,12,8,True,True,1,2020-07-29 19:10:19+00:00,True,True,0,active,9,,,2020-07-29 19:26:10,2020
10,0,13,13,9,False,True,0,2020-07-29 19:20:33+00:00,True,True,0,active,10,,,2020-07-29 19:26:10,2020
11,0,14,14,12,False,True,0,2020-07-29 19:25:27+00:00,True,True,0,active,13,,,2020-07-29 19:26:10,2020
12,0,15,15,7,False,True,0,2020-07-29 19:03:50+00:00,True,True,0,active,8,,,2020-07-29 19:26:10,2020
13,0,16,16,13,True,True,1,2020-07-29 18:54:33+00:00,True,True,0,active,5,,,2020-07-29 19:26:10,2020
14,0,17,17,2,False,True,0,2020-07-29 19:25:36+00:00,True,True,0,active,13,,,2020-07-29 19:26:10,2020
15,0,19,19,11,False,True,0,2020-07-29 19:10:50+00:00,True,True,0,active,4,,,2020-07-29 19:26:10,2020
16,0,20,20,17,True,True,1,2020-07-29 19:23:32+00:00,True,True,0,active,5,,,2020-07-29 19:26:10,2020
17,0,21,21,15,False,True,0,2020-07-29 18:59:48+00:00,True,True,0,active,3,,,2020-07-29 19:26:10,2020
18,0,22,22,34,True,True,0,2020-07-29 19:24:44+00:00,True,True,0,active,13,,,2020-07-29 19:26:10,2020
19,0,23,23,10,True,True,0,2020-07-29 19:23:45+00:00,True,True,0,active,11,,,2020-07-29 19:26:10,2020
20,0,24,24,11,False,True,1,2020-07-29 18:31:46+00:00,True,True,0,active,7,,,2020-07-29 19:26:10,2020
21,0,25,25,10,False,True,0,2020-07-29 18:53:07+00:00,True,True,0,active,5,,,2020-07-29 19:26:10,2020
22,0,26,26,0,False,True,0,2020-07-29 18:23:39+00:00,True,True,0,active,15,,,2020-07-29 19:26:10,2020
23,0,27,27,9,False,True,1,2020-07-29 19:23:55+00:00,True,True,0,active,13,,,2020-07-29 19:26:10,2020
24,0,29,29,3,False,True,0,2020-07-29 18:15:44+00:00,True,True,0,active,12,,,2020-07-29 19:26:10,2020
