,is_returning,last_reported,station_id,eightd_has_available_keys,num_bikes_available,num_ebikes_available,num_docks_available,is_renting,legacy_id,station_status,num_docks_disabled,num_bikes_disabled,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
75,True,2020-08-15 20:36:06+00:00,85,False,9,0,10,True,85,active,0,0,True,,,2020-08-15 21:19:05,2020
76,True,2020-08-15 21:06:37+00:00,86,False,14,0,4,True,86,active,0,1,True,,,2020-08-15 21:19:05,2020
77,True,2020-08-15 21:02:00+00:00,87,False,2,0,13,True,87,active,0,0,True,,,2020-08-15 21:19:05,2020
78,True,2020-08-15 21:16:26+00:00,89,False,12,0,7,True,89,active,0,0,True,,,2020-08-15 21:19:05,2020
79,True,2020-08-15 20:50:35+00:00,90,False,2,0,17,True,90,active,0,0,True,,,2020-08-15 21:19:05,2020
80,True,2020-08-15 21:11:39+00:00,91,False,9,0,9,True,91,active,0,1,True,,,2020-08-15 21:19:05,2020
81,True,2020-08-15 19:43:28+00:00,92,False,19,0,0,True,92,active,0,0,True,,,2020-08-15 21:19:05,2020
82,True,2020-08-15 20:57:33+00:00,93,False,7,0,8,True,93,active,0,0,True,,,2020-08-15 21:19:05,2020
83,True,2020-08-15 21:10:46+00:00,94,False,10,0,1,True,94,active,0,0,True,,,2020-08-15 21:19:05,2020
84,True,2020-08-15 21:16:00+00:00,95,False,11,0,2,True,95,active,0,2,True,,,2020-08-15 21:19:05,2020
85,True,2020-08-15 20:42:59+00:00,96,False,5,0,14,True,96,active,0,0,True,,,2020-08-15 21:19:05,2020
86,True,2020-08-15 20:54:41+00:00,97,False,5,0,14,True,97,active,0,0,True,,,2020-08-15 21:19:05,2020
87,True,2020-08-15 21:00:44+00:00,98,False,8,0,15,True,98,active,0,0,True,,,2020-08-15 21:19:05,2020
88,True,2020-08-15 21:15:04+00:00,99,False,2,0,13,True,99,active,0,0,True,,,2020-08-15 21:19:05,2020
89,True,2020-08-15 21:17:49+00:00,100,True,9,0,15,True,100,active,0,1,True,,,2020-08-15 21:19:05,2020
90,True,2020-08-15 20:18:35+00:00,101,False,9,0,6,True,101,active,0,0,True,,,2020-08-15 21:19:05,2020
91,True,2020-08-15 20:49:06+00:00,102,False,3,0,12,True,102,active,0,0,True,,,2020-08-15 21:19:05,2020
92,True,2020-08-15 20:21:23+00:00,103,False,4,0,11,True,103,active,0,0,True,,,2020-08-15 21:19:05,2020
93,True,2020-08-15 20:53:15+00:00,104,False,0,0,19,True,104,active,0,0,True,,,2020-08-15 21:19:05,2020
94,True,2020-08-15 21:14:08+00:00,105,False,0,0,18,True,105,active,0,1,True,,,2020-08-15 21:19:05,2020
95,True,2020-08-15 20:02:05+00:00,106,False,7,0,8,True,106,active,0,0,True,,,2020-08-15 21:19:05,2020
96,True,2020-08-15 21:15:16+00:00,107,False,17,0,1,True,107,active,0,1,True,,,2020-08-15 21:19:05,2020
97,True,2020-08-15 21:14:44+00:00,108,False,6,0,10,True,108,active,0,1,True,,,2020-08-15 21:19:05,2020
98,True,2020-08-15 21:17:19+00:00,109,False,2,0,32,True,109,active,0,1,True,,,2020-08-15 21:19:05,2020
99,True,2020-08-15 21:16:59+00:00,110,False,8,0,6,True,110,active,0,1,True,,,2020-08-15 21:19:05,2020
100,True,2020-08-15 19:40:08+00:00,111,False,1,0,14,True,111,active,0,0,True,,,2020-08-15 21:19:05,2020
101,True,2020-08-15 21:01:21+00:00,112,False,9,0,6,True,112,active,0,0,True,,,2020-08-15 21:19:05,2020
102,True,2020-08-15 20:38:27+00:00,113,False,4,0,11,True,113,active,0,0,True,,,2020-08-15 21:19:05,2020
103,True,2020-08-15 20:40:03+00:00,114,False,7,0,8,True,114,active,0,0,True,,,2020-08-15 21:19:05,2020
104,True,2020-08-15 21:17:48+00:00,115,False,16,0,3,True,115,active,0,0,True,,,2020-08-15 21:19:05,2020
105,True,2020-08-15 21:14:53+00:00,116,False,3,0,20,True,116,active,0,0,True,,,2020-08-15 21:19:05,2020
106,True,2020-08-15 20:31:08+00:00,117,False,5,0,14,True,117,active,0,0,True,,,2020-08-15 21:19:05,2020
107,True,2020-08-15 21:07:29+00:00,118,False,15,0,3,True,118,active,0,1,True,,,2020-08-15 21:19:05,2020
108,True,2020-08-15 21:14:59+00:00,119,False,8,0,7,True,119,active,0,0,True,,,2020-08-15 21:19:05,2020
109,True,2020-08-15 21:13:03+00:00,120,False,1,0,14,True,120,active,0,0,True,,,2020-08-15 21:19:05,2020
110,True,2020-08-15 21:14:33+00:00,121,False,8,0,9,True,121,active,0,0,True,,,2020-08-15 21:19:05,2020
111,True,2020-08-15 20:16:58+00:00,122,False,13,0,2,True,122,active,0,0,True,,,2020-08-15 21:19:05,2020
112,True,2020-08-15 21:03:50+00:00,124,False,7,0,8,True,124,active,0,0,True,,,2020-08-15 21:19:05,2020
113,True,2020-08-15 21:18:02+00:00,125,False,11,0,2,True,125,active,0,2,True,,,2020-08-15 21:19:05,2020
114,True,2020-08-15 20:43:52+00:00,126,False,3,0,11,True,126,active,0,1,True,,,2020-08-15 21:19:05,2020
