,is_installed,num_bikes_available,last_reported,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_returning,station_id,station_status,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
127,True,17,2020-07-30 17:20:07+00:00,True,0,142,0,False,5,True,142,active,1,,,2020-07-30 18:37:05,2020
128,True,2,2020-07-30 18:29:08+00:00,True,0,143,0,False,21,True,143,active,0,,,2020-07-30 18:37:05,2020
129,True,3,2020-07-30 17:23:19+00:00,True,0,144,0,False,15,True,144,active,1,,,2020-07-30 18:37:05,2020
130,True,8,2020-07-30 16:53:46+00:00,True,0,145,0,False,11,True,145,active,0,,,2020-07-30 18:37:05,2020
131,True,9,2020-07-30 18:13:16+00:00,True,0,146,0,False,9,True,146,active,1,,,2020-07-30 18:37:05,2020
132,True,14,2020-07-30 18:31:38+00:00,True,0,149,0,True,4,True,149,active,0,,,2020-07-30 18:37:05,2020
133,True,11,2020-07-30 18:25:08+00:00,True,0,150,0,False,8,True,150,active,0,,,2020-07-30 18:37:05,2020
134,True,8,2020-07-30 18:23:20+00:00,True,0,151,0,False,10,True,151,active,1,,,2020-07-30 18:37:05,2020
135,True,11,2020-07-30 17:31:18+00:00,True,0,152,0,True,4,True,152,active,0,,,2020-07-30 18:37:05,2020
136,True,4,2020-07-30 18:33:12+00:00,True,0,156,0,False,11,True,156,active,0,,,2020-07-30 18:37:05,2020
137,True,3,2020-07-30 18:33:21+00:00,True,0,157,0,False,11,True,157,active,1,,,2020-07-30 18:37:05,2020
138,True,6,2020-07-30 18:34:53+00:00,True,0,159,0,False,8,True,159,active,1,,,2020-07-30 18:37:05,2020
139,True,5,2020-07-30 18:28:53+00:00,True,0,160,0,True,9,True,160,active,0,,,2020-07-30 18:37:05,2020
140,True,0,2020-07-30 17:31:48+00:00,True,0,161,0,True,23,True,161,active,0,,,2020-07-30 18:37:05,2020
141,True,0,2020-07-30 16:52:51+00:00,True,0,162,0,False,15,True,162,active,0,,,2020-07-30 18:37:05,2020
142,True,7,2020-07-30 16:13:36+00:00,True,0,163,0,True,12,True,163,active,0,,,2020-07-30 18:37:05,2020
143,True,7,2020-07-30 18:15:46+00:00,True,0,167,0,False,7,True,167,active,1,,,2020-07-30 18:37:05,2020
144,True,9,2020-07-30 18:26:32+00:00,True,0,169,0,False,10,True,169,active,0,,,2020-07-30 18:37:05,2020
145,True,1,2020-07-30 17:21:59+00:00,True,0,170,0,True,13,True,170,active,0,,,2020-07-30 18:37:05,2020
146,True,1,2020-07-30 17:27:23+00:00,True,0,171,0,True,22,True,171,active,0,,,2020-07-30 18:37:05,2020
147,True,2,2020-07-30 18:31:29+00:00,True,0,173,0,True,10,True,173,active,2,,,2020-07-30 18:37:05,2020
148,True,11,2020-07-30 17:26:27+00:00,True,0,174,0,False,4,True,174,active,0,,,2020-07-30 18:37:05,2020
149,True,1,2020-07-30 18:17:52+00:00,True,0,175,0,True,16,True,175,active,0,,,2020-07-30 18:37:05,2020
150,True,9,2020-07-30 18:13:36+00:00,True,0,176,0,False,6,True,176,active,0,,,2020-07-30 18:37:05,2020
151,True,8,2020-07-30 18:28:10+00:00,True,0,177,0,False,10,True,177,active,1,,,2020-07-30 18:37:05,2020
152,True,18,2020-07-30 18:25:19+00:00,True,0,178,0,False,1,True,178,active,0,,,2020-07-30 18:37:05,2020
153,True,2,2020-07-30 18:31:13+00:00,True,0,179,0,False,23,True,179,active,0,,,2020-07-30 18:37:05,2020
154,True,7,2020-07-30 16:06:46+00:00,True,0,180,0,False,12,True,180,active,0,,,2020-07-30 18:37:05,2020
155,True,1,2020-07-30 18:23:09+00:00,True,0,181,0,False,17,True,181,active,1,,,2020-07-30 18:37:05,2020
156,True,8,2020-07-30 17:31:24+00:00,True,0,182,0,True,10,True,182,active,1,,,2020-07-30 18:37:05,2020
157,True,9,2020-07-30 17:53:17+00:00,True,0,183,0,False,10,True,183,active,0,,,2020-07-30 18:37:05,2020
158,True,19,2020-07-30 16:52:24+00:00,True,0,184,0,False,0,True,184,active,0,,,2020-07-30 18:37:05,2020
159,True,7,2020-07-30 18:08:45+00:00,True,0,185,0,False,8,True,185,active,0,,,2020-07-30 18:37:05,2020
160,True,5,2020-07-30 17:40:05+00:00,True,0,186,0,True,10,True,186,active,0,,,2020-07-30 18:37:05,2020
161,True,11,2020-07-30 18:33:17+00:00,True,0,187,0,False,4,True,187,active,0,,,2020-07-30 18:37:05,2020
162,True,10,2020-07-30 17:57:53+00:00,True,0,188,0,False,4,True,188,active,1,,,2020-07-30 18:37:05,2020
163,True,22,2020-07-30 18:18:37+00:00,True,0,189,0,True,1,True,189,active,0,,,2020-07-30 18:37:05,2020
164,True,17,2020-07-30 18:30:13+00:00,True,0,190,0,False,20,True,190,active,0,,,2020-07-30 18:37:05,2020
165,True,2,2020-07-30 15:41:20+00:00,True,0,191,0,False,13,True,191,active,0,,,2020-07-30 18:37:05,2020
166,True,18,2020-07-30 18:10:44+00:00,True,0,192,0,False,1,True,192,active,0,,,2020-07-30 18:37:05,2020
167,True,11,2020-07-30 18:09:46+00:00,True,0,193,0,True,4,True,193,active,0,,,2020-07-30 18:37:05,2020
168,True,13,2020-07-30 15:33:13+00:00,True,0,194,0,False,6,True,194,active,0,,,2020-07-30 18:37:05,2020
169,True,10,2020-07-30 18:22:08+00:00,True,0,195,0,False,13,True,195,active,0,,,2020-07-30 18:37:05,2020
170,True,1,2020-07-30 18:18:38+00:00,True,0,196,0,True,8,True,196,active,1,,,2020-07-30 18:37:05,2020
171,True,1,2020-07-30 18:10:37+00:00,True,0,197,0,False,14,True,197,active,0,,,2020-07-30 18:37:05,2020
172,True,6,2020-07-30 14:28:13+00:00,True,0,199,0,False,9,True,199,active,0,,,2020-07-30 18:37:05,2020
173,True,9,2020-07-30 18:31:25+00:00,True,0,200,0,False,10,True,200,active,0,,,2020-07-30 18:37:05,2020
174,True,1,2020-07-30 16:46:13+00:00,True,0,201,0,False,14,True,201,active,0,,,2020-07-30 18:37:05,2020
175,True,4,2020-07-30 17:30:29+00:00,True,0,202,0,False,10,True,202,active,1,,,2020-07-30 18:37:05,2020
176,True,6,2020-07-30 11:51:49+00:00,True,0,203,0,False,9,True,203,active,0,,,2020-07-30 18:37:05,2020
177,True,1,2020-07-30 08:25:15+00:00,True,0,204,0,False,14,True,204,active,0,,,2020-07-30 18:37:05,2020
178,True,7,2020-07-30 18:36:37+00:00,True,0,205,0,False,8,True,205,active,0,,,2020-07-30 18:37:05,2020
179,True,13,2020-07-30 18:28:30+00:00,True,0,206,0,False,10,True,206,active,0,,,2020-07-30 18:37:05,2020
180,True,14,2020-07-30 17:22:25+00:00,True,0,208,0,True,1,True,208,active,0,,,2020-07-30 18:37:05,2020
181,True,12,2020-07-30 08:20:08+00:00,True,0,209,0,False,2,True,209,active,1,,,2020-07-30 18:37:05,2020
182,True,1,2020-07-30 13:13:26+00:00,True,0,210,0,False,14,True,210,active,0,,,2020-07-30 18:37:05,2020
183,True,14,2020-07-30 15:39:49+00:00,True,0,211,0,False,4,True,211,active,1,,,2020-07-30 18:37:05,2020
184,True,10,2020-07-30 18:05:49+00:00,True,0,212,0,False,23,True,212,active,0,,,2020-07-30 18:37:05,2020
185,True,6,2020-07-30 18:00:42+00:00,True,0,213,0,True,10,True,213,active,0,,,2020-07-30 18:37:05,2020
