,last_reported,num_ebikes_available,num_docks_available,legacy_id,station_status,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,station_id,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,2020-07-11 22:06:36+00:00,0,16,56,active,1,True,True,True,True,56,0,1,,,2020-07-11 23:27:55,2020
49,2020-07-11 23:17:37+00:00,0,1,57,active,0,True,True,True,True,57,0,13,,,2020-07-11 23:27:55,2020
50,2020-07-11 23:26:36+00:00,0,16,58,active,0,True,True,True,True,58,2,1,,,2020-07-11 23:27:55,2020
51,2020-07-11 22:16:02+00:00,0,17,59,active,0,True,True,True,True,59,1,1,,,2020-07-11 23:27:55,2020
52,2020-07-11 23:27:03+00:00,0,11,60,active,0,True,True,True,False,60,1,7,"{'off_dock_count': 0, 'off_dock_capacity': 40, 'valet_revision': 44, 'region': 'BOS', 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-11 23:27:55,2020
53,2020-07-11 23:25:58+00:00,0,14,61,active,0,True,True,True,False,61,0,5,,,2020-07-11 23:27:55,2020
54,2020-07-11 21:41:12+00:00,0,7,63,active,0,True,True,True,False,63,0,8,,,2020-07-11 23:27:55,2020
55,2020-07-11 23:26:20+00:00,0,2,64,active,0,True,True,True,False,64,1,16,,,2020-07-11 23:27:55,2020
56,2020-07-11 22:51:08+00:00,0,17,65,active,0,True,True,True,False,65,0,6,,,2020-07-11 23:27:55,2020
57,2020-07-11 23:23:59+00:00,0,10,66,active,0,True,True,True,False,66,0,5,,,2020-07-11 23:27:55,2020
58,2020-07-11 23:20:50+00:00,0,19,67,active,0,True,True,True,True,67,0,8,,,2020-07-11 23:27:55,2020
59,2020-07-11 23:25:03+00:00,0,13,68,active,0,True,True,True,True,68,0,6,,,2020-07-11 23:27:55,2020
60,2020-07-11 23:26:44+00:00,0,15,69,active,0,True,True,True,True,69,1,3,,,2020-07-11 23:27:55,2020
61,2020-07-11 22:55:37+00:00,0,4,70,active,0,True,True,True,False,70,1,18,,,2020-07-11 23:27:55,2020
62,2020-07-11 23:26:41+00:00,0,5,71,active,0,True,True,True,False,71,0,18,,,2020-07-11 23:27:55,2020
63,2020-07-11 23:27:06+00:00,0,15,72,active,0,True,True,True,False,72,2,6,,,2020-07-11 23:27:55,2020
64,2020-07-11 23:15:14+00:00,0,2,73,active,0,True,True,True,False,73,0,13,,,2020-07-11 23:27:55,2020
65,2020-07-11 23:26:09+00:00,0,4,74,active,0,True,True,True,True,74,2,13,,,2020-07-11 23:27:55,2020
66,2020-07-11 23:23:00+00:00,0,9,75,active,0,True,True,True,False,75,0,6,,,2020-07-11 23:27:55,2020
67,2020-07-11 23:24:14+00:00,0,17,76,active,0,True,True,True,False,76,0,0,,,2020-07-11 23:27:55,2020
68,2020-07-11 23:17:53+00:00,0,8,77,active,0,True,True,True,False,77,0,7,,,2020-07-11 23:27:55,2020
69,2020-07-11 23:20:53+00:00,0,1,78,active,0,True,True,True,False,78,0,18,,,2020-07-11 23:27:55,2020
70,2020-07-11 22:11:12+00:00,0,19,79,active,0,True,True,True,False,79,0,0,,,2020-07-11 23:27:55,2020
71,2020-07-11 23:14:07+00:00,0,21,80,active,0,True,True,True,False,80,0,14,,,2020-07-11 23:27:55,2020
72,2020-07-11 23:27:24+00:00,0,12,81,active,0,True,True,True,False,81,1,6,,,2020-07-11 23:27:55,2020
73,2020-07-11 23:05:18+00:00,0,10,82,active,0,True,True,True,False,82,0,5,,,2020-07-11 23:27:55,2020
74,2020-07-11 23:10:50+00:00,0,8,84,active,0,True,True,True,False,84,1,6,,,2020-07-11 23:27:55,2020
75,2020-07-11 22:24:53+00:00,0,10,85,active,0,True,True,True,False,85,0,9,,,2020-07-11 23:27:55,2020
76,2020-07-11 23:18:10+00:00,0,18,86,active,0,True,True,True,False,86,1,0,,,2020-07-11 23:27:55,2020
77,2020-07-11 23:25:25+00:00,0,9,87,active,0,True,True,True,False,87,0,6,,,2020-07-11 23:27:55,2020
78,2020-07-11 22:49:26+00:00,0,18,89,active,0,True,True,True,False,89,0,1,,,2020-07-11 23:27:55,2020
79,2020-07-11 23:14:10+00:00,0,15,90,active,0,True,True,True,False,90,1,3,,,2020-07-11 23:27:55,2020
80,2020-07-11 23:22:27+00:00,0,8,91,active,0,True,True,True,False,91,1,10,,,2020-07-11 23:27:55,2020
81,2020-07-11 23:12:50+00:00,0,13,92,active,0,True,True,True,False,92,0,6,,,2020-07-11 23:27:55,2020
82,2020-07-11 22:24:34+00:00,0,0,93,active,0,True,True,True,False,93,2,13,,,2020-07-11 23:27:55,2020
83,2020-07-11 23:23:03+00:00,0,2,94,active,0,True,True,True,False,94,0,9,,,2020-07-11 23:27:55,2020
84,2020-07-11 23:20:54+00:00,0,5,95,active,0,True,True,True,False,95,1,9,,,2020-07-11 23:27:55,2020
85,2020-07-11 23:21:40+00:00,0,9,96,active,0,True,True,True,False,96,0,10,,,2020-07-11 23:27:55,2020
86,2020-07-11 23:16:37+00:00,0,10,97,active,0,True,True,True,False,97,0,9,,,2020-07-11 23:27:55,2020
87,2020-07-11 22:59:30+00:00,0,12,98,active,0,True,True,True,False,98,1,10,,,2020-07-11 23:27:55,2020
88,2020-07-11 22:47:43+00:00,0,8,99,active,0,True,True,True,False,99,0,7,,,2020-07-11 23:27:55,2020
89,2020-07-11 23:20:07+00:00,0,14,100,active,0,True,True,True,True,100,1,10,,,2020-07-11 23:27:55,2020
90,2020-07-11 22:36:39+00:00,0,6,101,active,0,True,True,True,False,101,0,9,,,2020-07-11 23:27:55,2020
