,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,active,3,6,0,3,0,True,True,9,True,False,2020-08-21 21:31:40+00:00,0,,,2020-08-21 21:38:50,2020
1,active,4,2,1,4,0,True,True,16,True,False,2020-08-21 21:29:43+00:00,0,,,2020-08-21 21:38:50,2020
2,active,5,6,0,5,0,True,True,9,True,False,2020-08-21 21:37:34+00:00,0,,,2020-08-21 21:38:50,2020
3,active,6,13,1,6,0,True,True,1,True,False,2020-08-21 21:36:14+00:00,0,,,2020-08-21 21:38:50,2020
4,active,7,6,0,7,0,True,True,9,True,False,2020-08-21 21:34:51+00:00,0,,,2020-08-21 21:38:50,2020
5,active,8,5,2,8,0,True,True,12,True,False,2020-08-21 21:35:43+00:00,0,,,2020-08-21 21:38:50,2020
6,active,9,7,0,9,0,True,True,8,True,False,2020-08-21 21:28:53+00:00,0,,,2020-08-21 21:38:50,2020
7,active,10,11,0,10,0,True,True,0,True,False,2020-08-21 21:35:54+00:00,0,,,2020-08-21 21:38:50,2020
8,active,11,4,1,11,0,True,True,10,True,False,2020-08-21 21:38:35+00:00,0,"{'off_dock_count': 36, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'region': 'BOS', 'valet_revision': 100, 'dock_blocked_count': 0, 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-21 21:38:50,2020
9,active,12,17,0,12,0,True,True,1,True,True,2020-08-21 21:34:15+00:00,0,,,2020-08-21 21:38:50,2020
10,active,13,19,0,13,0,True,True,0,True,False,2020-08-21 21:36:57+00:00,0,,,2020-08-21 21:38:50,2020
11,active,14,13,2,14,0,True,True,10,True,False,2020-08-21 21:36:25+00:00,0,,,2020-08-21 21:38:50,2020
12,active,15,2,1,15,0,True,True,12,True,False,2020-08-21 21:03:35+00:00,0,,,2020-08-21 21:38:50,2020
13,active,16,11,0,16,0,True,True,8,True,True,2020-08-21 21:37:08+00:00,0,,,2020-08-21 21:38:50,2020
14,active,17,11,0,17,0,True,True,4,True,False,2020-08-21 21:11:59+00:00,0,,,2020-08-21 21:38:50,2020
15,active,19,14,0,19,0,True,True,1,True,False,2020-08-21 21:22:10+00:00,0,,,2020-08-21 21:38:50,2020
16,active,20,1,1,20,0,True,True,21,True,True,2020-08-21 21:37:28+00:00,0,,,2020-08-21 21:38:50,2020
17,active,21,8,0,21,0,True,True,10,True,True,2020-08-21 21:38:31+00:00,0,,,2020-08-21 21:38:50,2020
18,active,22,35,1,22,0,True,True,11,True,True,2020-08-21 21:38:12+00:00,0,,,2020-08-21 21:38:50,2020
19,active,23,11,0,23,0,True,True,10,True,False,2020-08-21 21:27:01+00:00,0,,,2020-08-21 21:38:50,2020
20,active,24,18,1,24,0,True,True,0,True,False,2020-08-21 21:22:21+00:00,0,,,2020-08-21 21:38:50,2020
21,active,25,9,0,25,0,True,True,6,True,False,2020-08-21 21:37:19+00:00,0,,,2020-08-21 21:38:50,2020
22,active,26,9,0,26,0,True,True,6,True,False,2020-08-21 21:22:38+00:00,0,,,2020-08-21 21:38:50,2020
23,active,27,17,0,27,0,True,True,6,True,False,2020-08-21 21:29:55+00:00,0,,,2020-08-21 21:38:50,2020
24,active,29,13,0,29,0,True,True,2,True,False,2020-08-21 21:20:43+00:00,0,,,2020-08-21 21:38:50,2020
