,eightd_has_available_keys,num_docks_disabled,is_renting,num_docks_available,is_installed,num_ebikes_available,legacy_id,last_reported,is_returning,station_status,num_bikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,11,True,0,3,2020-07-29 19:16:30+00:00,True,active,2,3,2,,,2020-07-29 19:36:30,2020
1,False,0,True,9,True,0,4,2020-07-29 19:28:10+00:00,True,active,10,4,0,,,2020-07-29 19:36:30,2020
2,False,0,True,8,True,0,5,2020-07-29 19:32:06+00:00,True,active,6,5,1,,,2020-07-29 19:36:30,2020
3,False,0,True,2,True,0,6,2020-07-29 19:28:46+00:00,True,active,13,6,0,,,2020-07-29 19:36:30,2020
4,False,0,True,11,True,0,7,2020-07-29 19:30:49+00:00,True,active,4,7,0,,,2020-07-29 19:36:30,2020
5,False,0,True,12,True,0,8,2020-07-29 19:35:01+00:00,True,active,6,8,1,,,2020-07-29 19:36:30,2020
6,False,0,True,10,True,0,9,2020-07-29 19:33:35+00:00,True,active,3,9,2,,,2020-07-29 19:36:30,2020
7,False,0,True,6,True,0,10,2020-07-29 19:31:56+00:00,True,active,4,10,1,,,2020-07-29 19:36:30,2020
8,False,0,True,4,True,0,11,2020-07-29 19:30:34+00:00,True,active,9,11,2,"{'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 50, 'off_dock_count': 50, 'valet_revision': 69, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 19:36:30,2020
9,True,0,True,8,True,0,12,2020-07-29 19:10:19+00:00,True,active,9,12,1,,,2020-07-29 19:36:30,2020
10,False,0,True,10,True,0,13,2020-07-29 19:27:33+00:00,True,active,9,13,0,,,2020-07-29 19:36:30,2020
11,False,0,True,12,True,0,14,2020-07-29 19:25:27+00:00,True,active,13,14,0,,,2020-07-29 19:36:30,2020
12,False,0,True,7,True,0,15,2020-07-29 19:03:50+00:00,True,active,8,15,0,,,2020-07-29 19:36:30,2020
13,True,0,True,13,True,0,16,2020-07-29 18:54:33+00:00,True,active,5,16,1,,,2020-07-29 19:36:30,2020
14,False,0,True,1,True,0,17,2020-07-29 19:35:45+00:00,True,active,14,17,0,,,2020-07-29 19:36:30,2020
15,False,0,True,11,True,0,19,2020-07-29 19:10:50+00:00,True,active,4,19,0,,,2020-07-29 19:36:30,2020
16,True,0,True,17,True,0,20,2020-07-29 19:23:32+00:00,True,active,5,20,1,,,2020-07-29 19:36:30,2020
17,False,0,True,15,True,0,21,2020-07-29 19:35:38+00:00,True,active,3,21,0,,,2020-07-29 19:36:30,2020
18,True,0,True,35,True,0,22,2020-07-29 19:33:50+00:00,True,active,12,22,0,,,2020-07-29 19:36:30,2020
19,True,0,True,10,True,0,23,2020-07-29 19:23:45+00:00,True,active,11,23,0,,,2020-07-29 19:36:30,2020
20,False,0,True,10,True,0,24,2020-07-29 19:33:42+00:00,True,active,8,24,1,,,2020-07-29 19:36:30,2020
21,False,0,True,12,True,0,25,2020-07-29 19:36:08+00:00,True,active,3,25,0,,,2020-07-29 19:36:30,2020
22,False,0,True,0,True,0,26,2020-07-29 18:23:39+00:00,True,active,15,26,0,,,2020-07-29 19:36:30,2020
23,False,0,True,9,True,0,27,2020-07-29 19:23:55+00:00,True,active,13,27,1,,,2020-07-29 19:36:30,2020
24,False,0,True,3,True,0,29,2020-07-29 18:15:44+00:00,True,active,12,29,0,,,2020-07-29 19:36:30,2020
25,False,0,True,3,True,0,30,2020-07-29 19:27:50+00:00,True,active,12,30,0,,,2020-07-29 19:36:30,2020
26,True,0,True,12,True,0,31,2020-07-29 19:23:09+00:00,True,active,6,31,1,,,2020-07-29 19:36:30,2020
27,False,0,True,9,True,0,32,2020-07-29 19:35:04+00:00,True,active,5,32,1,,,2020-07-29 19:36:30,2020
28,False,0,True,9,True,0,33,2020-07-29 19:34:15+00:00,True,active,18,33,0,,,2020-07-29 19:36:30,2020
29,False,0,True,19,True,0,35,2020-07-29 19:26:39+00:00,True,active,4,35,0,,,2020-07-29 19:36:30,2020
30,True,0,True,13,True,0,36,2020-07-29 19:31:26+00:00,True,active,20,36,0,,,2020-07-29 19:36:30,2020
31,True,0,True,15,True,0,37,2020-07-29 17:19:07+00:00,True,active,0,37,0,,,2020-07-29 19:36:30,2020
32,False,0,True,7,True,0,39,2020-07-29 19:31:45+00:00,True,active,15,39,1,,,2020-07-29 19:36:30,2020
33,False,0,True,11,True,0,40,2020-07-29 19:05:47+00:00,True,active,8,40,0,,,2020-07-29 19:36:30,2020
34,True,0,True,12,True,0,41,2020-07-29 19:33:05+00:00,True,active,14,41,1,,,2020-07-29 19:36:30,2020
35,False,0,True,6,True,0,42,2020-07-29 19:24:44+00:00,True,active,16,42,1,,,2020-07-29 19:36:30,2020
36,True,0,True,7,True,0,43,2020-07-29 19:09:27+00:00,True,active,8,43,0,,,2020-07-29 19:36:30,2020
37,False,0,True,6,True,0,44,2020-07-29 19:21:32+00:00,True,active,17,44,0,,,2020-07-29 19:36:30,2020
38,False,0,True,9,True,0,46,2020-07-29 19:34:25+00:00,True,active,8,46,2,,,2020-07-29 19:36:30,2020
39,True,0,True,7,True,0,47,2020-07-29 19:36:12+00:00,True,active,11,47,1,,,2020-07-29 19:36:30,2020
40,False,0,True,4,True,0,48,2020-07-29 18:55:27+00:00,True,active,15,48,0,,,2020-07-29 19:36:30,2020
41,False,0,True,8,True,0,49,2020-07-29 19:28:35+00:00,True,active,10,49,0,,,2020-07-29 19:36:30,2020
42,True,0,True,1,True,0,50,2020-07-29 19:34:07+00:00,True,active,13,50,1,,,2020-07-29 19:36:30,2020
43,False,0,True,6,True,0,51,2020-07-29 19:08:54+00:00,True,active,6,51,3,,,2020-07-29 19:36:30,2020
44,True,0,True,19,True,0,52,2020-07-29 19:36:19+00:00,True,active,4,52,0,,,2020-07-29 19:36:30,2020
45,False,0,True,16,True,0,53,2020-07-29 19:35:53+00:00,True,active,3,53,0,,,2020-07-29 19:36:30,2020
46,False,0,True,9,True,0,54,2020-07-29 19:11:55+00:00,True,active,6,54,0,,,2020-07-29 19:36:30,2020
47,False,0,True,11,True,0,55,2020-07-29 19:12:46+00:00,True,active,4,55,0,,,2020-07-29 19:36:30,2020
48,True,0,True,6,True,0,56,2020-07-29 18:31:43+00:00,True,active,12,56,0,,,2020-07-29 19:36:30,2020
49,True,0,True,11,True,0,57,2020-07-29 19:29:41+00:00,True,active,3,57,0,,,2020-07-29 19:36:30,2020
50,True,0,True,14,True,0,58,2020-07-29 19:35:55+00:00,True,active,4,58,1,,,2020-07-29 19:36:30,2020
51,True,0,True,13,True,0,59,2020-07-29 19:12:13+00:00,True,active,6,59,0,,,2020-07-29 19:36:30,2020
52,False,0,True,14,True,0,60,2020-07-29 19:30:52+00:00,True,active,5,60,0,"{'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 40, 'off_dock_count': 28, 'valet_revision': 61, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 19:36:30,2020
53,False,0,True,10,True,0,61,2020-07-29 19:35:10+00:00,True,active,8,61,1,,,2020-07-29 19:36:30,2020
54,False,0,True,0,True,0,63,2020-07-29 19:23:59+00:00,True,active,15,63,0,,,2020-07-29 19:36:30,2020
55,False,0,True,3,True,0,64,2020-07-29 19:35:11+00:00,True,active,15,64,1,,,2020-07-29 19:36:30,2020
56,False,0,True,13,True,0,65,2020-07-29 19:27:49+00:00,True,active,9,65,1,,,2020-07-29 19:36:30,2020
57,False,0,True,13,True,0,66,2020-07-29 19:28:08+00:00,True,active,2,66,0,,,2020-07-29 19:36:30,2020
58,True,0,True,17,True,0,67,2020-07-29 19:08:06+00:00,True,active,8,67,2,,,2020-07-29 19:36:30,2020
59,True,0,True,17,True,0,68,2020-07-29 19:29:14+00:00,True,active,1,68,1,,,2020-07-29 19:36:30,2020
