,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,timestamp
283,394,10,0,1,3,0,True,True,True,2020-03-10 14:41:02+00:00
284,395,13,0,0,2,0,True,True,True,2020-03-10 19:27:01+00:00
285,396,4,0,2,9,0,True,True,True,2020-03-10 13:36:03+00:00
286,397,10,0,1,4,0,True,True,True,2020-03-10 20:49:21+00:00
287,398,18,0,0,1,0,True,True,True,2020-03-10 21:02:45+00:00
288,399,2,0,0,13,0,True,True,True,2020-03-10 20:52:51+00:00
289,400,7,0,1,19,0,True,True,True,2020-03-10 21:20:20+00:00
290,401,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
291,402,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
292,403,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
293,404,4,0,1,11,0,True,True,True,2020-03-10 21:22:29+00:00
294,405,17,0,0,2,0,True,True,True,2020-03-10 21:19:31+00:00
295,406,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
296,407,5,0,1,13,0,True,True,True,2020-03-10 20:55:41+00:00
297,408,6,0,0,9,0,True,True,True,2020-03-10 19:35:18+00:00
298,409,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
299,410,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
300,411,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
301,412,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
302,413,5,0,0,14,0,True,True,True,2020-03-10 21:22:38+00:00
303,414,0,0,0,23,0,True,True,True,2020-03-10 21:19:03+00:00
304,415,5,0,0,14,0,True,True,True,2020-03-10 21:18:46+00:00
305,416,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
306,417,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
307,419,6,0,0,9,0,True,True,True,2020-03-10 15:46:19+00:00
308,420,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
309,421,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
310,422,12,0,0,3,0,True,True,True,2020-03-10 08:59:25+00:00
311,423,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
312,424,8,0,0,11,0,True,True,True,2020-03-10 20:45:19+00:00
313,425,4,0,0,12,0,True,True,True,2020-03-10 16:38:03+00:00
314,426,11,0,0,16,0,True,True,True,2020-03-10 21:22:15+00:00
315,427,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
316,428,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
317,430,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
318,431,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
319,432,3,0,0,16,0,True,True,True,2020-03-10 16:21:51+00:00
320,433,5,0,0,14,0,True,True,True,2020-03-10 21:08:11+00:00
321,434,6,0,1,12,0,True,True,True,2020-03-10 20:12:08+00:00
322,435,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
323,436,8,0,3,4,0,True,True,True,2020-03-10 12:19:21+00:00
324,437,0,0,0,19,0,True,True,True,2020-03-10 21:13:15+00:00
325,440,1,0,1,15,0,True,True,True,2020-03-10 21:17:08+00:00
326,441,8,0,0,11,0,True,True,True,2020-03-10 21:15:43+00:00
327,442,4,0,0,11,0,True,True,True,2020-03-10 13:29:20+00:00
328,443,11,0,1,7,0,True,True,True,2020-03-10 20:27:16+00:00
329,445,5,0,1,13,0,True,True,True,2020-03-10 15:42:50+00:00
330,446,6,0,0,6,0,True,True,True,2020-03-10 21:21:38+00:00
