,num_bikes_disabled,station_status,station_id,legacy_id,num_docks_disabled,is_returning,last_reported,num_ebikes_available,is_installed,num_docks_available,num_bikes_available,eightd_has_available_keys,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
117,0,active,130,130,0,True,2020-08-20 19:18:58+00:00,0,True,2,13,False,True,,,2020-08-20 20:09:10,2020
118,0,active,131,131,0,True,2020-08-20 20:06:40+00:00,0,True,11,7,False,True,,,2020-08-20 20:09:10,2020
119,1,active,133,133,0,True,2020-08-20 18:52:00+00:00,0,True,10,12,False,True,,,2020-08-20 20:09:10,2020
120,0,active,135,135,0,True,2020-08-20 19:46:42+00:00,0,True,13,4,False,True,,,2020-08-20 20:09:10,2020
121,0,active,136,136,0,True,2020-08-20 18:38:19+00:00,0,True,15,4,False,True,,,2020-08-20 20:09:10,2020
122,1,active,137,137,0,True,2020-08-20 19:58:20+00:00,0,True,9,5,False,True,,,2020-08-20 20:09:10,2020
123,0,active,138,138,0,True,2020-08-20 20:00:36+00:00,0,True,4,11,False,True,,,2020-08-20 20:09:10,2020
124,0,active,139,139,0,True,2020-08-20 20:08:36+00:00,0,True,15,4,False,True,,,2020-08-20 20:09:10,2020
125,0,active,140,140,0,True,2020-08-20 20:01:47+00:00,0,True,7,10,False,True,,,2020-08-20 20:09:10,2020
126,0,active,141,141,0,True,2020-08-20 19:58:55+00:00,0,True,8,7,False,True,,,2020-08-20 20:09:10,2020
127,0,active,142,142,0,True,2020-08-20 20:00:53+00:00,0,True,8,15,False,True,,,2020-08-20 20:09:10,2020
128,0,active,143,143,0,True,2020-08-20 20:03:53+00:00,0,True,15,8,False,True,,,2020-08-20 20:09:10,2020
129,0,active,144,144,0,True,2020-08-20 19:39:43+00:00,0,True,4,15,False,True,,,2020-08-20 20:09:10,2020
130,0,active,145,145,0,True,2020-08-20 19:30:41+00:00,0,True,8,11,False,True,,,2020-08-20 20:09:10,2020
131,0,active,146,146,0,True,2020-08-20 19:57:55+00:00,0,True,6,13,False,True,,,2020-08-20 20:09:10,2020
