,num_docks_disabled,is_returning,num_ebikes_available,num_bikes_disabled,num_docks_available,is_renting,station_id,eightd_has_available_keys,station_status,legacy_id,last_reported,is_installed,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
195,0,True,0,3,1,True,225,False,active,225,2020-07-30 01:10:45+00:00,True,15,,,2020-07-30 01:13:30,2020
196,0,True,0,0,10,True,226,False,active,226,2020-07-30 00:55:58+00:00,True,5,,,2020-07-30 01:13:30,2020
197,0,True,0,1,4,True,227,False,active,227,2020-07-30 01:05:39+00:00,True,14,,,2020-07-30 01:13:30,2020
198,0,True,0,0,10,True,228,False,active,228,2020-07-30 00:57:37+00:00,True,9,,,2020-07-30 01:13:30,2020
199,0,True,0,0,7,True,232,False,active,232,2020-07-29 23:15:59+00:00,True,4,,,2020-07-30 01:13:30,2020
200,0,True,0,2,12,True,233,False,active,233,2020-07-30 01:02:29+00:00,True,1,,,2020-07-30 01:13:30,2020
201,0,True,0,0,11,True,234,False,active,234,2020-07-29 22:13:33+00:00,True,4,,,2020-07-30 01:13:30,2020
202,0,True,0,0,5,True,235,False,active,235,2020-07-30 01:09:57+00:00,True,10,,,2020-07-30 01:13:30,2020
203,0,True,0,0,5,True,236,False,active,236,2020-07-30 01:08:59+00:00,True,10,,,2020-07-30 01:13:30,2020
204,0,True,0,0,9,True,239,False,active,239,2020-07-30 00:24:08+00:00,True,6,,,2020-07-30 01:13:30,2020
205,0,True,0,0,4,True,255,False,active,255,2020-07-29 17:50:43+00:00,True,11,,,2020-07-30 01:13:30,2020
206,0,True,0,0,5,True,258,False,active,258,2020-07-30 00:45:27+00:00,True,10,,,2020-07-30 01:13:30,2020
207,0,True,0,0,14,True,259,False,active,259,2020-07-29 22:31:42+00:00,True,1,,,2020-07-30 01:13:30,2020
208,0,True,0,3,4,True,260,False,active,260,2020-07-29 22:46:53+00:00,True,8,,,2020-07-30 01:13:30,2020
209,0,True,0,1,14,True,271,False,active,271,2020-07-30 00:14:55+00:00,True,0,,,2020-07-30 01:13:30,2020
210,0,True,0,2,11,True,272,False,active,272,2020-07-30 00:58:17+00:00,True,6,,,2020-07-30 01:13:30,2020
211,0,True,0,1,10,True,273,False,active,273,2020-07-30 01:07:38+00:00,True,29,,,2020-07-30 01:13:30,2020
212,0,True,0,0,7,True,279,False,active,279,2020-07-30 01:07:13+00:00,True,12,,,2020-07-30 01:13:30,2020
213,0,True,0,0,13,True,280,False,active,280,2020-07-30 00:21:53+00:00,True,6,,,2020-07-30 01:13:30,2020
214,0,True,0,1,0,True,282,False,active,282,2020-07-30 00:16:05+00:00,True,14,,,2020-07-30 01:13:30,2020
215,0,True,0,0,15,True,296,False,active,296,2020-07-30 01:00:52+00:00,True,8,,,2020-07-30 01:13:30,2020
216,0,True,0,1,15,True,318,False,active,318,2020-07-30 01:09:50+00:00,True,3,,,2020-07-30 01:13:30,2020
217,0,True,0,0,14,True,319,False,active,319,2020-07-30 00:03:44+00:00,True,11,,,2020-07-30 01:13:30,2020
