,station_id,last_reported,num_ebikes_available,num_bikes_disabled,legacy_id,num_bikes_available,num_docks_available,is_installed,num_docks_disabled,station_status,eightd_has_available_keys,is_renting,is_returning,timestamp_of_data_read_request,year_station_last_reported
52,60,2020-08-12 22:28:49+00:00,0,0,60,17,2,True,0,active,False,True,True,2020-08-12 22:29:20,2020
53,61,2020-08-12 22:27:59+00:00,0,1,61,12,6,True,0,active,False,True,True,2020-08-12 22:29:20,2020
54,63,2020-08-12 21:58:55+00:00,0,0,63,2,13,True,0,active,False,True,True,2020-08-12 22:29:20,2020
55,64,2020-08-12 22:16:46+00:00,0,0,64,9,10,True,0,active,False,True,True,2020-08-12 22:29:20,2020
56,65,2020-08-12 22:07:17+00:00,0,0,65,0,23,True,0,active,False,True,True,2020-08-12 22:29:20,2020
57,66,2020-08-12 21:59:20+00:00,0,1,66,8,6,True,0,active,False,True,True,2020-08-12 22:29:20,2020
58,67,2020-08-12 22:22:25+00:00,0,0,67,10,17,True,0,active,True,True,True,2020-08-12 22:29:20,2020
59,68,2020-08-12 22:28:41+00:00,0,2,68,13,4,True,0,active,True,True,True,2020-08-12 22:29:20,2020
60,69,2020-08-12 22:28:35+00:00,0,0,69,6,13,True,0,active,True,True,True,2020-08-12 22:29:20,2020
61,70,2020-08-12 21:47:40+00:00,0,0,70,17,6,True,0,active,False,True,True,2020-08-12 22:29:20,2020
62,71,2020-08-12 22:21:27+00:00,0,0,71,22,1,True,0,active,False,True,True,2020-08-12 22:29:20,2020
63,72,2020-08-12 22:27:59+00:00,0,0,72,10,13,True,0,active,False,True,True,2020-08-12 22:29:20,2020
64,73,2020-08-12 22:26:47+00:00,0,2,73,7,6,True,0,active,False,True,True,2020-08-12 22:29:20,2020
65,74,2020-08-12 22:24:07+00:00,0,1,74,15,3,True,0,active,True,True,True,2020-08-12 22:29:20,2020
66,75,2020-08-12 22:20:29+00:00,0,0,75,4,11,True,0,active,False,True,True,2020-08-12 22:29:20,2020
67,76,2020-08-12 22:25:38+00:00,0,0,76,9,8,True,0,active,False,True,True,2020-08-12 22:29:20,2020
68,77,2020-08-12 21:19:28+00:00,0,1,77,11,3,True,0,active,False,True,True,2020-08-12 22:29:20,2020
69,78,2020-08-12 22:11:57+00:00,0,0,78,15,4,True,0,active,False,True,True,2020-08-12 22:29:20,2020
70,79,2020-08-12 22:14:07+00:00,0,2,79,6,11,True,0,active,False,True,True,2020-08-12 22:29:20,2020
71,80,2020-08-12 22:25:32+00:00,0,0,80,11,24,True,0,active,False,True,True,2020-08-12 22:29:20,2020
