,is_installed,num_docks_disabled,is_renting,num_docks_available,station_status,last_reported,num_bikes_available,legacy_id,is_returning,eightd_has_available_keys,num_ebikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,4,active,2020-08-13 19:59:16+00:00,11,3,True,False,0,3,0,,,2020-08-13 20:47:30,2020
1,True,0,True,15,active,2020-08-13 20:47:13+00:00,4,4,True,False,0,4,0,,,2020-08-13 20:47:30,2020
2,True,0,True,10,active,2020-08-13 20:41:14+00:00,5,5,True,False,0,5,0,,,2020-08-13 20:47:30,2020
3,True,0,True,7,active,2020-08-13 20:41:11+00:00,7,6,True,False,0,6,1,,,2020-08-13 20:47:30,2020
4,True,0,True,14,active,2020-08-13 20:31:52+00:00,1,7,True,False,0,7,0,,,2020-08-13 20:47:30,2020
5,True,0,True,4,active,2020-08-13 20:45:02+00:00,15,8,True,False,0,8,0,,,2020-08-13 20:47:30,2020
6,True,0,True,1,active,2020-08-13 20:34:39+00:00,13,9,True,False,0,9,1,,,2020-08-13 20:47:30,2020
7,True,0,True,0,active,2020-08-13 20:25:13+00:00,10,10,True,False,0,10,1,,,2020-08-13 20:47:30,2020
8,True,0,True,4,active,2020-08-13 20:47:13+00:00,11,11,True,False,0,11,0,"{'off_dock_capacity': 50, 'active': True, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_count': 1, 'valet_revision': 87, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 20:47:30,2020
9,True,0,True,14,active,2020-08-13 20:39:37+00:00,3,12,True,True,0,12,1,,,2020-08-13 20:47:30,2020
10,True,0,True,17,active,2020-08-13 20:43:26+00:00,2,13,True,False,0,13,0,,,2020-08-13 20:47:30,2020
11,True,0,True,17,active,2020-08-13 20:37:30+00:00,8,14,True,False,0,14,0,,,2020-08-13 20:47:30,2020
