,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,True,True,10,True,2020-08-04 19:05:00+00:00,1,7,49,49,0,active,False,0,,,2020-08-04 19:14:40,2020
42,True,True,4,True,2020-08-04 19:08:49+00:00,2,9,50,50,0,active,True,0,,,2020-08-04 19:14:40,2020
43,True,True,8,True,2020-08-04 18:35:10+00:00,1,6,51,51,0,active,False,0,,,2020-08-04 19:14:40,2020
44,True,True,11,True,2020-08-04 18:54:53+00:00,1,11,52,52,0,active,True,0,,,2020-08-04 19:14:40,2020
45,True,True,16,True,2020-08-04 19:01:26+00:00,0,3,53,53,0,active,False,0,,,2020-08-04 19:14:40,2020
46,True,True,4,True,2020-08-04 18:32:51+00:00,1,10,54,54,0,active,False,0,,,2020-08-04 19:14:40,2020
47,True,True,6,True,2020-08-04 19:04:10+00:00,0,9,55,55,0,active,False,0,,,2020-08-04 19:14:40,2020
48,True,True,12,True,2020-08-04 17:21:38+00:00,0,6,56,56,0,active,True,0,,,2020-08-04 19:14:40,2020
49,True,True,11,True,2020-08-04 18:35:52+00:00,1,2,57,57,0,active,True,0,,,2020-08-04 19:14:40,2020
50,True,True,18,True,2020-08-04 18:58:44+00:00,0,1,58,58,0,active,True,0,,,2020-08-04 19:14:40,2020
51,True,True,12,True,2020-08-04 19:08:56+00:00,1,6,59,59,0,active,True,0,,,2020-08-04 19:14:40,2020
52,True,True,15,True,2020-08-04 19:14:06+00:00,0,4,60,60,0,active,False,0,,,2020-08-04 19:14:40,2020
53,True,True,15,True,2020-08-04 18:59:39+00:00,1,3,61,61,0,active,False,0,,,2020-08-04 19:14:40,2020
54,True,True,9,True,2020-08-04 18:49:12+00:00,0,6,63,63,0,active,False,0,,,2020-08-04 19:14:40,2020
55,True,True,5,True,2020-08-04 18:37:46+00:00,0,14,64,64,0,active,False,0,,,2020-08-04 19:14:40,2020
56,True,True,16,True,2020-08-04 16:26:16+00:00,1,6,65,65,0,active,False,0,,,2020-08-04 19:14:40,2020
57,True,True,15,True,2020-08-04 18:36:56+00:00,0,0,66,66,0,active,False,0,,,2020-08-04 19:14:40,2020
58,True,True,15,True,2020-08-04 19:09:16+00:00,0,12,67,67,0,active,True,0,,,2020-08-04 19:14:40,2020
59,True,True,14,True,2020-08-04 19:10:05+00:00,1,4,68,68,0,active,True,0,,,2020-08-04 19:14:40,2020
60,True,True,13,True,2020-08-04 19:07:54+00:00,1,5,69,69,0,active,True,0,,,2020-08-04 19:14:40,2020
61,True,True,4,True,2020-08-04 19:10:00+00:00,0,19,70,70,0,active,False,0,,,2020-08-04 19:14:40,2020
62,True,True,11,True,2020-08-04 17:54:43+00:00,0,12,71,71,0,active,False,0,,,2020-08-04 19:14:40,2020
63,True,True,21,True,2020-08-04 19:02:30+00:00,0,2,72,72,0,active,False,0,,,2020-08-04 19:14:40,2020
64,True,True,10,True,2020-08-04 19:11:30+00:00,0,5,73,73,0,active,False,0,,,2020-08-04 19:14:40,2020
65,True,True,17,True,2020-08-04 19:13:03+00:00,0,2,74,74,0,active,True,0,,,2020-08-04 19:14:40,2020
66,True,True,12,True,2020-08-04 18:54:25+00:00,0,3,75,75,0,active,False,0,,,2020-08-04 19:14:40,2020
67,True,True,10,True,2020-08-04 19:05:49+00:00,1,6,76,76,0,active,False,0,,,2020-08-04 19:14:40,2020
68,True,True,10,True,2020-08-04 17:36:34+00:00,0,5,77,77,0,active,False,0,,,2020-08-04 19:14:40,2020
69,True,True,6,True,2020-08-04 19:03:04+00:00,0,13,78,78,0,active,False,0,,,2020-08-04 19:14:40,2020
70,True,True,16,True,2020-08-04 19:05:31+00:00,0,3,79,79,0,active,False,0,,,2020-08-04 19:14:40,2020
71,True,True,4,True,2020-08-04 19:12:46+00:00,1,30,80,80,0,active,False,0,,,2020-08-04 19:14:40,2020
72,True,True,16,True,2020-08-04 19:03:53+00:00,1,2,81,81,0,active,False,0,,,2020-08-04 19:14:40,2020
73,False,True,3,False,2020-08-04 18:39:05+00:00,0,12,82,82,0,active,False,0,,,2020-08-04 19:14:40,2020
74,True,True,9,True,2020-08-04 19:09:31+00:00,0,6,84,84,0,active,False,0,,,2020-08-04 19:14:40,2020
75,True,True,7,True,2020-08-04 18:25:18+00:00,2,10,85,85,0,active,False,0,,,2020-08-04 19:14:40,2020
76,True,True,5,True,2020-08-04 18:47:13+00:00,1,13,86,86,0,active,False,0,,,2020-08-04 19:14:40,2020
77,True,True,10,True,2020-08-04 19:09:11+00:00,1,4,87,87,0,active,False,0,,,2020-08-04 19:14:40,2020
78,True,True,7,True,2020-08-04 18:05:12+00:00,1,11,89,89,0,active,False,0,,,2020-08-04 19:14:40,2020
79,True,True,12,True,2020-08-04 18:17:38+00:00,1,6,90,90,0,active,False,0,,,2020-08-04 19:14:40,2020
80,True,True,9,True,2020-08-04 19:08:54+00:00,2,8,91,91,0,active,False,0,,,2020-08-04 19:14:40,2020
81,True,True,4,True,2020-08-04 17:12:55+00:00,0,15,92,92,0,active,False,0,,,2020-08-04 19:14:40,2020
82,True,True,5,True,2020-08-04 18:40:12+00:00,1,9,93,93,0,active,False,0,,,2020-08-04 19:14:40,2020
83,True,True,3,True,2020-08-04 19:00:30+00:00,2,6,94,94,0,active,False,0,,,2020-08-04 19:14:40,2020
84,True,True,3,True,2020-08-04 19:02:41+00:00,0,12,95,95,0,active,False,0,,,2020-08-04 19:14:40,2020
85,True,True,7,True,2020-08-04 18:42:30+00:00,0,12,96,96,0,active,False,0,,,2020-08-04 19:14:40,2020
86,True,True,7,True,2020-08-04 19:13:02+00:00,1,11,97,97,0,active,False,0,,,2020-08-04 19:14:40,2020
87,True,True,18,True,2020-08-04 18:56:48+00:00,0,5,98,98,0,active,False,0,,,2020-08-04 19:14:40,2020
88,True,True,7,True,2020-08-04 17:53:34+00:00,0,8,99,99,0,active,False,0,,,2020-08-04 19:14:40,2020
