,num_bikes_available,num_docks_available,num_ebikes_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_status,eightd_has_available_keys,is_returning,is_renting,station_id,legacy_id,timestamp_of_data_read_request,year_station_last_reported
186,2,13,0,0,True,2020-08-12 17:45:52+00:00,0,active,False,True,True,214,214,2020-08-12 18:14:15,2020
187,6,8,0,1,True,2020-08-12 17:08:48+00:00,0,active,False,True,True,215,215,2020-08-12 18:14:15,2020
188,17,1,0,1,True,2020-08-12 16:28:35+00:00,0,active,False,True,True,216,216,2020-08-12 18:14:15,2020
189,15,4,0,0,True,2020-08-12 18:00:15+00:00,0,active,False,True,True,217,217,2020-08-12 18:14:15,2020
190,8,6,0,1,True,2020-08-12 17:54:57+00:00,0,active,False,True,True,218,218,2020-08-12 18:14:15,2020
191,6,7,0,2,True,2020-08-12 12:16:03+00:00,0,active,False,True,True,219,219,2020-08-12 18:14:15,2020
192,7,12,0,0,True,2020-08-12 18:00:07+00:00,0,active,False,True,True,221,221,2020-08-12 18:14:15,2020
193,3,11,0,0,True,2020-08-12 17:48:15+00:00,0,active,True,True,True,222,222,2020-08-12 18:14:15,2020
194,14,2,0,1,True,2020-08-12 14:08:37+00:00,0,active,False,True,True,224,224,2020-08-12 18:14:15,2020
195,2,17,0,0,True,2020-08-12 18:03:36+00:00,0,active,False,True,True,225,225,2020-08-12 18:14:15,2020
196,1,14,0,0,True,2020-08-12 16:34:46+00:00,0,active,False,True,True,226,226,2020-08-12 18:14:15,2020
197,12,4,0,3,True,2020-08-12 17:57:27+00:00,0,active,False,True,True,227,227,2020-08-12 18:14:15,2020
198,3,16,0,0,True,2020-08-12 17:33:06+00:00,0,active,False,True,True,228,228,2020-08-12 18:14:15,2020
199,8,3,0,0,True,2020-08-12 08:08:09+00:00,0,active,False,True,True,232,232,2020-08-12 18:14:15,2020
200,5,10,0,0,True,2020-08-12 18:09:45+00:00,0,active,False,True,True,233,233,2020-08-12 18:14:15,2020
201,1,14,0,0,True,2020-08-12 17:15:32+00:00,0,active,False,True,True,234,234,2020-08-12 18:14:15,2020
202,4,11,0,0,True,2020-08-12 14:24:49+00:00,0,active,False,True,True,235,235,2020-08-12 18:14:15,2020
203,9,6,0,0,True,2020-08-12 18:01:14+00:00,0,active,False,True,True,236,236,2020-08-12 18:14:15,2020
204,4,11,0,0,True,2020-08-12 17:42:23+00:00,0,active,False,True,True,239,239,2020-08-12 18:14:15,2020
205,8,7,0,0,True,2020-08-12 08:53:35+00:00,0,active,False,True,True,255,255,2020-08-12 18:14:15,2020
