,is_installed,is_renting,is_returning,legacy_id,station_id,num_bikes_available,station_status,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,last_reported,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,3,3,1,active,0,0,0,14,False,2020-08-21 00:33:40+00:00,2020-08-21 00:35:00,2020
1,True,True,True,4,4,13,active,0,0,0,6,False,2020-08-21 00:24:25+00:00,2020-08-21 00:35:00,2020
2,True,True,True,5,5,8,active,0,0,0,7,False,2020-08-21 00:31:51+00:00,2020-08-21 00:35:00,2020
3,True,True,True,6,6,2,active,0,0,0,13,False,2020-08-21 00:34:35+00:00,2020-08-21 00:35:00,2020
4,True,True,True,7,7,6,active,0,0,0,9,False,2020-08-21 00:28:59+00:00,2020-08-21 00:35:00,2020
5,True,True,True,8,8,17,active,0,0,1,1,False,2020-08-21 00:17:40+00:00,2020-08-21 00:35:00,2020
6,True,True,True,9,9,14,active,0,0,0,1,False,2020-08-21 00:17:56+00:00,2020-08-21 00:35:00,2020
7,True,True,True,10,10,0,active,0,0,0,11,False,2020-08-20 23:27:55+00:00,2020-08-21 00:35:00,2020
8,True,True,True,11,11,0,active,0,0,0,15,False,2020-08-21 00:27:02+00:00,2020-08-21 00:35:00,2020
9,True,True,True,12,12,11,active,0,0,2,5,True,2020-08-21 00:33:40+00:00,2020-08-21 00:35:00,2020
10,True,True,True,13,13,0,active,0,0,0,19,False,2020-08-20 23:41:45+00:00,2020-08-21 00:35:00,2020
11,True,True,True,14,14,1,active,0,0,0,24,False,2020-08-21 00:32:59+00:00,2020-08-21 00:35:00,2020
12,True,True,True,15,15,13,active,0,0,0,2,False,2020-08-21 00:34:03+00:00,2020-08-21 00:35:00,2020
13,True,True,True,16,16,9,active,0,0,0,10,True,2020-08-21 00:31:45+00:00,2020-08-21 00:35:00,2020
14,True,True,True,17,17,6,active,0,0,0,9,False,2020-08-21 00:13:33+00:00,2020-08-21 00:35:00,2020
15,True,True,True,19,19,2,active,0,0,0,13,False,2020-08-21 00:18:58+00:00,2020-08-21 00:35:00,2020
16,True,True,True,20,20,14,active,0,0,0,9,True,2020-08-21 00:31:37+00:00,2020-08-21 00:35:00,2020
17,True,True,True,21,21,13,active,0,0,0,5,True,2020-08-21 00:32:02+00:00,2020-08-21 00:35:00,2020
18,True,True,True,22,22,4,active,0,0,0,43,True,2020-08-21 00:00:45+00:00,2020-08-21 00:35:00,2020
19,True,True,True,23,23,1,active,0,0,0,20,False,2020-08-20 23:46:58+00:00,2020-08-21 00:35:00,2020
20,True,True,True,24,24,17,active,0,0,1,1,False,2020-08-21 00:25:44+00:00,2020-08-21 00:35:00,2020
21,True,True,True,25,25,7,active,0,0,1,7,False,2020-08-21 00:11:36+00:00,2020-08-21 00:35:00,2020
22,True,True,True,26,26,11,active,0,0,0,4,False,2020-08-20 23:12:29+00:00,2020-08-21 00:35:00,2020
23,True,True,True,27,27,9,active,0,0,4,10,False,2020-08-21 00:15:09+00:00,2020-08-21 00:35:00,2020
24,True,True,True,29,29,3,active,0,0,1,11,False,2020-08-20 23:03:32+00:00,2020-08-21 00:35:00,2020
25,True,True,True,30,30,4,active,0,0,0,11,False,2020-08-21 00:31:19+00:00,2020-08-21 00:35:00,2020
26,True,True,True,31,31,9,active,0,0,0,10,True,2020-08-21 00:08:52+00:00,2020-08-21 00:35:00,2020
27,True,True,True,32,32,2,active,0,0,0,13,False,2020-08-21 00:19:01+00:00,2020-08-21 00:35:00,2020
28,True,True,True,33,33,12,active,0,0,1,14,False,2020-08-21 00:24:13+00:00,2020-08-21 00:35:00,2020
29,True,True,True,35,35,5,active,0,0,0,18,False,2020-08-21 00:24:32+00:00,2020-08-21 00:35:00,2020
30,True,True,True,36,36,16,active,0,0,1,16,True,2020-08-21 00:33:19+00:00,2020-08-21 00:35:00,2020
31,True,True,True,37,37,10,active,0,0,0,5,True,2020-08-21 00:17:51+00:00,2020-08-21 00:35:00,2020
32,True,True,True,39,39,7,active,0,0,0,16,False,2020-08-21 00:13:49+00:00,2020-08-21 00:35:00,2020
33,True,True,True,40,40,11,active,0,0,0,8,False,2020-08-21 00:33:19+00:00,2020-08-21 00:35:00,2020
34,True,True,True,41,41,18,active,0,0,1,8,True,2020-08-21 00:29:29+00:00,2020-08-21 00:35:00,2020
35,True,True,True,42,42,7,active,0,0,1,15,False,2020-08-21 00:27:19+00:00,2020-08-21 00:35:00,2020
