,is_returning,num_bikes_available,num_bikes_disabled,is_renting,is_installed,num_ebikes_available,legacy_id,last_reported,station_id,num_docks_available,num_docks_disabled,eightd_has_available_keys,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,2,0,True,True,0,3,2020-08-05 10:51:10+00:00,3,13,0,True,active,,,2020-08-05 11:36:20,2020
1,True,9,0,True,True,0,4,2020-08-05 11:32:13+00:00,4,10,0,False,active,,,2020-08-05 11:36:20,2020
2,True,12,0,True,True,0,5,2020-08-05 11:12:54+00:00,5,3,0,False,active,,,2020-08-05 11:36:20,2020
3,True,6,0,True,True,0,6,2020-08-05 11:19:37+00:00,6,9,0,False,active,,,2020-08-05 11:36:20,2020
4,True,7,0,True,True,0,7,2020-08-05 04:30:00+00:00,7,8,0,False,active,,,2020-08-05 11:36:20,2020
5,True,12,0,True,True,0,8,2020-08-05 10:58:36+00:00,8,7,0,False,active,,,2020-08-05 11:36:20,2020
6,True,8,0,True,True,0,9,2020-08-05 08:20:56+00:00,9,7,0,False,active,,,2020-08-05 11:36:20,2020
7,True,1,0,True,True,0,10,2020-08-05 08:31:07+00:00,10,10,0,False,active,,,2020-08-05 11:36:20,2020
8,True,5,0,True,True,0,11,2020-08-05 11:35:36+00:00,11,10,0,False,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 79, 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 36, 'dock_blocked_count': 0}",2020-08-05 11:36:20,2020
9,True,7,0,True,True,0,12,2020-08-05 11:28:18+00:00,12,11,0,True,active,,,2020-08-05 11:36:20,2020
10,True,17,0,True,True,0,13,2020-08-05 11:33:54+00:00,13,2,0,False,active,,,2020-08-05 11:36:20,2020
11,True,5,0,True,True,0,14,2020-08-05 11:31:45+00:00,14,20,0,False,active,,,2020-08-05 11:36:20,2020
12,True,9,0,True,True,0,15,2020-08-05 11:23:19+00:00,15,6,0,False,active,,,2020-08-05 11:36:20,2020
13,True,13,0,True,True,0,16,2020-08-05 11:34:02+00:00,16,6,0,True,active,,,2020-08-05 11:36:20,2020
14,True,2,0,True,True,0,17,2020-08-05 11:24:10+00:00,17,13,0,False,active,,,2020-08-05 11:36:20,2020
15,True,11,0,True,True,0,19,2020-08-05 11:16:04+00:00,19,4,0,False,active,,,2020-08-05 11:36:20,2020
16,True,11,0,True,True,0,20,2020-08-05 10:36:22+00:00,20,12,0,True,active,,,2020-08-05 11:36:20,2020
17,True,3,1,True,True,0,21,2020-08-05 11:30:38+00:00,21,14,0,True,active,,,2020-08-05 11:36:20,2020
18,True,9,2,True,True,0,22,2020-08-05 11:34:58+00:00,22,36,0,True,active,,,2020-08-05 11:36:20,2020
19,True,4,0,True,True,0,23,2020-08-05 11:23:19+00:00,23,17,0,True,active,,,2020-08-05 11:36:20,2020
20,True,2,0,True,True,0,24,2020-08-05 05:01:06+00:00,24,17,0,False,active,,,2020-08-05 11:36:20,2020
21,True,5,0,True,True,0,25,2020-08-05 11:27:04+00:00,25,10,0,False,active,,,2020-08-05 11:36:20,2020
22,True,4,1,True,True,0,26,2020-08-05 11:35:58+00:00,26,10,0,False,active,,,2020-08-05 11:36:20,2020
23,True,16,0,True,True,0,27,2020-08-05 11:24:32+00:00,27,7,0,False,active,,,2020-08-05 11:36:20,2020
24,True,10,0,True,True,0,29,2020-08-05 08:51:12+00:00,29,5,0,False,active,,,2020-08-05 11:36:20,2020
25,True,7,0,True,True,0,30,2020-08-05 11:33:26+00:00,30,8,0,False,active,,,2020-08-05 11:36:20,2020
26,True,6,0,True,True,0,31,2020-08-05 11:23:29+00:00,31,13,0,True,active,,,2020-08-05 11:36:20,2020
27,True,14,0,True,True,0,32,2020-08-05 11:20:13+00:00,32,1,0,False,active,,,2020-08-05 11:36:20,2020
28,True,9,0,True,True,0,33,2020-08-05 11:31:45+00:00,33,18,0,False,active,,,2020-08-05 11:36:20,2020
29,True,1,0,True,True,0,35,2020-08-05 11:27:07+00:00,35,22,0,False,active,,,2020-08-05 11:36:20,2020
30,True,17,0,True,True,0,36,2020-08-05 11:25:12+00:00,36,16,0,True,active,,,2020-08-05 11:36:20,2020
31,True,10,0,True,True,0,37,2020-08-05 08:40:58+00:00,37,5,0,True,active,,,2020-08-05 11:36:20,2020
32,True,1,0,True,True,0,39,2020-08-05 11:34:08+00:00,39,22,0,False,active,,,2020-08-05 11:36:20,2020
33,True,12,0,True,True,0,40,2020-08-05 11:26:17+00:00,40,7,0,False,active,,,2020-08-05 11:36:20,2020
34,True,12,0,True,True,0,41,2020-08-05 11:30:05+00:00,41,14,1,True,active,,,2020-08-05 11:36:20,2020
35,True,0,0,True,True,0,42,2020-08-05 11:23:12+00:00,42,23,0,False,active,,,2020-08-05 11:36:20,2020
36,True,8,0,True,True,0,43,2020-08-05 11:29:35+00:00,43,7,0,True,active,,,2020-08-05 11:36:20,2020
37,True,15,0,True,True,0,44,2020-08-05 08:57:01+00:00,44,8,0,False,active,,,2020-08-05 11:36:20,2020
38,True,6,0,True,True,0,46,2020-08-05 11:36:13+00:00,46,13,0,False,active,,,2020-08-05 11:36:20,2020
