,num_docks_disabled,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_id,is_installed,station_status,last_reported,num_bikes_disabled,num_docks_available,legacy_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,0,True,True,7,False,56,True,active,2020-08-20 20:34:03+00:00,0,11,56,0,,,2020-08-20 20:39:50,2020
49,0,True,True,0,True,57,True,active,2020-08-20 20:19:42+00:00,0,14,57,0,,,2020-08-20 20:39:50,2020
50,0,True,True,2,True,58,True,active,2020-08-20 20:39:17+00:00,1,16,58,0,,,2020-08-20 20:39:50,2020
51,0,True,True,16,True,59,True,active,2020-08-20 20:31:17+00:00,0,3,59,0,,,2020-08-20 20:39:50,2020
52,0,True,True,14,False,60,True,active,2020-08-20 20:39:35+00:00,0,5,60,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'dock_blocked_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'valet_revision': 87, 'active': True, 'off_dock_count': 28}",2020-08-20 20:39:50,2020
53,0,True,True,14,False,61,True,active,2020-08-20 20:36:14+00:00,0,5,61,0,,,2020-08-20 20:39:50,2020
54,0,True,True,5,False,63,True,active,2020-08-20 20:30:48+00:00,0,10,63,0,,,2020-08-20 20:39:50,2020
55,0,False,False,17,False,64,True,active,2020-08-20 19:58:42+00:00,0,2,64,0,,,2020-08-20 20:39:50,2020
56,0,True,True,5,False,65,True,active,2020-08-20 20:33:54+00:00,0,18,65,0,,,2020-08-20 20:39:50,2020
57,0,True,True,2,False,66,True,active,2020-08-20 20:39:31+00:00,0,13,66,0,,,2020-08-20 20:39:50,2020
58,0,True,True,16,True,67,True,active,2020-08-20 20:31:52+00:00,0,11,67,0,,,2020-08-20 20:39:50,2020
59,0,True,True,12,True,68,True,active,2020-08-20 20:38:20+00:00,1,6,68,0,,,2020-08-20 20:39:50,2020
60,0,True,True,10,True,69,True,active,2020-08-20 20:27:58+00:00,0,9,69,0,,,2020-08-20 20:39:50,2020
61,0,True,True,16,False,70,True,active,2020-08-20 20:32:32+00:00,0,7,70,0,,,2020-08-20 20:39:50,2020
62,0,True,True,17,False,71,True,active,2020-08-20 20:11:27+00:00,1,5,71,0,,,2020-08-20 20:39:50,2020
63,0,True,True,14,False,72,True,active,2020-08-20 20:34:27+00:00,0,9,72,0,,,2020-08-20 20:39:50,2020
64,0,True,True,4,False,73,True,active,2020-08-20 20:34:32+00:00,0,11,73,0,,,2020-08-20 20:39:50,2020
65,0,True,True,17,True,74,True,active,2020-08-20 20:26:18+00:00,0,2,74,0,,,2020-08-20 20:39:50,2020
66,0,True,True,0,False,75,True,active,2020-08-20 20:32:51+00:00,1,14,75,0,,,2020-08-20 20:39:50,2020
67,0,True,True,9,False,76,True,active,2020-08-20 20:39:11+00:00,1,7,76,0,,,2020-08-20 20:39:50,2020
68,0,True,True,1,False,77,True,active,2020-08-20 20:35:46+00:00,0,14,77,0,,,2020-08-20 20:39:50,2020
69,0,True,True,14,False,78,True,active,2020-08-20 20:37:14+00:00,0,5,78,0,,,2020-08-20 20:39:50,2020
70,0,True,True,9,False,79,True,active,2020-08-20 20:34:27+00:00,1,9,79,0,,,2020-08-20 20:39:50,2020
71,0,True,True,27,False,80,True,active,2020-08-20 20:39:36+00:00,1,7,80,0,,,2020-08-20 20:39:50,2020
72,0,True,True,5,False,81,True,active,2020-08-20 20:36:58+00:00,0,14,81,0,,,2020-08-20 20:39:50,2020
