,num_docks_disabled,is_installed,legacy_id,num_bikes_available,num_bikes_disabled,station_status,last_reported,station_id,num_docks_available,num_ebikes_available,eightd_has_available_keys,is_returning,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,0,True,3,13,1,active,2020-08-21 22:39:22+00:00,3,1,0,False,True,True,,,2020-08-21 22:40:00,2020
1,0,True,4,16,1,active,2020-08-21 22:30:29+00:00,4,2,0,False,True,True,,,2020-08-21 22:40:00,2020
2,0,True,5,4,0,active,2020-08-21 22:39:34+00:00,5,11,0,False,True,True,,,2020-08-21 22:40:00,2020
3,0,True,6,1,0,active,2020-08-21 22:37:52+00:00,6,14,0,False,True,True,,,2020-08-21 22:40:00,2020
4,0,True,7,10,0,active,2020-08-21 22:20:49+00:00,7,5,0,False,True,True,,,2020-08-21 22:40:00,2020
5,0,True,8,11,2,active,2020-08-21 22:23:50+00:00,8,6,0,False,True,True,,,2020-08-21 22:40:00,2020
6,0,True,9,4,1,active,2020-08-21 22:38:55+00:00,9,10,0,False,True,True,,,2020-08-21 22:40:00,2020
7,0,True,10,2,0,active,2020-08-21 22:36:10+00:00,10,9,0,False,True,True,,,2020-08-21 22:40:00,2020
8,0,True,11,3,0,active,2020-08-21 22:39:01+00:00,11,12,0,False,True,True,"{'off_dock_count': 4, 'region': 'BOS', 'dock_blocked_count': 0, 'valet_revision': 100, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-21 22:40:00,2020
9,0,True,12,0,0,active,2020-08-21 22:39:19+00:00,12,18,0,True,True,True,,,2020-08-21 22:40:00,2020
10,0,True,13,0,0,active,2020-08-21 22:38:41+00:00,13,19,0,False,True,True,,,2020-08-21 22:40:00,2020
11,0,True,14,3,2,active,2020-08-21 22:36:21+00:00,14,20,0,False,True,True,,,2020-08-21 22:40:00,2020
12,0,True,15,10,0,active,2020-08-21 22:39:44+00:00,15,5,0,False,True,True,,,2020-08-21 22:40:00,2020
13,0,True,16,12,1,active,2020-08-21 22:39:35+00:00,16,6,0,True,True,True,,,2020-08-21 22:40:00,2020
14,0,True,17,1,0,active,2020-08-21 22:34:21+00:00,17,14,0,False,True,True,,,2020-08-21 22:40:00,2020
15,0,True,19,1,0,active,2020-08-21 22:38:46+00:00,19,14,0,False,True,True,,,2020-08-21 22:40:00,2020
16,0,True,20,17,0,active,2020-08-21 22:32:38+00:00,20,6,0,True,True,True,,,2020-08-21 22:40:00,2020
17,0,True,21,12,0,active,2020-08-21 22:37:45+00:00,21,6,0,True,True,True,,,2020-08-21 22:40:00,2020
18,0,True,22,9,1,active,2020-08-21 22:31:30+00:00,22,37,0,True,True,True,,,2020-08-21 22:40:00,2020
19,0,True,23,17,0,active,2020-08-21 22:38:42+00:00,23,4,0,False,True,True,,,2020-08-21 22:40:00,2020
20,0,True,24,4,1,active,2020-08-21 22:19:32+00:00,24,14,0,False,True,True,,,2020-08-21 22:40:00,2020
21,0,True,25,1,0,active,2020-08-21 22:34:12+00:00,25,14,0,False,True,True,,,2020-08-21 22:40:00,2020
22,0,True,26,11,0,active,2020-08-21 22:30:33+00:00,26,4,0,False,True,True,,,2020-08-21 22:40:00,2020
23,0,True,27,5,0,active,2020-08-21 22:37:19+00:00,27,18,0,False,True,True,,,2020-08-21 22:40:00,2020
24,0,True,29,3,0,active,2020-08-21 22:11:28+00:00,29,12,0,False,True,True,,,2020-08-21 22:40:00,2020
