,num_docks_available,num_ebikes_available,num_docks_disabled,num_bikes_available,eightd_has_available_keys,num_bikes_disabled,is_renting,is_returning,station_status,legacy_id,station_id,is_installed,last_reported,timestamp_of_data_read_request,year_station_last_reported
172,11,0,0,4,False,0,True,True,active,199,199,True,2020-08-12 22:15:02+00:00,2020-08-12 22:19:05,2020
173,5,0,0,13,False,1,True,True,active,200,200,True,2020-08-12 21:58:02+00:00,2020-08-12 22:19:05,2020
174,15,0,0,0,False,0,True,True,active,201,201,True,2020-08-12 12:04:48+00:00,2020-08-12 22:19:05,2020
175,12,0,0,3,False,0,True,True,active,202,202,True,2020-08-12 22:12:19+00:00,2020-08-12 22:19:05,2020
176,13,0,0,2,False,0,True,True,active,203,203,True,2020-08-12 22:00:55+00:00,2020-08-12 22:19:05,2020
177,14,0,0,1,False,0,True,True,active,204,204,True,2020-08-12 22:12:42+00:00,2020-08-12 22:19:05,2020
178,11,0,0,4,False,0,True,True,active,205,205,True,2020-08-12 18:58:44+00:00,2020-08-12 22:19:05,2020
179,21,0,0,1,True,1,True,True,active,206,206,True,2020-08-12 22:17:49+00:00,2020-08-12 22:19:05,2020
180,10,0,0,4,True,1,True,True,active,208,208,True,2020-08-12 21:45:00+00:00,2020-08-12 22:19:05,2020
181,11,0,0,4,False,0,True,True,active,209,209,True,2020-08-12 19:30:28+00:00,2020-08-12 22:19:05,2020
182,14,0,0,1,False,0,True,True,active,210,210,True,2020-08-12 21:31:14+00:00,2020-08-12 22:19:05,2020
183,15,0,0,4,False,0,True,True,active,211,211,True,2020-08-12 22:17:47+00:00,2020-08-12 22:19:05,2020
184,4,0,0,29,False,0,True,True,active,212,212,True,2020-08-12 22:08:38+00:00,2020-08-12 22:19:05,2020
185,11,0,0,5,True,0,True,True,active,213,213,True,2020-08-12 18:15:14+00:00,2020-08-12 22:19:05,2020
186,13,0,0,2,False,0,True,True,active,214,214,True,2020-08-12 20:46:31+00:00,2020-08-12 22:19:05,2020
187,7,0,0,7,False,1,True,True,active,215,215,True,2020-08-12 22:10:23+00:00,2020-08-12 22:19:05,2020
188,0,0,0,18,False,1,True,True,active,216,216,True,2020-08-12 21:12:33+00:00,2020-08-12 22:19:05,2020
189,5,0,0,14,False,0,True,True,active,217,217,True,2020-08-12 22:01:22+00:00,2020-08-12 22:19:05,2020
190,1,0,0,14,False,0,True,True,active,218,218,True,2020-08-12 22:18:20+00:00,2020-08-12 22:19:05,2020
191,9,0,0,5,False,1,True,True,active,219,219,True,2020-08-12 20:23:38+00:00,2020-08-12 22:19:05,2020
192,13,0,0,6,False,0,True,True,active,221,221,True,2020-08-12 22:02:46+00:00,2020-08-12 22:19:05,2020
193,5,0,0,9,True,0,True,True,active,222,222,True,2020-08-12 21:42:57+00:00,2020-08-12 22:19:05,2020
