,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
204,9,239,6,True,True,active,0,True,False,2020-08-13 18:21:22+00:00,239,0,0,,,2020-08-13 19:35:55,2020
205,5,255,10,True,True,active,0,True,False,2020-08-13 12:33:28+00:00,255,0,0,,,2020-08-13 19:35:55,2020
206,4,258,11,True,True,active,0,True,False,2020-08-13 12:17:43+00:00,258,0,0,,,2020-08-13 19:35:55,2020
207,1,259,14,True,True,active,0,True,False,2020-08-13 18:35:59+00:00,259,0,0,,,2020-08-13 19:35:55,2020
208,1,260,14,True,True,active,0,True,False,2020-08-13 19:33:33+00:00,260,0,0,,,2020-08-13 19:35:55,2020
209,6,271,9,True,True,active,0,True,False,2020-08-13 19:07:23+00:00,271,0,0,,,2020-08-13 19:35:55,2020
210,11,272,7,True,True,active,0,True,False,2020-08-13 19:20:56+00:00,272,1,0,,,2020-08-13 19:35:55,2020
211,26,273,14,True,True,active,0,True,False,2020-08-13 19:23:09+00:00,273,0,0,,,2020-08-13 19:35:55,2020
212,2,279,17,True,True,active,0,True,False,2020-08-13 19:34:51+00:00,279,0,0,,,2020-08-13 19:35:55,2020
213,7,280,11,True,True,active,0,True,False,2020-08-13 19:14:10+00:00,280,1,0,,,2020-08-13 19:35:55,2020
214,14,282,0,True,True,active,0,True,False,2020-08-13 19:30:10+00:00,282,1,0,,,2020-08-13 19:35:55,2020
215,6,296,17,True,True,active,0,True,False,2020-08-13 19:27:53+00:00,296,0,0,,,2020-08-13 19:35:55,2020
216,4,318,14,True,True,active,0,True,False,2020-08-13 19:32:05+00:00,318,1,0,,,2020-08-13 19:35:55,2020
217,22,319,3,True,True,active,0,True,False,2020-08-13 15:51:18+00:00,319,0,0,,,2020-08-13 19:35:55,2020
218,7,327,8,True,True,active,0,True,False,2020-08-13 19:12:51+00:00,327,0,0,,,2020-08-13 19:35:55,2020
219,6,328,8,True,True,active,0,True,False,2020-08-13 18:54:23+00:00,328,1,0,,,2020-08-13 19:35:55,2020
220,0,329,14,True,True,active,0,True,False,2020-08-13 19:34:48+00:00,329,1,0,,,2020-08-13 19:35:55,2020
221,7,330,8,True,True,active,0,True,False,2020-08-13 18:45:05+00:00,330,0,0,,,2020-08-13 19:35:55,2020
222,10,331,4,True,True,active,0,True,False,2020-08-13 19:27:10+00:00,331,1,0,,,2020-08-13 19:35:55,2020
223,11,332,3,True,True,active,0,True,False,2020-08-13 19:34:10+00:00,332,1,0,,,2020-08-13 19:35:55,2020
224,6,333,19,True,True,active,0,True,False,2020-08-13 18:10:58+00:00,333,0,0,,,2020-08-13 19:35:55,2020
225,3,334,14,True,True,active,0,True,False,2020-08-13 19:28:32+00:00,334,2,0,,,2020-08-13 19:35:55,2020
226,12,335,7,True,True,active,0,True,False,2020-08-13 19:28:26+00:00,335,0,0,,,2020-08-13 19:35:55,2020
227,10,336,5,True,True,active,0,True,False,2020-08-13 16:28:17+00:00,336,0,0,,,2020-08-13 19:35:55,2020
228,0,337,15,True,True,active,0,True,False,2020-08-13 12:05:52+00:00,337,0,0,,,2020-08-13 19:35:55,2020
229,14,338,0,True,True,active,0,True,False,2020-08-13 19:34:40+00:00,338,1,0,,,2020-08-13 19:35:55,2020
230,0,339,15,True,True,active,0,True,False,2020-08-13 03:25:16+00:00,339,0,0,,,2020-08-13 19:35:55,2020
231,1,340,18,True,True,active,0,True,False,2020-08-13 03:25:14+00:00,340,0,0,,,2020-08-13 19:35:55,2020
232,1,341,13,True,True,active,0,True,True,2020-08-13 18:27:50+00:00,341,1,0,,,2020-08-13 19:35:55,2020
233,7,342,8,True,True,active,0,True,False,2020-08-13 19:32:32+00:00,342,0,0,,,2020-08-13 19:35:55,2020
234,11,343,4,True,True,active,0,True,False,2020-08-13 04:04:08+00:00,343,0,0,,,2020-08-13 19:35:55,2020
