,is_installed,num_docks_disabled,num_ebikes_available,eightd_has_available_keys,legacy_id,num_docks_available,num_bikes_available,station_id,num_bikes_disabled,last_reported,station_status,is_renting,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,True,0,0,False,3,10,5,3,0,2020-08-09 20:03:15+00:00,active,True,True,2020-08-09 20:04:50,2020
1,True,0,0,False,4,18,1,4,0,2020-08-09 19:15:31+00:00,active,True,True,2020-08-09 20:04:50,2020
2,True,0,0,False,5,6,8,5,1,2020-08-09 20:00:18+00:00,active,True,True,2020-08-09 20:04:50,2020
3,True,0,0,False,6,4,9,6,2,2020-08-09 19:52:05+00:00,active,True,True,2020-08-09 20:04:50,2020
4,True,0,0,False,7,15,0,7,0,2020-08-09 16:30:25+00:00,active,True,True,2020-08-09 20:04:50,2020
5,True,0,0,False,8,11,6,8,2,2020-08-09 19:52:49+00:00,active,True,True,2020-08-09 20:04:50,2020
6,True,0,0,False,9,13,0,9,2,2020-08-09 20:04:16+00:00,active,True,True,2020-08-09 20:04:50,2020
7,True,0,0,False,10,8,2,10,1,2020-08-09 19:52:25+00:00,active,True,True,2020-08-09 20:04:50,2020
8,True,0,0,False,11,4,10,11,1,2020-08-09 19:49:38+00:00,active,True,True,2020-08-09 20:04:50,2020
9,True,0,0,True,12,5,13,12,0,2020-08-09 20:03:36+00:00,active,True,True,2020-08-09 20:04:50,2020
10,True,0,0,False,13,8,11,13,0,2020-08-09 19:48:10+00:00,active,True,True,2020-08-09 20:04:50,2020
11,True,0,0,False,14,2,21,14,2,2020-08-09 19:02:11+00:00,active,True,True,2020-08-09 20:04:50,2020
12,True,0,0,False,15,3,12,15,0,2020-08-09 19:59:53+00:00,active,True,True,2020-08-09 20:04:50,2020
13,True,0,0,True,16,17,2,16,0,2020-08-09 20:00:06+00:00,active,True,True,2020-08-09 20:04:50,2020
14,True,0,0,False,17,10,4,17,1,2020-08-09 19:45:15+00:00,active,True,True,2020-08-09 20:04:50,2020
15,True,0,0,False,19,15,0,19,0,2020-08-09 19:05:06+00:00,active,True,True,2020-08-09 20:04:50,2020
16,True,0,0,True,20,18,4,20,1,2020-08-09 20:00:22+00:00,active,True,True,2020-08-09 20:04:50,2020
17,True,0,0,True,21,5,13,21,0,2020-08-09 20:01:52+00:00,active,True,True,2020-08-09 20:04:50,2020
18,True,0,0,True,22,33,14,22,0,2020-08-09 19:36:33+00:00,active,True,True,2020-08-09 20:04:50,2020
19,True,0,0,False,23,17,4,23,0,2020-08-09 19:59:23+00:00,active,True,True,2020-08-09 20:04:50,2020
20,True,0,0,False,24,14,5,24,0,2020-08-09 20:02:07+00:00,active,True,True,2020-08-09 20:04:50,2020
21,True,0,0,False,25,13,1,25,1,2020-08-09 19:59:22+00:00,active,True,True,2020-08-09 20:04:50,2020
22,True,0,0,False,26,0,14,26,1,2020-08-09 19:43:36+00:00,active,True,True,2020-08-09 20:04:50,2020
23,True,0,0,False,27,20,3,27,0,2020-08-09 20:03:02+00:00,active,True,True,2020-08-09 20:04:50,2020
24,True,0,0,False,29,6,7,29,2,2020-08-09 10:13:15+00:00,active,True,True,2020-08-09 20:04:50,2020
25,True,0,0,False,30,7,8,30,0,2020-08-09 20:02:20+00:00,active,True,True,2020-08-09 20:04:50,2020
26,True,0,0,True,31,14,5,31,0,2020-08-09 19:12:12+00:00,active,True,True,2020-08-09 20:04:50,2020
27,True,0,0,False,32,8,5,32,2,2020-08-09 20:03:06+00:00,active,True,True,2020-08-09 20:04:50,2020
28,True,0,0,False,33,13,13,33,1,2020-08-09 19:50:30+00:00,active,True,True,2020-08-09 20:04:50,2020
29,True,0,0,False,35,11,12,35,0,2020-08-09 19:51:44+00:00,active,True,True,2020-08-09 20:04:50,2020
30,True,0,0,True,36,18,15,36,0,2020-08-09 19:38:42+00:00,active,True,True,2020-08-09 20:04:50,2020
31,True,0,0,True,37,11,4,37,0,2020-08-09 19:51:05+00:00,active,True,True,2020-08-09 20:04:50,2020
32,True,0,0,False,39,14,8,39,1,2020-08-09 19:39:52+00:00,active,True,True,2020-08-09 20:04:50,2020
33,True,0,0,False,40,6,10,40,3,2020-08-09 20:03:05+00:00,active,True,True,2020-08-09 20:04:50,2020
34,True,0,0,True,41,23,3,41,1,2020-08-09 20:02:59+00:00,active,True,True,2020-08-09 20:04:50,2020
35,True,0,0,False,42,5,18,42,0,2020-08-09 19:59:04+00:00,active,True,True,2020-08-09 20:04:50,2020
36,True,0,0,True,43,9,5,43,1,2020-08-09 20:02:54+00:00,active,True,True,2020-08-09 20:04:50,2020
37,True,0,0,False,44,11,11,44,1,2020-08-09 20:00:51+00:00,active,True,True,2020-08-09 20:04:50,2020
38,True,0,0,False,46,4,14,46,1,2020-08-09 20:04:21+00:00,active,True,True,2020-08-09 20:04:50,2020
39,True,0,0,True,47,13,5,47,1,2020-08-09 20:01:02+00:00,active,True,True,2020-08-09 20:04:50,2020
40,True,0,0,False,48,17,2,48,0,2020-08-09 18:49:31+00:00,active,True,True,2020-08-09 20:04:50,2020
41,True,0,0,False,49,4,14,49,0,2020-08-09 19:59:43+00:00,active,True,True,2020-08-09 20:04:50,2020
42,True,0,0,True,50,4,11,50,0,2020-08-09 19:59:07+00:00,active,True,True,2020-08-09 20:04:50,2020
43,True,0,0,False,51,10,5,51,0,2020-08-09 20:01:47+00:00,active,True,True,2020-08-09 20:04:50,2020
44,True,0,0,True,52,18,4,52,1,2020-08-09 20:01:03+00:00,active,True,True,2020-08-09 20:04:50,2020
45,True,0,0,False,53,1,17,53,1,2020-08-09 19:37:18+00:00,active,True,True,2020-08-09 20:04:50,2020
46,True,0,0,False,54,5,10,54,0,2020-08-09 20:00:02+00:00,active,True,True,2020-08-09 20:04:50,2020
47,True,0,0,False,55,0,14,55,1,2020-08-09 20:04:43+00:00,active,True,True,2020-08-09 20:04:50,2020
48,True,0,0,True,56,17,1,56,0,2020-08-09 19:46:47+00:00,active,True,True,2020-08-09 20:04:50,2020
49,True,0,0,True,57,1,13,57,0,2020-08-09 20:04:09+00:00,active,True,True,2020-08-09 20:04:50,2020
50,True,0,0,True,58,6,10,58,3,2020-08-09 20:00:56+00:00,active,True,True,2020-08-09 20:04:50,2020
51,True,0,0,True,59,17,2,59,0,2020-08-09 19:34:52+00:00,active,True,True,2020-08-09 20:04:50,2020
52,True,0,0,False,60,1,16,60,2,2020-08-09 20:04:17+00:00,active,True,True,2020-08-09 20:04:50,2020
53,True,0,0,False,61,4,13,61,2,2020-08-09 20:01:06+00:00,active,True,True,2020-08-09 20:04:50,2020
54,True,0,0,False,63,7,6,63,2,2020-08-09 19:34:56+00:00,active,True,True,2020-08-09 20:04:50,2020
55,True,0,0,False,64,16,3,64,0,2020-08-09 19:56:10+00:00,active,True,True,2020-08-09 20:04:50,2020
56,True,0,0,False,65,23,0,65,0,2020-08-09 19:25:31+00:00,active,True,True,2020-08-09 20:04:50,2020
57,True,0,0,False,66,15,0,66,0,2020-08-09 20:01:40+00:00,active,True,True,2020-08-09 20:04:50,2020
58,True,0,0,True,67,12,13,67,2,2020-08-09 20:03:39+00:00,active,True,True,2020-08-09 20:04:50,2020
59,True,0,0,True,68,14,4,68,1,2020-08-09 20:01:53+00:00,active,True,True,2020-08-09 20:04:50,2020
60,True,0,0,True,69,17,2,69,0,2020-08-09 20:04:31+00:00,active,True,True,2020-08-09 20:04:50,2020
61,True,0,0,False,70,3,19,70,1,2020-08-09 19:22:46+00:00,active,True,True,2020-08-09 20:04:50,2020
62,True,0,0,False,71,3,20,71,0,2020-08-09 19:52:15+00:00,active,True,True,2020-08-09 20:04:50,2020
63,True,0,0,False,72,17,6,72,0,2020-08-09 20:03:00+00:00,active,True,True,2020-08-09 20:04:50,2020
64,True,0,0,False,73,7,8,73,0,2020-08-09 19:45:05+00:00,active,True,True,2020-08-09 20:04:50,2020
65,True,0,0,True,74,7,10,74,2,2020-08-09 19:58:27+00:00,active,True,True,2020-08-09 20:04:50,2020
66,True,0,0,False,75,6,8,75,1,2020-08-09 19:51:46+00:00,active,True,True,2020-08-09 20:04:50,2020
67,True,0,0,False,76,12,4,76,1,2020-08-09 20:02:00+00:00,active,True,True,2020-08-09 20:04:50,2020
68,True,0,0,False,77,13,1,77,1,2020-08-09 19:40:42+00:00,active,True,True,2020-08-09 20:04:50,2020
69,True,0,0,False,78,2,17,78,0,2020-08-09 19:46:44+00:00,active,True,True,2020-08-09 20:04:50,2020
70,True,0,0,False,79,12,5,79,2,2020-08-09 19:56:52+00:00,active,True,True,2020-08-09 20:04:50,2020
71,True,0,0,False,80,21,14,80,0,2020-08-09 20:01:42+00:00,active,True,True,2020-08-09 20:04:50,2020
72,True,0,0,False,81,8,11,81,0,2020-08-09 19:59:14+00:00,active,True,True,2020-08-09 20:04:50,2020
73,True,0,0,False,82,15,0,82,0,2020-08-09 16:57:00+00:00,active,True,True,2020-08-09 20:04:50,2020
74,True,0,0,False,84,5,9,84,1,2020-08-09 20:02:58+00:00,active,True,True,2020-08-09 20:04:50,2020
75,True,0,0,False,85,8,10,85,1,2020-08-09 19:18:34+00:00,active,True,True,2020-08-09 20:04:50,2020
76,True,0,0,False,86,14,5,86,0,2020-08-09 20:02:20+00:00,active,True,True,2020-08-09 20:04:50,2020
77,True,0,0,False,87,12,2,87,1,2020-08-09 20:01:04+00:00,active,True,True,2020-08-09 20:04:50,2020
78,True,0,0,False,89,11,8,89,0,2020-08-09 18:42:56+00:00,active,True,True,2020-08-09 20:04:50,2020
79,True,0,0,False,90,9,10,90,0,2020-08-09 19:45:15+00:00,active,True,True,2020-08-09 20:04:50,2020
80,True,0,0,False,91,14,5,91,0,2020-08-09 19:58:36+00:00,active,True,True,2020-08-09 20:04:50,2020
81,True,0,0,False,92,7,12,92,0,2020-08-09 20:04:11+00:00,active,True,True,2020-08-09 20:04:50,2020
82,True,0,0,False,93,4,10,93,1,2020-08-09 19:41:42+00:00,active,True,True,2020-08-09 20:04:50,2020
83,True,0,0,False,94,6,5,94,0,2020-08-09 18:36:43+00:00,active,True,True,2020-08-09 20:04:50,2020
84,True,0,0,False,95,13,1,95,1,2020-08-09 19:39:53+00:00,active,True,True,2020-08-09 20:04:50,2020
85,True,0,0,False,96,9,10,96,0,2020-08-09 20:00:24+00:00,active,True,True,2020-08-09 20:04:50,2020
86,True,0,0,False,97,3,14,97,2,2020-08-09 19:54:48+00:00,active,True,True,2020-08-09 20:04:50,2020
87,True,0,0,False,98,21,2,98,0,2020-08-09 19:44:00+00:00,active,True,True,2020-08-09 20:04:50,2020
88,True,0,0,False,99,9,6,99,0,2020-08-09 19:13:29+00:00,active,True,True,2020-08-09 20:04:50,2020
89,True,0,0,True,100,9,15,100,1,2020-08-09 19:34:13+00:00,active,True,True,2020-08-09 20:04:50,2020
90,True,0,0,False,101,3,11,101,1,2020-08-09 19:40:36+00:00,active,True,True,2020-08-09 20:04:50,2020
91,True,0,0,False,102,5,9,102,1,2020-08-09 19:49:31+00:00,active,True,True,2020-08-09 20:04:50,2020
92,True,0,0,False,103,14,1,103,0,2020-08-09 20:03:31+00:00,active,True,True,2020-08-09 20:04:50,2020
93,True,0,0,False,104,2,17,104,0,2020-08-09 19:41:42+00:00,active,True,True,2020-08-09 20:04:50,2020
94,True,0,0,False,105,13,4,105,2,2020-08-09 20:02:06+00:00,active,True,True,2020-08-09 20:04:50,2020
95,True,0,0,False,106,7,8,106,0,2020-08-09 19:03:03+00:00,active,True,True,2020-08-09 20:04:50,2020
96,True,0,0,False,107,15,4,107,0,2020-08-09 19:52:46+00:00,active,True,True,2020-08-09 20:04:50,2020
97,True,0,0,False,108,14,3,108,0,2020-08-09 20:01:18+00:00,active,True,True,2020-08-09 20:04:50,2020
