,legacy_id,is_renting,num_bikes_available,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,station_id,last_reported,num_bikes_disabled,is_returning,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
202,235,True,5,active,0,False,0,True,235,2020-08-12 22:29:13+00:00,0,True,10,2020-08-12 22:59:55,2020
203,236,True,10,active,0,False,0,True,236,2020-08-12 22:51:40+00:00,0,True,5,2020-08-12 22:59:55,2020
204,239,True,7,active,0,False,0,True,239,2020-08-12 22:57:07+00:00,0,True,8,2020-08-12 22:59:55,2020
205,255,True,9,active,0,False,0,True,255,2020-08-12 21:50:25+00:00,0,True,6,2020-08-12 22:59:55,2020
206,258,True,10,active,0,False,0,True,258,2020-08-12 08:54:13+00:00,0,True,5,2020-08-12 22:59:55,2020
207,259,True,15,active,0,False,0,True,259,2020-08-12 08:53:25+00:00,0,True,0,2020-08-12 22:59:55,2020
208,260,False,12,active,0,False,0,True,260,2020-08-12 20:35:39+00:00,0,False,3,2020-08-12 22:59:55,2020
209,271,True,4,active,0,False,0,True,271,2020-08-12 22:03:53+00:00,0,True,11,2020-08-12 22:59:55,2020
210,272,True,6,active,0,False,0,True,272,2020-08-12 20:00:47+00:00,1,True,12,2020-08-12 22:59:55,2020
211,273,True,15,active,0,False,0,True,273,2020-08-12 22:36:33+00:00,0,True,25,2020-08-12 22:59:55,2020
212,279,True,18,active,0,False,0,True,279,2020-08-12 22:54:11+00:00,0,True,1,2020-08-12 22:59:55,2020
213,280,True,8,active,0,False,0,True,280,2020-08-12 22:59:25+00:00,0,True,11,2020-08-12 22:59:55,2020
214,282,True,7,active,0,False,0,True,282,2020-08-12 22:45:46+00:00,1,True,7,2020-08-12 22:59:55,2020
215,296,True,4,active,0,False,0,True,296,2020-08-12 22:58:05+00:00,0,True,19,2020-08-12 22:59:55,2020
216,318,True,9,active,0,False,0,True,318,2020-08-12 22:50:24+00:00,0,True,10,2020-08-12 22:59:55,2020
217,319,True,1,active,0,False,0,True,319,2020-08-12 22:09:02+00:00,0,True,24,2020-08-12 22:59:55,2020
218,327,True,1,active,0,False,0,True,327,2020-08-12 22:42:00+00:00,0,True,14,2020-08-12 22:59:55,2020
219,328,True,6,active,0,False,0,True,328,2020-08-12 22:53:43+00:00,1,True,8,2020-08-12 22:59:55,2020
220,329,True,7,active,0,False,0,True,329,2020-08-12 22:03:48+00:00,0,True,8,2020-08-12 22:59:55,2020
221,330,True,10,active,0,False,0,True,330,2020-08-12 22:48:42+00:00,0,True,5,2020-08-12 22:59:55,2020
222,331,True,7,active,0,False,0,True,331,2020-08-12 22:56:11+00:00,0,True,8,2020-08-12 22:59:55,2020
223,332,True,7,active,0,False,0,True,332,2020-08-12 22:45:40+00:00,1,True,7,2020-08-12 22:59:55,2020
224,333,True,21,active,0,False,0,True,333,2020-08-12 20:44:25+00:00,0,True,4,2020-08-12 22:59:55,2020
225,334,True,14,active,0,False,0,True,334,2020-08-12 22:49:23+00:00,2,True,3,2020-08-12 22:59:55,2020
226,335,True,9,active,0,False,0,True,335,2020-08-12 22:59:28+00:00,0,True,10,2020-08-12 22:59:55,2020
227,336,True,5,active,0,False,0,True,336,2020-08-12 22:58:54+00:00,0,True,10,2020-08-12 22:59:55,2020
228,337,True,15,active,0,False,0,True,337,2020-08-12 22:00:39+00:00,0,True,0,2020-08-12 22:59:55,2020
229,338,True,7,active,0,False,0,True,338,2020-08-12 22:45:36+00:00,1,True,7,2020-08-12 22:59:55,2020
