,num_bikes_available,num_docks_available,num_ebikes_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_status,eightd_has_available_keys,is_returning,is_renting,station_id,legacy_id,timestamp_of_data_read_request,year_station_last_reported
0,7,7,0,1,True,2020-08-12 19:52:39+00:00,0,active,False,True,True,3,3,2020-08-12 19:56:20,2020
1,10,9,0,0,True,2020-08-12 19:53:45+00:00,0,active,False,True,True,4,4,2020-08-12 19:56:20,2020
2,12,3,0,0,True,2020-08-12 19:50:49+00:00,0,active,False,True,True,5,5,2020-08-12 19:56:20,2020
3,10,3,0,2,True,2020-08-12 19:50:11+00:00,0,active,False,True,True,6,6,2020-08-12 19:56:20,2020
4,9,5,0,1,True,2020-08-12 19:52:02+00:00,0,active,False,True,True,7,7,2020-08-12 19:56:20,2020
5,8,11,0,0,True,2020-08-12 19:51:22+00:00,0,active,False,True,True,8,8,2020-08-12 19:56:20,2020
6,8,5,0,2,True,2020-08-12 19:52:29+00:00,0,active,False,True,True,9,9,2020-08-12 19:56:20,2020
7,5,6,0,0,True,2020-08-12 19:33:20+00:00,0,active,False,True,True,10,10,2020-08-12 19:56:20,2020
8,11,3,0,1,True,2020-08-12 19:54:07+00:00,0,active,False,True,True,11,11,2020-08-12 19:56:20,2020
9,16,2,0,0,True,2020-08-12 19:44:11+00:00,0,active,True,True,True,12,12,2020-08-12 19:56:20,2020
10,3,16,0,0,True,2020-08-12 19:50:19+00:00,0,active,False,True,True,13,13,2020-08-12 19:56:20,2020
11,15,10,0,0,True,2020-08-12 19:49:28+00:00,0,active,False,True,True,14,14,2020-08-12 19:56:20,2020
12,11,4,0,0,True,2020-08-12 19:55:04+00:00,0,active,False,True,True,15,15,2020-08-12 19:56:20,2020
13,7,12,0,0,True,2020-08-12 19:56:05+00:00,0,active,True,True,True,16,16,2020-08-12 19:56:20,2020
14,2,12,0,1,True,2020-08-12 19:16:35+00:00,0,active,False,True,True,17,17,2020-08-12 19:56:20,2020
15,4,11,0,0,True,2020-08-12 19:36:06+00:00,0,active,False,True,True,19,19,2020-08-12 19:56:20,2020
16,11,12,0,0,True,2020-08-12 19:14:27+00:00,0,active,True,True,True,20,20,2020-08-12 19:56:20,2020
17,13,5,0,0,True,2020-08-12 19:55:17+00:00,0,active,True,True,True,21,21,2020-08-12 19:56:20,2020
18,11,36,0,0,True,2020-08-12 19:36:59+00:00,0,active,True,True,True,22,22,2020-08-12 19:56:20,2020
19,13,8,0,0,True,2020-08-12 19:38:10+00:00,0,active,False,True,True,23,23,2020-08-12 19:56:20,2020
20,9,9,0,1,True,2020-08-12 19:53:26+00:00,0,active,False,True,True,24,24,2020-08-12 19:56:20,2020
21,1,13,0,1,True,2020-08-12 19:15:56+00:00,0,active,False,True,True,25,25,2020-08-12 19:56:20,2020
22,14,1,0,0,True,2020-08-12 19:31:01+00:00,0,active,False,True,True,26,26,2020-08-12 19:56:20,2020
23,13,9,0,1,True,2020-08-12 18:51:01+00:00,0,active,False,True,True,27,27,2020-08-12 19:56:20,2020
24,11,4,0,0,True,2020-08-12 17:50:54+00:00,0,active,False,True,True,29,29,2020-08-12 19:56:20,2020
25,13,2,0,0,True,2020-08-12 19:55:59+00:00,0,active,False,True,True,30,30,2020-08-12 19:56:20,2020
26,5,14,0,0,True,2020-08-12 19:53:39+00:00,0,active,True,True,True,31,31,2020-08-12 19:56:20,2020
27,12,3,0,0,True,2020-08-12 19:44:24+00:00,0,active,False,True,True,32,32,2020-08-12 19:56:20,2020
28,5,22,0,0,True,2020-08-12 19:44:16+00:00,0,active,False,True,True,33,33,2020-08-12 19:56:20,2020
29,18,5,0,0,True,2020-08-12 19:41:07+00:00,0,active,False,True,True,35,35,2020-08-12 19:56:20,2020
30,11,22,0,0,True,2020-08-12 19:55:15+00:00,0,active,True,True,True,36,36,2020-08-12 19:56:20,2020
31,0,15,0,0,True,2020-08-12 18:30:37+00:00,0,active,True,True,True,37,37,2020-08-12 19:56:20,2020
32,10,11,0,2,True,2020-08-12 19:16:35+00:00,0,active,False,True,True,39,39,2020-08-12 19:56:20,2020
33,5,13,0,1,True,2020-08-12 19:35:24+00:00,0,active,False,True,True,40,40,2020-08-12 19:56:20,2020
34,2,25,0,0,True,2020-08-12 19:53:01+00:00,0,active,True,True,True,41,41,2020-08-12 19:56:20,2020
35,17,6,0,0,True,2020-08-12 19:40:31+00:00,0,active,False,True,True,42,42,2020-08-12 19:56:20,2020
36,11,4,0,0,True,2020-08-12 19:29:56+00:00,0,active,True,True,True,43,43,2020-08-12 19:56:20,2020
