,num_docks_available,station_status,last_reported,num_bikes_disabled,num_docks_disabled,num_bikes_available,num_ebikes_available,is_installed,station_id,legacy_id,is_renting,eightd_has_available_keys,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,1,active,2020-08-18 16:40:39+00:00,0,0,14,0,True,3,3,True,False,True,,,2020-08-18 17:11:35,2020
1,17,active,2020-08-18 17:09:32+00:00,0,0,2,0,True,4,4,True,False,True,,,2020-08-18 17:11:35,2020
2,9,active,2020-08-18 17:08:25+00:00,2,0,4,0,True,5,5,True,False,True,,,2020-08-18 17:11:35,2020
3,4,active,2020-08-18 16:58:09+00:00,0,0,11,0,True,6,6,True,False,True,,,2020-08-18 17:11:35,2020
4,11,active,2020-08-18 16:51:51+00:00,1,0,3,0,True,7,7,True,False,True,,,2020-08-18 17:11:35,2020
5,15,active,2020-08-18 17:03:54+00:00,4,0,0,0,True,8,8,True,False,True,,,2020-08-18 17:11:35,2020
6,14,active,2020-08-18 16:53:49+00:00,1,0,0,0,True,9,9,True,False,True,,,2020-08-18 17:11:35,2020
7,4,active,2020-08-18 17:10:31+00:00,0,0,7,0,True,10,10,True,False,True,,,2020-08-18 17:11:35,2020
8,1,active,2020-08-18 17:10:57+00:00,0,0,14,0,True,11,11,True,False,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 61, 'valet_revision': 91, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'active': True, 'off_dock_capacity': 50, 'dock_blocked_count': 0}",2020-08-18 17:11:35,2020
9,11,active,2020-08-18 16:08:54+00:00,0,0,7,0,True,12,12,True,True,True,,,2020-08-18 17:11:35,2020
10,10,active,2020-08-18 16:42:38+00:00,0,0,9,0,True,13,13,True,False,True,,,2020-08-18 17:11:35,2020
11,4,active,2020-08-18 17:02:25+00:00,3,0,18,0,True,14,14,True,False,True,,,2020-08-18 17:11:35,2020
12,5,active,2020-08-18 16:58:35+00:00,0,0,10,0,True,15,15,True,False,True,,,2020-08-18 17:11:35,2020
13,17,active,2020-08-18 16:53:28+00:00,0,0,2,0,True,16,16,True,True,True,,,2020-08-18 17:11:35,2020
14,14,active,2020-08-18 17:03:16+00:00,0,0,1,0,True,17,17,True,False,True,,,2020-08-18 17:11:35,2020
15,14,active,2020-08-18 16:01:01+00:00,0,0,1,0,True,19,19,True,False,True,,,2020-08-18 17:11:35,2020
16,0,active,2020-08-18 17:09:51+00:00,0,0,23,0,True,20,20,True,True,True,,,2020-08-18 17:11:35,2020
