,num_bikes_disabled,is_returning,is_renting,num_docks_available,legacy_id,num_docks_disabled,is_installed,station_status,num_bikes_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,True,14,3,0,True,active,1,2020-07-31 08:17:44+00:00,0,3,True,,,2020-07-31 10:56:50,2020
1,0,True,True,3,4,0,True,active,16,2020-07-31 09:53:51+00:00,0,4,False,,,2020-07-31 10:56:50,2020
2,1,True,True,0,5,0,True,active,14,2020-07-31 10:56:42+00:00,0,5,False,,,2020-07-31 10:56:50,2020
3,0,True,True,10,6,0,True,active,5,2020-07-31 10:50:39+00:00,0,6,False,,,2020-07-31 10:56:50,2020
4,1,True,True,4,7,0,True,active,10,2020-07-31 09:28:01+00:00,0,7,False,,,2020-07-31 10:56:50,2020
5,2,True,True,1,8,0,True,active,16,2020-07-31 09:13:56+00:00,0,8,False,,,2020-07-31 10:56:50,2020
6,0,True,True,4,9,0,True,active,11,2020-07-31 08:01:54+00:00,0,9,False,,,2020-07-31 10:56:50,2020
7,0,True,True,3,10,0,True,active,8,2020-07-31 09:58:31+00:00,0,10,False,,,2020-07-31 10:56:50,2020
8,0,True,True,2,11,0,True,active,13,2020-07-31 10:55:19+00:00,0,11,False,,,2020-07-31 10:56:50,2020
9,1,True,True,17,12,0,True,active,0,2020-07-31 10:32:45+00:00,0,12,True,,,2020-07-31 10:56:50,2020
10,0,True,True,0,13,0,True,active,19,2020-07-31 10:40:51+00:00,0,13,False,,,2020-07-31 10:56:50,2020
11,0,True,True,14,14,0,True,active,11,2020-07-31 10:48:43+00:00,0,14,False,,,2020-07-31 10:56:50,2020
12,2,True,True,2,15,0,True,active,11,2020-07-31 08:56:17+00:00,0,15,False,,,2020-07-31 10:56:50,2020
13,1,True,True,12,16,0,True,active,6,2020-07-31 10:42:55+00:00,0,16,True,,,2020-07-31 10:56:50,2020
14,0,True,True,4,17,0,True,active,11,2020-07-31 10:51:46+00:00,0,17,False,,,2020-07-31 10:56:50,2020
15,0,True,True,5,19,0,True,active,10,2020-07-31 10:04:12+00:00,0,19,False,,,2020-07-31 10:56:50,2020
16,0,True,True,18,20,0,True,active,5,2020-07-31 09:42:31+00:00,0,20,True,,,2020-07-31 10:56:50,2020
17,0,True,True,13,21,0,True,active,5,2020-07-31 10:18:05+00:00,0,21,True,,,2020-07-31 10:56:50,2020
18,1,True,True,39,22,0,True,active,7,2020-07-31 10:48:23+00:00,0,22,True,,,2020-07-31 10:56:50,2020
19,0,True,True,15,23,0,True,active,6,2020-07-31 10:34:03+00:00,0,23,True,,,2020-07-31 10:56:50,2020
20,0,True,True,10,24,0,True,active,9,2020-07-31 09:49:03+00:00,0,24,False,,,2020-07-31 10:56:50,2020
21,1,True,True,4,25,0,True,active,10,2020-07-31 10:38:48+00:00,0,25,False,,,2020-07-31 10:56:50,2020
