,is_renting,station_id,last_reported,num_docks_available,eightd_has_available_keys,num_bikes_available,num_ebikes_available,num_docks_disabled,is_installed,legacy_id,station_status,num_bikes_disabled,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,3,2020-07-29 15:17:50+00:00,8,True,7,0,0,True,3,active,0,True,,,2020-07-29 15:21:00,2020
1,True,4,2020-07-29 14:57:32+00:00,15,False,4,0,0,True,4,active,0,True,,,2020-07-29 15:21:00,2020
2,True,5,2020-07-29 15:02:48+00:00,5,False,10,0,0,True,5,active,0,True,,,2020-07-29 15:21:00,2020
3,True,6,2020-07-29 15:19:29+00:00,1,False,14,0,0,True,6,active,0,True,,,2020-07-29 15:21:00,2020
4,True,7,2020-07-29 13:32:50+00:00,14,False,1,0,0,True,7,active,0,True,,,2020-07-29 15:21:00,2020
5,True,8,2020-07-29 15:11:46+00:00,9,False,8,0,0,True,8,active,2,True,,,2020-07-29 15:21:00,2020
6,True,9,2020-07-29 15:14:31+00:00,11,False,3,0,0,True,9,active,1,True,,,2020-07-29 15:21:00,2020
7,True,10,2020-07-29 14:57:36+00:00,0,False,10,0,0,True,10,active,1,True,,,2020-07-29 15:21:00,2020
8,True,11,2020-07-29 15:19:17+00:00,8,False,6,0,0,True,11,active,1,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'off_dock_count': 58, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 50, 'valet_revision': 69}",2020-07-29 15:21:00,2020
9,True,12,2020-07-29 14:15:36+00:00,12,True,6,0,0,True,12,active,0,True,,,2020-07-29 15:21:00,2020
10,True,13,2020-07-29 15:19:33+00:00,0,False,19,0,0,True,13,active,0,True,,,2020-07-29 15:21:00,2020
11,True,14,2020-07-29 15:19:54+00:00,3,False,22,0,0,True,14,active,0,True,,,2020-07-29 15:21:00,2020
12,True,15,2020-07-29 15:07:51+00:00,7,False,8,0,0,True,15,active,0,True,,,2020-07-29 15:21:00,2020
13,True,16,2020-07-29 15:05:54+00:00,10,True,8,0,0,True,16,active,1,True,,,2020-07-29 15:21:00,2020
14,True,17,2020-07-29 13:20:45+00:00,2,False,13,0,0,True,17,active,0,True,,,2020-07-29 15:21:00,2020
15,True,19,2020-07-29 15:05:28+00:00,10,False,5,0,0,True,19,active,0,True,,,2020-07-29 15:21:00,2020
16,True,20,2020-07-29 14:26:25+00:00,3,True,19,0,0,True,20,active,1,True,,,2020-07-29 15:21:00,2020
17,True,21,2020-07-29 13:31:42+00:00,12,False,6,0,0,True,21,active,0,True,,,2020-07-29 15:21:00,2020
18,True,22,2020-07-29 15:06:56+00:00,38,False,9,0,0,True,22,active,0,True,,,2020-07-29 15:21:00,2020
19,True,23,2020-07-29 15:17:15+00:00,8,True,13,0,0,True,23,active,0,True,,,2020-07-29 15:21:00,2020
20,True,24,2020-07-29 14:40:54+00:00,12,False,6,0,0,True,24,active,1,True,,,2020-07-29 15:21:00,2020
