,num_docks_disabled,last_reported,num_docks_available,station_status,eightd_has_available_keys,is_renting,legacy_id,is_returning,station_id,num_bikes_disabled,num_ebikes_available,is_installed,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,0,2020-08-07 23:38:34+00:00,11,active,True,True,56,True,56,0,0,True,7,,,2020-08-07 23:54:55,2020
49,0,2020-08-07 23:51:51+00:00,4,active,True,True,57,True,57,1,0,True,9,,,2020-08-07 23:54:55,2020
50,0,2020-08-07 23:52:29+00:00,1,active,True,True,58,True,58,2,0,True,16,,,2020-08-07 23:54:55,2020
51,0,2020-08-07 23:47:42+00:00,15,active,True,True,59,True,59,0,0,True,4,,,2020-08-07 23:54:55,2020
52,0,2020-08-07 23:54:40+00:00,11,active,False,True,60,True,60,1,0,True,7,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 40, 'off_dock_count': 4, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 69, 'region': 'BOS'}",2020-08-07 23:54:55,2020
53,0,2020-08-07 23:50:08+00:00,15,active,False,True,61,True,61,0,0,True,4,,,2020-08-07 23:54:55,2020
54,0,2020-08-07 23:45:09+00:00,11,active,False,True,63,True,63,1,0,True,3,,,2020-08-07 23:54:55,2020
55,0,2020-08-07 23:43:06+00:00,11,active,False,True,64,True,64,1,0,True,7,,,2020-08-07 23:54:55,2020
56,0,2020-08-07 23:48:02+00:00,21,active,False,True,65,True,65,0,0,True,2,,,2020-08-07 23:54:55,2020
57,0,2020-08-07 23:19:25+00:00,15,active,False,True,66,True,66,0,0,True,0,,,2020-08-07 23:54:55,2020
58,0,2020-08-07 23:37:37+00:00,16,active,True,True,67,True,67,0,0,True,11,,,2020-08-07 23:54:55,2020
59,0,2020-08-07 23:53:57+00:00,3,active,True,True,68,True,68,0,0,True,16,,,2020-08-07 23:54:55,2020
60,0,2020-08-07 23:42:53+00:00,9,active,False,True,69,True,69,1,0,True,9,,,2020-08-07 23:54:55,2020
61,0,2020-08-07 23:40:10+00:00,1,active,False,True,70,True,70,1,0,True,21,,,2020-08-07 23:54:55,2020
62,0,2020-08-07 23:52:58+00:00,1,active,False,True,71,True,71,0,0,True,22,,,2020-08-07 23:54:55,2020
63,0,2020-08-07 23:40:41+00:00,20,active,False,True,72,True,72,0,0,True,3,,,2020-08-07 23:54:55,2020
64,0,2020-08-07 23:51:01+00:00,1,active,False,True,73,True,73,0,0,True,14,,,2020-08-07 23:54:55,2020
65,0,2020-08-07 23:53:21+00:00,9,active,True,True,74,True,74,4,0,True,6,,,2020-08-07 23:54:55,2020
66,0,2020-08-07 23:37:56+00:00,7,active,False,True,75,True,75,0,0,True,8,,,2020-08-07 23:54:55,2020
67,0,2020-08-07 23:50:08+00:00,1,active,False,True,76,True,76,0,0,True,16,,,2020-08-07 23:54:55,2020
68,0,2020-08-07 23:36:22+00:00,11,active,False,True,77,True,77,0,0,True,4,,,2020-08-07 23:54:55,2020
69,0,2020-08-07 23:52:37+00:00,3,active,False,True,78,True,78,2,0,True,14,,,2020-08-07 23:54:55,2020
70,0,2020-08-07 23:47:35+00:00,12,active,False,True,79,True,79,1,0,True,6,,,2020-08-07 23:54:55,2020
71,0,2020-08-07 23:53:42+00:00,33,active,False,True,80,True,80,1,0,True,1,,,2020-08-07 23:54:55,2020
72,0,2020-08-07 23:50:22+00:00,10,active,False,True,81,True,81,0,0,True,9,,,2020-08-07 23:54:55,2020
73,0,2020-08-07 21:43:36+00:00,10,active,False,True,82,True,82,0,0,True,5,,,2020-08-07 23:54:55,2020
74,0,2020-08-07 23:27:47+00:00,9,active,False,True,84,True,84,0,0,True,6,,,2020-08-07 23:54:55,2020
75,0,2020-08-07 23:31:00+00:00,14,active,False,True,85,True,85,0,0,True,5,,,2020-08-07 23:54:55,2020
76,0,2020-08-07 23:50:21+00:00,15,active,False,True,86,True,86,0,0,True,4,,,2020-08-07 23:54:55,2020
77,0,2020-08-07 23:48:07+00:00,7,active,False,True,87,True,87,1,0,True,7,,,2020-08-07 23:54:55,2020
78,0,2020-08-07 23:21:32+00:00,4,active,False,True,89,True,89,0,0,True,15,,,2020-08-07 23:54:55,2020
79,0,2020-08-07 23:23:13+00:00,9,active,False,True,90,True,90,1,0,True,9,,,2020-08-07 23:54:55,2020
80,0,2020-08-07 23:50:23+00:00,13,active,False,True,91,True,91,0,0,True,6,,,2020-08-07 23:54:55,2020
81,0,2020-08-07 22:44:14+00:00,11,active,False,True,92,True,92,0,0,True,8,,,2020-08-07 23:54:55,2020
82,0,2020-08-07 23:31:13+00:00,9,active,False,True,93,True,93,1,0,True,5,,,2020-08-07 23:54:55,2020
83,0,2020-08-07 23:49:26+00:00,7,active,False,True,94,True,94,0,0,True,4,,,2020-08-07 23:54:55,2020
84,0,2020-08-07 23:40:01+00:00,10,active,False,True,95,True,95,1,0,True,4,,,2020-08-07 23:54:55,2020
85,0,2020-08-07 23:50:14+00:00,17,active,False,True,96,True,96,0,0,True,2,,,2020-08-07 23:54:55,2020
86,0,2020-08-07 23:50:19+00:00,4,active,False,True,97,True,97,1,0,True,14,,,2020-08-07 23:54:55,2020
87,0,2020-08-07 23:43:24+00:00,16,active,False,True,98,True,98,0,0,True,7,,,2020-08-07 23:54:55,2020
88,0,2020-08-07 23:47:47+00:00,4,active,False,True,99,True,99,0,0,True,11,,,2020-08-07 23:54:55,2020
89,0,2020-08-07 23:54:05+00:00,1,active,True,True,100,True,100,0,0,True,24,,,2020-08-07 23:54:55,2020
90,0,2020-08-07 22:54:42+00:00,1,active,False,True,101,True,101,0,0,True,14,,,2020-08-07 23:54:55,2020
91,0,2020-08-07 23:53:52+00:00,5,active,False,True,102,True,102,3,0,True,7,,,2020-08-07 23:54:55,2020
92,0,2020-08-07 23:39:11+00:00,11,active,False,True,103,True,103,0,0,True,4,,,2020-08-07 23:54:55,2020
93,0,2020-08-07 23:54:03+00:00,10,active,False,True,104,True,104,1,0,True,8,,,2020-08-07 23:54:55,2020
94,0,2020-08-07 23:48:22+00:00,2,active,False,True,105,True,105,1,0,True,16,,,2020-08-07 23:54:55,2020
