,station_status,eightd_has_available_keys,num_bikes_disabled,num_docks_available,is_returning,num_bikes_available,legacy_id,last_reported,num_docks_disabled,is_installed,num_ebikes_available,is_renting,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,active,False,1,14,True,3,49,2020-07-28 20:34:14+00:00,0,True,0,True,49,,,2020-07-28 21:12:55,2020
42,active,True,0,13,True,2,50,2020-07-28 21:08:27+00:00,0,True,0,True,50,,,2020-07-28 21:12:55,2020
43,active,False,2,0,True,13,51,2020-07-28 20:24:27+00:00,0,True,0,True,51,,,2020-07-28 21:12:55,2020
44,active,True,3,3,True,17,52,2020-07-28 21:12:37+00:00,0,True,0,True,52,,,2020-07-28 21:12:55,2020
45,active,False,0,12,True,7,53,2020-07-28 21:12:15+00:00,0,True,0,True,53,,,2020-07-28 21:12:55,2020
46,active,False,0,0,True,15,54,2020-07-28 21:07:19+00:00,0,True,0,True,54,,,2020-07-28 21:12:55,2020
47,active,False,0,4,True,11,55,2020-07-28 21:10:29+00:00,0,True,0,True,55,,,2020-07-28 21:12:55,2020
48,active,True,0,4,True,14,56,2020-07-28 20:12:02+00:00,0,True,0,True,56,,,2020-07-28 21:12:55,2020
49,active,True,0,10,True,4,57,2020-07-28 21:09:35+00:00,0,True,0,True,57,,,2020-07-28 21:12:55,2020
50,active,True,0,19,True,0,58,2020-07-28 21:11:41+00:00,0,True,0,True,58,,,2020-07-28 21:12:55,2020
51,active,True,0,15,True,4,59,2020-07-28 20:31:37+00:00,0,True,0,True,59,,,2020-07-28 21:12:55,2020
52,active,False,0,6,True,13,60,2020-07-28 21:11:06+00:00,0,True,0,True,60,"{'region': 'BOS', 'valet_revision': 59, 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 14}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-28 21:12:55,2020
53,active,False,0,0,True,19,61,2020-07-28 21:01:54+00:00,0,True,0,True,61,,,2020-07-28 21:12:55,2020
54,active,False,0,1,True,14,63,2020-07-28 20:20:36+00:00,0,True,0,True,63,,,2020-07-28 21:12:55,2020
55,active,False,0,11,True,8,64,2020-07-28 21:10:13+00:00,0,True,0,True,64,,,2020-07-28 21:12:55,2020
56,active,False,1,12,True,10,65,2020-07-28 21:08:11+00:00,0,True,0,True,65,,,2020-07-28 21:12:55,2020
57,active,False,0,10,True,5,66,2020-07-28 20:55:32+00:00,0,True,0,True,66,,,2020-07-28 21:12:55,2020
58,active,True,4,7,True,16,67,2020-07-28 20:51:53+00:00,0,True,0,True,67,,,2020-07-28 21:12:55,2020
59,active,True,0,12,True,7,68,2020-07-28 21:11:32+00:00,0,True,0,True,68,,,2020-07-28 21:12:55,2020
60,active,True,1,14,True,4,69,2020-07-28 20:59:47+00:00,0,True,0,True,69,,,2020-07-28 21:12:55,2020
61,active,False,0,13,True,10,70,2020-07-28 20:58:18+00:00,0,True,0,True,70,,,2020-07-28 21:12:55,2020
62,active,False,0,6,True,17,71,2020-07-28 21:10:36+00:00,0,True,0,True,71,,,2020-07-28 21:12:55,2020
63,active,False,0,13,True,10,72,2020-07-28 20:29:19+00:00,0,True,0,True,72,,,2020-07-28 21:12:55,2020
64,active,False,0,3,True,12,73,2020-07-28 21:08:44+00:00,0,True,0,True,73,,,2020-07-28 21:12:55,2020
65,active,True,2,6,True,11,74,2020-07-28 21:10:40+00:00,0,True,0,True,74,,,2020-07-28 21:12:55,2020
66,active,False,1,12,True,2,75,2020-07-28 21:12:31+00:00,0,True,0,True,75,,,2020-07-28 21:12:55,2020
67,active,False,0,12,True,5,76,2020-07-28 21:10:48+00:00,0,True,0,True,76,,,2020-07-28 21:12:55,2020
68,active,False,0,8,True,7,77,2020-07-28 20:42:20+00:00,0,True,0,True,77,,,2020-07-28 21:12:55,2020
69,active,False,1,7,True,11,78,2020-07-28 21:05:08+00:00,0,True,0,True,78,,,2020-07-28 21:12:55,2020
70,active,False,1,16,True,2,79,2020-07-28 21:03:11+00:00,0,True,0,True,79,,,2020-07-28 21:12:55,2020
71,active,False,0,15,True,20,80,2020-07-28 20:48:43+00:00,0,True,0,True,80,,,2020-07-28 21:12:55,2020
