,valet,is_installed,num_bikes_disabled,num_docks_available,is_renting,eightd_active_station_services,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,"{'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'region': 'BOS', 'off_dock_count': 0, 'valet_revision': 3, 'active': True, 'dock_blocked_count': 0, 'off_dock_capacity': 0}",True,0,17,True,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],0,6,296,True,2020-08-02 00:32:08+00:00,active,296,0,False,2020-08-02 00:34:15,2020
1,,True,0,14,True,,0,1,3,True,2020-08-02 00:22:23+00:00,active,3,0,True,2020-08-02 00:34:15,2020
2,,True,0,11,True,,0,8,4,True,2020-08-02 00:32:30+00:00,active,4,0,False,2020-08-02 00:34:15,2020
3,,True,0,13,True,,0,2,5,True,2020-08-02 00:34:00+00:00,active,5,0,False,2020-08-02 00:34:15,2020
4,,True,0,11,True,,0,4,6,True,2020-08-02 00:11:37+00:00,active,6,0,False,2020-08-02 00:34:15,2020
5,,True,0,5,True,,0,10,7,True,2020-08-02 00:27:25+00:00,active,7,0,False,2020-08-02 00:34:15,2020
6,,True,2,8,True,,0,9,8,True,2020-08-02 00:34:00+00:00,active,8,0,False,2020-08-02 00:34:15,2020
7,,True,0,1,True,,0,14,9,True,2020-08-02 00:27:31+00:00,active,9,0,False,2020-08-02 00:34:15,2020
8,,True,1,7,True,,0,3,10,True,2020-08-02 00:21:24+00:00,active,10,0,False,2020-08-02 00:34:15,2020
9,,True,1,2,True,,0,12,11,True,2020-08-02 00:27:12+00:00,active,11,0,False,2020-08-02 00:34:15,2020
10,,True,0,15,True,,0,3,12,True,2020-08-02 00:27:45+00:00,active,12,0,True,2020-08-02 00:34:15,2020
11,,True,0,11,True,,0,8,13,True,2020-08-02 00:28:25+00:00,active,13,0,False,2020-08-02 00:34:15,2020
12,,True,2,21,True,,0,2,14,True,2020-08-02 00:16:16+00:00,active,14,0,False,2020-08-02 00:34:15,2020
13,,True,1,9,True,,0,5,15,True,2020-08-02 00:08:04+00:00,active,15,0,False,2020-08-02 00:34:15,2020
14,,True,1,4,True,,0,14,16,True,2020-08-02 00:33:49+00:00,active,16,0,True,2020-08-02 00:34:15,2020
15,,True,0,12,True,,0,3,17,True,2020-08-02 00:27:58+00:00,active,17,0,False,2020-08-02 00:34:15,2020
16,,True,1,10,True,,0,4,19,True,2020-08-02 00:21:43+00:00,active,19,0,False,2020-08-02 00:34:15,2020
17,,True,0,19,True,,0,4,20,True,2020-08-02 00:17:59+00:00,active,20,0,True,2020-08-02 00:34:15,2020
18,,True,0,15,True,,0,3,21,True,2020-08-02 00:18:29+00:00,active,21,0,True,2020-08-02 00:34:15,2020
19,,True,2,45,True,,0,0,22,True,2020-08-02 00:29:41+00:00,active,22,0,True,2020-08-02 00:34:15,2020
20,,True,0,15,True,,0,6,23,True,2020-08-02 00:24:28+00:00,active,23,0,True,2020-08-02 00:34:15,2020
21,,True,1,0,True,,0,18,24,True,2020-08-02 00:21:26+00:00,active,24,0,False,2020-08-02 00:34:15,2020
22,,True,1,13,True,,0,1,25,True,2020-08-02 00:29:44+00:00,active,25,0,False,2020-08-02 00:34:15,2020
23,,True,0,14,True,,0,1,26,True,2020-08-02 00:07:35+00:00,active,26,0,False,2020-08-02 00:34:15,2020
24,,True,2,16,True,,0,5,27,True,2020-08-02 00:31:28+00:00,active,27,0,False,2020-08-02 00:34:15,2020
25,,True,0,9,True,,0,6,29,True,2020-08-01 22:55:33+00:00,active,29,0,False,2020-08-02 00:34:15,2020
26,,True,2,12,True,,0,1,30,True,2020-08-02 00:23:41+00:00,active,30,0,False,2020-08-02 00:34:15,2020
27,,True,2,0,True,,0,17,31,True,2020-08-01 23:46:06+00:00,active,31,0,True,2020-08-02 00:34:15,2020
28,,True,3,7,True,,0,5,32,True,2020-08-02 00:29:58+00:00,active,32,0,False,2020-08-02 00:34:15,2020
29,,True,2,15,True,,0,10,33,True,2020-08-02 00:22:00+00:00,active,33,0,False,2020-08-02 00:34:15,2020
30,,True,0,20,True,,0,3,35,True,2020-08-02 00:14:14+00:00,active,35,0,False,2020-08-02 00:34:15,2020
31,,True,0,18,True,,0,15,36,True,2020-08-02 00:34:01+00:00,active,36,0,True,2020-08-02 00:34:15,2020
32,,True,0,9,True,,0,6,37,True,2020-08-01 23:48:34+00:00,active,37,0,True,2020-08-02 00:34:15,2020
33,,True,0,11,True,,0,12,39,True,2020-08-02 00:29:29+00:00,active,39,0,False,2020-08-02 00:34:15,2020
34,,True,0,7,True,,0,12,40,True,2020-08-02 00:30:17+00:00,active,40,0,False,2020-08-02 00:34:15,2020
35,,True,3,16,True,,0,8,41,True,2020-08-02 00:27:32+00:00,active,41,0,True,2020-08-02 00:34:15,2020
36,,True,0,13,True,,0,10,42,True,2020-08-02 00:34:03+00:00,active,42,0,False,2020-08-02 00:34:15,2020
37,,True,4,6,True,,0,5,43,True,2020-08-02 00:33:36+00:00,active,43,0,True,2020-08-02 00:34:15,2020
38,,True,0,9,True,,0,14,44,True,2020-08-02 00:24:56+00:00,active,44,0,False,2020-08-02 00:34:15,2020
39,,True,1,6,True,,0,12,46,True,2020-08-02 00:33:11+00:00,active,46,0,False,2020-08-02 00:34:15,2020
40,,True,0,0,True,,0,19,47,True,2020-08-02 00:30:33+00:00,active,47,0,True,2020-08-02 00:34:15,2020
41,,True,0,12,True,,0,7,48,True,2020-08-02 00:23:52+00:00,active,48,0,False,2020-08-02 00:34:15,2020
42,,True,0,17,True,,0,1,49,True,2020-08-02 00:06:32+00:00,active,49,0,False,2020-08-02 00:34:15,2020
43,,True,0,12,True,,0,3,50,True,2020-08-02 00:15:18+00:00,active,50,0,False,2020-08-02 00:34:15,2020
44,,True,0,8,True,,0,7,51,True,2020-08-02 00:15:49+00:00,active,51,0,False,2020-08-02 00:34:15,2020
45,,True,1,20,True,,0,2,52,True,2020-08-02 00:32:26+00:00,active,52,0,True,2020-08-02 00:34:15,2020
46,,True,1,1,True,,0,17,53,True,2020-08-02 00:32:45+00:00,active,53,0,False,2020-08-02 00:34:15,2020
