,is_installed,last_reported,num_bikes_available,num_ebikes_available,station_id,num_bikes_disabled,station_status,is_returning,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
161,True,2020-07-29 15:08:20+00:00,9,0,187,0,active,True,187,0,False,6,True,,,2020-07-29 22:09:40,2020
162,True,2020-07-29 21:48:53+00:00,11,0,188,0,active,True,188,0,False,4,True,,,2020-07-29 22:09:40,2020
163,True,2020-07-29 21:58:05+00:00,3,0,189,0,active,True,189,0,True,20,True,,,2020-07-29 22:09:40,2020
164,True,2020-07-29 22:06:24+00:00,17,0,190,1,active,True,190,0,True,19,True,,,2020-07-29 22:09:40,2020
165,True,2020-07-29 22:06:54+00:00,1,0,191,0,active,True,191,0,False,14,True,,,2020-07-29 22:09:40,2020
166,True,2020-07-29 21:50:10+00:00,5,0,192,0,active,True,192,0,False,14,True,,,2020-07-29 22:09:40,2020
167,True,2020-07-29 21:52:54+00:00,15,0,193,0,active,True,193,0,True,0,True,,,2020-07-29 22:09:40,2020
168,True,2020-07-29 18:11:48+00:00,14,0,194,0,active,True,194,0,False,5,True,,,2020-07-29 22:09:40,2020
169,True,2020-07-29 22:08:54+00:00,8,0,195,2,active,True,195,0,False,13,True,,,2020-07-29 22:09:40,2020
170,True,2020-07-29 21:42:40+00:00,1,0,196,0,active,True,196,0,True,9,True,,,2020-07-29 22:09:40,2020
171,True,2020-07-29 22:05:05+00:00,5,0,197,0,active,True,197,0,False,10,True,,,2020-07-29 22:09:40,2020
172,True,2020-07-29 16:57:39+00:00,7,0,199,0,active,True,199,0,False,8,True,,,2020-07-29 22:09:40,2020
173,True,2020-07-29 22:04:47+00:00,12,0,200,0,active,True,200,0,False,7,True,,,2020-07-29 22:09:40,2020
174,True,2020-07-29 12:09:09+00:00,0,0,201,0,active,True,201,0,False,15,True,,,2020-07-29 22:09:40,2020
175,True,2020-07-29 21:23:44+00:00,2,0,202,1,active,True,202,0,False,12,True,,,2020-07-29 22:09:40,2020
176,True,2020-07-29 20:08:28+00:00,3,0,203,0,active,True,203,0,False,12,True,,,2020-07-29 22:09:40,2020
177,True,2020-07-29 20:09:46+00:00,2,0,204,0,active,True,204,0,False,13,True,,,2020-07-29 22:09:40,2020
178,True,2020-07-29 18:59:24+00:00,4,0,205,1,active,True,205,0,False,10,True,,,2020-07-29 22:09:40,2020
179,True,2020-07-29 22:02:50+00:00,9,0,206,0,active,True,206,0,False,14,True,,,2020-07-29 22:09:40,2020
180,True,2020-07-29 21:53:23+00:00,13,0,208,0,active,True,208,0,True,2,True,,,2020-07-29 22:09:40,2020
181,True,2020-07-29 21:54:31+00:00,11,0,209,1,active,True,209,0,False,3,True,,,2020-07-29 22:09:40,2020
182,True,2020-07-29 22:03:01+00:00,3,0,210,0,active,True,210,0,False,12,True,,,2020-07-29 22:09:40,2020
183,True,2020-07-29 20:24:52+00:00,14,0,211,1,active,True,211,0,False,4,True,,,2020-07-29 22:09:40,2020
184,True,2020-07-29 21:29:51+00:00,7,0,212,0,active,True,212,0,False,26,True,,,2020-07-29 22:09:40,2020
185,True,2020-07-29 21:05:25+00:00,8,0,213,0,active,True,213,0,True,8,True,,,2020-07-29 22:09:40,2020
186,True,2020-07-29 22:06:43+00:00,12,0,214,0,active,True,214,0,False,3,True,,,2020-07-29 22:09:40,2020
187,True,2020-07-29 16:16:33+00:00,12,0,215,0,active,True,215,0,False,3,True,,,2020-07-29 22:09:40,2020
188,True,2020-07-29 20:43:27+00:00,17,0,216,1,active,True,216,0,False,1,True,,,2020-07-29 22:09:40,2020
189,True,2020-07-29 21:49:52+00:00,5,0,217,0,active,True,217,0,False,14,True,,,2020-07-29 22:09:40,2020
190,True,2020-07-29 22:06:28+00:00,8,0,218,0,active,True,218,0,False,7,True,,,2020-07-29 22:09:40,2020
191,True,2020-07-29 17:58:44+00:00,9,0,219,0,active,True,219,0,False,6,True,,,2020-07-29 22:09:40,2020
192,True,2020-07-29 22:09:11+00:00,3,0,221,1,active,True,221,0,False,15,True,,,2020-07-29 22:09:40,2020
193,True,2020-07-29 21:55:54+00:00,2,0,222,0,active,True,222,0,True,12,True,,,2020-07-29 22:09:40,2020
194,True,2020-07-29 21:39:24+00:00,8,0,224,0,active,True,224,0,False,9,True,,,2020-07-29 22:09:40,2020
195,True,2020-07-29 22:07:20+00:00,8,0,225,1,active,True,225,0,False,10,True,,,2020-07-29 22:09:40,2020
196,True,2020-07-29 22:00:55+00:00,5,0,226,0,active,True,226,0,False,10,True,,,2020-07-29 22:09:40,2020
197,True,2020-07-29 22:02:59+00:00,11,0,227,0,active,True,227,0,False,8,True,,,2020-07-29 22:09:40,2020
198,True,2020-07-29 17:26:31+00:00,6,0,228,0,active,True,228,0,False,13,True,,,2020-07-29 22:09:40,2020
199,True,2020-07-29 22:09:23+00:00,2,0,232,0,active,True,232,0,False,9,True,,,2020-07-29 22:09:40,2020
200,True,2020-07-29 22:08:02+00:00,3,0,233,1,active,True,233,0,False,11,True,,,2020-07-29 22:09:40,2020
201,True,2020-07-29 21:43:01+00:00,5,0,234,0,active,True,234,0,False,10,True,,,2020-07-29 22:09:40,2020
202,True,2020-07-29 21:57:07+00:00,8,0,235,0,active,True,235,0,False,7,True,,,2020-07-29 22:09:40,2020
203,True,2020-07-29 22:00:59+00:00,7,0,236,1,active,True,236,0,False,7,True,,,2020-07-29 22:09:40,2020
204,True,2020-07-29 21:48:23+00:00,0,0,239,0,active,True,239,0,False,15,True,,,2020-07-29 22:09:40,2020
205,True,2020-07-29 17:50:43+00:00,11,0,255,0,active,True,255,0,False,4,True,,,2020-07-29 22:09:40,2020
206,True,2020-07-29 12:20:53+00:00,8,0,258,0,active,True,258,0,False,7,True,,,2020-07-29 22:09:40,2020
207,True,2020-07-29 20:49:08+00:00,0,0,259,1,active,True,259,0,False,14,True,,,2020-07-29 22:09:40,2020
208,True,2020-07-29 20:34:03+00:00,12,0,260,3,active,True,260,0,False,0,True,,,2020-07-29 22:09:40,2020
209,True,2020-07-29 21:53:10+00:00,2,0,271,1,active,True,271,0,False,12,True,,,2020-07-29 22:09:40,2020
210,True,2020-07-29 20:09:56+00:00,12,0,272,2,active,True,272,0,False,5,True,,,2020-07-29 22:09:40,2020
211,True,2020-07-29 22:05:13+00:00,28,0,273,1,active,True,273,0,False,11,True,,,2020-07-29 22:09:40,2020
212,True,2020-07-29 21:58:19+00:00,11,0,279,0,active,True,279,0,False,8,True,,,2020-07-29 22:09:40,2020
213,True,2020-07-29 22:08:51+00:00,3,0,280,0,active,True,280,0,False,16,True,,,2020-07-29 22:09:40,2020
