,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
52,True,1,0,60,True,10,60,2020-08-10 01:56:15+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
53,True,2,0,61,True,7,61,2020-08-10 01:48:20+00:00,10,True,active,0,False,2020-08-10 02:12:35,2020
54,True,2,0,63,True,6,63,2020-08-10 00:52:25+00:00,7,True,active,0,False,2020-08-10 02:12:35,2020
55,True,0,0,64,True,1,64,2020-08-10 02:11:05+00:00,18,True,active,0,False,2020-08-10 02:12:35,2020
56,True,0,0,65,True,3,65,2020-08-10 02:08:36+00:00,20,True,active,0,False,2020-08-10 02:12:35,2020
57,True,0,0,66,True,11,66,2020-08-10 01:48:22+00:00,4,True,active,0,False,2020-08-10 02:12:35,2020
58,True,1,0,67,True,4,67,2020-08-10 02:10:43+00:00,22,True,active,0,True,2020-08-10 02:12:35,2020
59,True,1,0,68,True,11,68,2020-08-10 01:46:22+00:00,7,True,active,0,True,2020-08-10 02:12:35,2020
60,True,0,0,69,True,7,69,2020-08-10 01:37:38+00:00,12,True,active,0,True,2020-08-10 02:12:35,2020
61,True,0,0,70,True,13,70,2020-08-10 01:06:49+00:00,10,True,active,0,False,2020-08-10 02:12:35,2020
62,True,0,0,71,True,22,71,2020-08-10 01:46:31+00:00,1,True,active,0,False,2020-08-10 02:12:35,2020
63,True,0,0,72,True,2,72,2020-08-10 01:29:33+00:00,21,True,active,0,False,2020-08-10 02:12:35,2020
64,True,1,0,73,True,11,73,2020-08-10 02:10:33+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
65,True,1,0,74,True,16,74,2020-08-10 02:04:53+00:00,2,True,active,0,True,2020-08-10 02:12:35,2020
66,True,0,0,75,True,6,75,2020-08-10 01:23:07+00:00,9,True,active,0,False,2020-08-10 02:12:35,2020
67,True,0,0,76,True,6,76,2020-08-10 02:07:30+00:00,11,True,active,0,False,2020-08-10 02:12:35,2020
68,True,1,0,77,True,1,77,2020-08-10 01:35:04+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
69,True,0,0,78,True,1,78,2020-08-10 01:53:41+00:00,18,True,active,0,False,2020-08-10 02:12:35,2020
70,True,3,0,79,True,14,79,2020-08-10 01:53:15+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
