,last_reported,num_ebikes_available,is_returning,legacy_id,station_status,num_docks_available,station_id,num_docks_disabled,num_bikes_available,is_installed,eightd_has_available_keys,num_bikes_disabled,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-01 11:38:08+00:00,0,True,3,active,14,3,0,1,True,False,0,True,,,2020-08-01 11:58:05,2020
1,2020-08-01 11:46:27+00:00,0,True,4,active,19,4,0,0,True,False,0,True,,,2020-08-01 11:58:05,2020
2,2020-08-01 11:36:18+00:00,0,True,5,active,9,5,0,6,True,False,0,True,,,2020-08-01 11:58:05,2020
3,2020-08-01 11:50:10+00:00,0,True,6,active,8,6,0,7,True,False,0,True,,,2020-08-01 11:58:05,2020
4,2020-08-01 08:53:43+00:00,0,True,7,active,11,7,0,4,True,False,0,True,,,2020-08-01 11:58:05,2020
5,2020-08-01 11:17:38+00:00,0,True,8,active,7,8,0,10,True,False,2,True,,,2020-08-01 11:58:05,2020
6,2020-08-01 08:35:35+00:00,0,True,9,active,1,9,0,14,True,False,0,True,,,2020-08-01 11:58:05,2020
7,2020-08-01 08:18:35+00:00,0,True,10,active,7,10,0,3,True,False,1,True,,,2020-08-01 11:58:05,2020
8,2020-08-01 11:55:40+00:00,0,True,11,active,6,11,0,8,True,False,1,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 20, 'valet_revision': 75, 'active': True}",2020-08-01 11:58:05,2020
9,2020-08-01 08:57:11+00:00,0,True,12,active,16,12,0,0,True,True,2,True,,,2020-08-01 11:58:05,2020
10,2020-08-01 11:54:20+00:00,0,True,13,active,7,13,0,12,True,False,0,True,,,2020-08-01 11:58:05,2020
11,2020-08-01 11:15:45+00:00,0,True,14,active,21,14,0,4,True,False,0,True,,,2020-08-01 11:58:05,2020
12,2020-08-01 08:58:49+00:00,0,True,15,active,0,15,0,14,True,False,1,True,,,2020-08-01 11:58:05,2020
13,2020-08-01 11:46:24+00:00,0,True,16,active,2,16,0,15,True,True,2,True,,,2020-08-01 11:58:05,2020
14,2020-08-01 11:29:10+00:00,0,True,17,active,12,17,0,3,True,False,0,True,,,2020-08-01 11:58:05,2020
15,2020-08-01 08:48:35+00:00,0,True,19,active,2,19,0,13,True,False,0,True,,,2020-08-01 11:58:05,2020
16,2020-08-01 11:41:48+00:00,0,True,20,active,20,20,0,3,True,True,0,True,,,2020-08-01 11:58:05,2020
17,2020-08-01 11:26:24+00:00,0,True,21,active,17,21,0,1,True,True,0,True,,,2020-08-01 11:58:05,2020
18,2020-08-01 11:44:57+00:00,0,True,22,active,28,22,0,17,True,True,2,True,,,2020-08-01 11:58:05,2020
19,2020-08-01 11:54:45+00:00,0,True,23,active,16,23,0,5,True,True,0,True,,,2020-08-01 11:58:05,2020
20,2020-08-01 11:40:26+00:00,0,True,24,active,17,24,0,2,True,False,0,True,,,2020-08-01 11:58:05,2020
21,2020-08-01 10:29:03+00:00,0,True,25,active,4,25,0,10,True,False,1,True,,,2020-08-01 11:58:05,2020
22,2020-08-01 10:55:29+00:00,0,True,26,active,9,26,0,6,True,False,0,True,,,2020-08-01 11:58:05,2020
23,2020-08-01 11:44:02+00:00,0,True,27,active,10,27,0,11,True,False,2,True,,,2020-08-01 11:58:05,2020
24,2020-08-01 08:36:58+00:00,0,True,29,active,8,29,0,7,True,False,0,True,,,2020-08-01 11:58:05,2020
25,2020-08-01 10:48:18+00:00,0,True,30,active,0,30,0,14,True,False,1,True,,,2020-08-01 11:58:05,2020
26,2020-08-01 08:57:13+00:00,0,True,31,active,9,31,0,10,True,True,0,True,,,2020-08-01 11:58:05,2020
27,2020-08-01 08:58:03+00:00,0,True,32,active,12,32,0,0,True,False,3,True,,,2020-08-01 11:58:05,2020
28,2020-08-01 08:57:11+00:00,0,True,33,active,9,33,0,18,True,False,0,True,,,2020-08-01 11:58:05,2020
29,2020-08-01 10:35:07+00:00,0,True,35,active,18,35,0,3,True,False,2,True,,,2020-08-01 11:58:05,2020
30,2020-08-01 05:09:09+00:00,0,True,36,active,33,36,0,0,True,True,0,True,,,2020-08-01 11:58:05,2020
31,2020-08-01 08:52:51+00:00,0,True,37,active,13,37,0,2,True,True,0,True,,,2020-08-01 11:58:05,2020
32,2020-08-01 11:38:19+00:00,0,True,39,active,3,39,0,19,True,False,1,True,,,2020-08-01 11:58:05,2020
33,2020-08-01 11:55:48+00:00,0,True,40,active,3,40,0,15,True,False,1,True,,,2020-08-01 11:58:05,2020
34,2020-08-01 11:50:29+00:00,0,True,41,active,2,41,0,24,True,True,1,True,,,2020-08-01 11:58:05,2020
35,2020-08-01 08:33:41+00:00,0,True,42,active,4,42,0,19,True,False,0,True,,,2020-08-01 11:58:05,2020
36,2020-08-01 09:56:39+00:00,0,True,43,active,10,43,0,1,True,True,4,True,,,2020-08-01 11:58:05,2020
37,2020-08-01 08:57:02+00:00,0,True,44,active,23,44,0,0,True,False,0,True,,,2020-08-01 11:58:05,2020
38,2020-08-01 11:49:32+00:00,0,True,46,active,4,46,0,15,True,False,0,True,,,2020-08-01 11:58:05,2020
39,2020-08-01 11:56:54+00:00,0,True,47,active,8,47,0,11,True,True,0,True,,,2020-08-01 11:58:05,2020
40,2020-08-01 08:23:02+00:00,0,True,48,active,15,48,0,4,True,False,0,True,,,2020-08-01 11:58:05,2020
41,2020-08-01 10:20:37+00:00,0,True,49,active,15,49,0,3,True,False,0,True,,,2020-08-01 11:58:05,2020
42,2020-08-01 08:52:58+00:00,0,True,50,active,14,50,0,1,True,True,0,True,,,2020-08-01 11:58:05,2020
43,2020-08-01 11:52:19+00:00,0,True,51,active,5,51,0,9,True,False,1,True,,,2020-08-01 11:58:05,2020
44,2020-08-01 11:40:56+00:00,0,True,52,active,22,52,0,0,True,True,1,True,,,2020-08-01 11:58:05,2020
45,2020-08-01 11:28:14+00:00,0,True,53,active,9,53,0,9,True,False,1,True,,,2020-08-01 11:58:05,2020
46,2020-08-01 11:41:32+00:00,0,True,54,active,12,54,0,3,True,False,0,True,,,2020-08-01 11:58:05,2020
47,2020-08-01 11:17:11+00:00,0,True,55,active,13,55,0,1,True,False,1,True,,,2020-08-01 11:58:05,2020
48,2020-08-01 10:17:22+00:00,0,True,56,active,8,56,0,10,True,True,0,True,,,2020-08-01 11:58:05,2020
49,2020-08-01 11:11:14+00:00,0,True,57,active,3,57,0,11,True,True,0,True,,,2020-08-01 11:58:05,2020
50,2020-08-01 11:19:42+00:00,0,True,58,active,16,58,0,3,True,True,0,True,,,2020-08-01 11:58:05,2020
51,2020-08-01 11:35:46+00:00,0,True,59,active,12,59,0,7,True,False,0,True,,,2020-08-01 11:58:05,2020
