,legacy_id,is_renting,num_bikes_available,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,station_id,last_reported,num_bikes_disabled,is_returning,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
0,3,True,3,active,0,False,0,True,3,2020-08-12 22:17:12+00:00,1,True,11,2020-08-12 22:39:30,2020
1,4,True,13,active,0,False,0,True,4,2020-08-12 22:38:29+00:00,0,True,6,2020-08-12 22:39:30,2020
2,5,True,3,active,0,False,0,True,5,2020-08-12 22:28:55+00:00,0,True,12,2020-08-12 22:39:30,2020
3,6,True,3,active,0,False,0,True,6,2020-08-12 22:38:05+00:00,1,True,11,2020-08-12 22:39:30,2020
4,7,True,13,active,0,False,0,True,7,2020-08-12 22:19:32+00:00,1,True,1,2020-08-12 22:39:30,2020
5,8,True,4,active,0,False,0,True,8,2020-08-12 22:33:59+00:00,0,True,15,2020-08-12 22:39:30,2020
6,9,True,6,active,0,False,0,True,9,2020-08-12 22:28:38+00:00,1,True,8,2020-08-12 22:39:30,2020
7,10,True,1,active,0,False,0,True,10,2020-08-12 22:31:52+00:00,0,True,10,2020-08-12 22:39:30,2020
8,11,True,4,active,0,False,0,True,11,2020-08-12 22:35:36+00:00,1,True,10,2020-08-12 22:39:30,2020
9,12,True,11,active,0,True,0,True,12,2020-08-12 22:34:50+00:00,0,True,7,2020-08-12 22:39:30,2020
10,13,True,0,active,0,False,0,True,13,2020-08-12 22:21:20+00:00,1,True,18,2020-08-12 22:39:30,2020
11,14,True,0,active,0,False,0,True,14,2020-08-12 22:37:17+00:00,0,True,25,2020-08-12 22:39:30,2020
12,15,True,13,active,0,False,0,True,15,2020-08-12 22:34:58+00:00,0,True,2,2020-08-12 22:39:30,2020
13,16,True,9,active,0,True,0,True,16,2020-08-12 22:36:59+00:00,0,True,10,2020-08-12 22:39:30,2020
14,17,True,1,active,0,False,0,True,17,2020-08-12 22:32:16+00:00,1,True,13,2020-08-12 22:39:30,2020
15,19,True,8,active,0,False,0,True,19,2020-08-12 22:33:49+00:00,0,True,7,2020-08-12 22:39:30,2020
16,20,True,18,active,0,True,0,True,20,2020-08-12 22:34:40+00:00,0,True,5,2020-08-12 22:39:30,2020
17,21,True,17,active,0,True,0,True,21,2020-08-12 22:38:21+00:00,0,True,1,2020-08-12 22:39:30,2020
18,22,True,10,active,0,True,0,True,22,2020-08-12 22:37:04+00:00,1,True,36,2020-08-12 22:39:30,2020
19,23,True,7,active,0,False,0,True,23,2020-08-12 22:37:46+00:00,0,True,14,2020-08-12 22:39:30,2020
20,24,True,12,active,0,False,0,True,24,2020-08-12 22:35:19+00:00,1,True,6,2020-08-12 22:39:30,2020
21,25,True,8,active,0,False,0,True,25,2020-08-12 22:36:20+00:00,1,True,6,2020-08-12 22:39:30,2020
22,26,True,10,active,0,False,0,True,26,2020-08-12 22:32:26+00:00,0,True,5,2020-08-12 22:39:30,2020
23,27,True,17,active,0,False,0,True,27,2020-08-12 22:29:42+00:00,1,True,5,2020-08-12 22:39:30,2020
24,29,True,9,active,0,False,0,True,29,2020-08-12 21:40:24+00:00,0,True,6,2020-08-12 22:39:30,2020
25,30,True,2,active,0,False,0,True,30,2020-08-12 22:31:53+00:00,0,True,13,2020-08-12 22:39:30,2020
26,31,True,4,active,0,True,0,True,31,2020-08-12 21:43:33+00:00,0,True,15,2020-08-12 22:39:30,2020
27,32,True,9,active,0,False,0,True,32,2020-08-12 22:35:11+00:00,1,True,5,2020-08-12 22:39:30,2020
28,33,True,5,active,0,False,0,True,33,2020-08-12 22:36:00+00:00,2,True,20,2020-08-12 22:39:30,2020
29,35,True,10,active,0,False,0,True,35,2020-08-12 22:29:55+00:00,0,True,13,2020-08-12 22:39:30,2020
30,36,True,7,active,0,True,0,True,36,2020-08-12 22:22:40+00:00,0,True,26,2020-08-12 22:39:30,2020
31,37,True,1,active,0,True,0,True,37,2020-08-12 22:02:58+00:00,0,True,14,2020-08-12 22:39:30,2020
32,39,True,1,active,0,False,0,True,39,2020-08-12 22:32:20+00:00,2,True,20,2020-08-12 22:39:30,2020
33,40,True,4,active,0,False,0,True,40,2020-08-12 22:34:35+00:00,1,True,14,2020-08-12 22:39:30,2020
34,41,True,6,active,0,True,0,True,41,2020-08-12 22:35:30+00:00,0,True,21,2020-08-12 22:39:30,2020
35,42,True,8,active,0,False,0,True,42,2020-08-12 22:39:16+00:00,0,True,15,2020-08-12 22:39:30,2020
36,43,True,12,active,0,True,0,True,43,2020-08-12 22:22:12+00:00,0,True,3,2020-08-12 22:39:30,2020
37,44,True,8,active,0,False,0,True,44,2020-08-12 21:51:20+00:00,0,True,15,2020-08-12 22:39:30,2020
38,46,True,8,active,0,False,0,True,46,2020-08-12 22:34:23+00:00,2,True,9,2020-08-12 22:39:30,2020
39,47,True,9,active,0,True,0,True,47,2020-08-12 22:36:23+00:00,0,True,10,2020-08-12 22:39:30,2020
40,48,True,1,active,0,False,0,True,48,2020-08-12 22:30:22+00:00,0,True,18,2020-08-12 22:39:30,2020
41,49,True,11,active,0,False,0,True,49,2020-08-12 22:19:40+00:00,0,True,7,2020-08-12 22:39:30,2020
42,50,True,1,active,0,True,0,True,50,2020-08-12 22:31:29+00:00,0,True,14,2020-08-12 22:39:30,2020
43,51,True,7,active,0,False,0,True,51,2020-08-12 22:07:15+00:00,0,True,8,2020-08-12 22:39:30,2020
44,52,True,5,active,0,True,0,True,52,2020-08-12 22:38:57+00:00,1,True,17,2020-08-12 22:39:30,2020
45,53,True,9,active,0,False,0,True,53,2020-08-12 22:37:54+00:00,1,True,9,2020-08-12 22:39:30,2020
46,54,True,6,active,0,False,0,True,54,2020-08-12 22:37:19+00:00,0,True,9,2020-08-12 22:39:30,2020
47,55,True,13,active,0,False,0,True,55,2020-08-12 22:38:04+00:00,0,True,2,2020-08-12 22:39:30,2020
48,56,True,5,active,0,True,0,True,56,2020-08-12 22:16:15+00:00,1,True,12,2020-08-12 22:39:30,2020
49,57,True,10,active,0,True,0,True,57,2020-08-12 22:39:14+00:00,1,True,3,2020-08-12 22:39:30,2020
50,58,True,8,active,0,True,0,True,58,2020-08-12 22:37:39+00:00,1,True,10,2020-08-12 22:39:30,2020
51,59,True,2,active,0,True,0,True,59,2020-08-12 21:36:16+00:00,0,True,17,2020-08-12 22:39:30,2020
