,station_id,is_returning,is_renting,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_installed,last_reported,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,49,True,True,active,0,4,0,14,0,True,2020-07-30 16:21:08+00:00,False,49,,,2020-07-30 16:24:25,2020
42,50,True,True,active,0,13,0,2,0,True,2020-07-30 15:58:22+00:00,True,50,,,2020-07-30 16:24:25,2020
43,51,False,False,active,2,2,0,11,0,True,2020-07-30 15:57:59+00:00,False,51,,,2020-07-30 16:24:25,2020
44,52,True,True,active,0,3,0,20,0,True,2020-07-30 16:19:27+00:00,True,52,,,2020-07-30 16:24:25,2020
45,53,True,True,active,0,7,0,12,0,True,2020-07-30 16:21:49+00:00,False,53,,,2020-07-30 16:24:25,2020
46,54,True,True,active,0,3,0,12,0,True,2020-07-30 16:17:35+00:00,False,54,,,2020-07-30 16:24:25,2020
47,55,True,True,active,0,4,0,11,0,True,2020-07-30 15:40:13+00:00,False,55,,,2020-07-30 16:24:25,2020
48,56,True,True,active,0,11,0,7,0,True,2020-07-30 14:21:15+00:00,True,56,,,2020-07-30 16:24:25,2020
49,57,True,True,active,0,0,0,14,0,True,2020-07-30 16:14:46+00:00,True,57,,,2020-07-30 16:24:25,2020
50,58,True,True,active,0,9,0,10,0,True,2020-07-30 16:22:09+00:00,True,58,,,2020-07-30 16:24:25,2020
51,59,True,True,active,0,7,0,12,0,True,2020-07-30 16:20:25+00:00,True,59,,,2020-07-30 16:24:25,2020
52,60,True,True,active,0,7,0,12,0,True,2020-07-30 16:16:05+00:00,False,60,"{'off_dock_count': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'dock_blocked_count': 0, 'valet_revision': 63, 'active': True, 'off_dock_capacity': 40}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 16:24:25,2020
53,61,True,True,active,0,10,0,9,0,True,2020-07-30 16:21:34+00:00,False,61,,,2020-07-30 16:24:25,2020
54,63,True,True,active,0,14,0,1,0,True,2020-07-30 12:36:54+00:00,False,63,,,2020-07-30 16:24:25,2020
55,64,True,True,active,2,7,0,10,0,True,2020-07-30 15:45:15+00:00,False,64,,,2020-07-30 16:24:25,2020
56,65,True,True,active,0,10,0,13,0,True,2020-07-30 12:59:16+00:00,False,65,,,2020-07-30 16:24:25,2020
57,66,True,True,active,0,0,0,15,0,True,2020-07-30 15:49:29+00:00,False,66,,,2020-07-30 16:24:25,2020
58,67,True,True,active,0,15,0,12,0,True,2020-07-30 16:11:25+00:00,True,67,,,2020-07-30 16:24:25,2020
59,68,True,True,active,1,2,0,16,0,True,2020-07-30 16:24:14+00:00,True,68,,,2020-07-30 16:24:25,2020
60,69,True,True,active,0,3,0,16,0,True,2020-07-30 16:19:56+00:00,True,69,,,2020-07-30 16:24:25,2020
61,70,True,True,active,0,5,0,18,0,True,2020-07-30 15:48:48+00:00,False,70,,,2020-07-30 16:24:25,2020
62,71,True,True,active,0,18,0,5,0,True,2020-07-30 16:18:39+00:00,False,71,,,2020-07-30 16:24:25,2020
63,72,True,True,active,0,8,0,15,0,True,2020-07-30 16:21:22+00:00,False,72,,,2020-07-30 16:24:25,2020
64,73,True,True,active,1,8,0,6,0,True,2020-07-30 16:23:23+00:00,False,73,,,2020-07-30 16:24:25,2020
65,74,True,True,active,1,16,0,2,0,True,2020-07-30 16:21:00+00:00,True,74,,,2020-07-30 16:24:25,2020
66,75,True,True,active,0,11,0,4,0,True,2020-07-30 16:12:11+00:00,False,75,,,2020-07-30 16:24:25,2020
67,76,True,True,active,0,2,0,15,0,True,2020-07-30 16:23:06+00:00,False,76,,,2020-07-30 16:24:25,2020
