,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
50,58,True,0,0,True,2020-08-01 18:01:30+00:00,0,True,58,True,5,14,active,,,2020-08-01 18:05:40,2020
51,59,True,0,0,True,2020-08-01 17:59:52+00:00,0,True,59,True,7,12,active,,,2020-08-01 18:05:40,2020
52,60,True,0,2,False,2020-08-01 18:02:35+00:00,0,True,60,True,0,17,active,,,2020-08-01 18:05:40,2020
53,61,True,0,0,False,2020-08-01 17:59:59+00:00,0,True,61,True,13,6,active,,,2020-08-01 18:05:40,2020
54,63,True,0,0,False,2020-08-01 15:06:39+00:00,0,True,63,True,0,15,active,,,2020-08-01 18:05:40,2020
55,64,True,0,1,False,2020-08-01 17:54:21+00:00,0,True,64,True,8,10,active,,,2020-08-01 18:05:40,2020
56,65,True,0,0,False,2020-08-01 16:26:34+00:00,0,True,65,True,22,1,active,,,2020-08-01 18:05:40,2020
57,66,True,0,1,False,2020-08-01 17:54:25+00:00,0,True,66,True,5,9,active,,,2020-08-01 18:05:40,2020
58,67,True,0,2,True,2020-08-01 18:00:23+00:00,0,True,67,True,7,18,active,,,2020-08-01 18:05:40,2020
59,68,True,0,0,True,2020-08-01 18:00:03+00:00,0,True,68,True,13,6,active,,,2020-08-01 18:05:40,2020
60,69,True,0,0,True,2020-08-01 17:58:56+00:00,0,True,69,True,10,9,active,,,2020-08-01 18:05:40,2020
61,70,True,0,2,False,2020-08-01 18:02:29+00:00,0,True,70,True,8,13,active,,,2020-08-01 18:05:40,2020
62,71,True,0,2,False,2020-08-01 17:54:42+00:00,0,True,71,True,10,11,active,,,2020-08-01 18:05:40,2020
63,72,True,0,0,False,2020-08-01 18:05:02+00:00,0,True,72,True,1,22,active,,,2020-08-01 18:05:40,2020
64,73,True,0,1,False,2020-08-01 17:56:09+00:00,0,True,73,True,14,0,active,,,2020-08-01 18:05:40,2020
65,74,True,0,1,True,2020-08-01 17:56:38+00:00,0,True,74,True,18,0,active,,,2020-08-01 18:05:40,2020
66,75,True,0,0,False,2020-08-01 18:04:13+00:00,0,True,75,True,11,4,active,,,2020-08-01 18:05:40,2020
67,76,True,0,1,False,2020-08-01 17:54:43+00:00,0,True,76,True,2,14,active,,,2020-08-01 18:05:40,2020
