,last_reported,num_bikes_available,station_id,is_installed,is_renting,num_ebikes_available,num_docks_available,legacy_id,eightd_has_available_keys,station_status,is_returning,num_bikes_disabled,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,2020-07-29 00:54:47+00:00,16,56,True,True,0,2,56,True,active,True,0,0,,,2020-07-29 00:57:25,2020
49,2020-07-29 00:40:41+00:00,3,57,True,True,0,11,57,True,active,True,0,0,,,2020-07-29 00:57:25,2020
50,2020-07-29 00:53:17+00:00,7,58,True,True,0,11,58,True,active,True,1,0,,,2020-07-29 00:57:25,2020
51,2020-07-29 00:39:43+00:00,2,59,True,True,0,17,59,True,active,True,0,0,,,2020-07-29 00:57:25,2020
52,2020-07-29 00:56:03+00:00,5,60,True,True,0,14,60,False,active,True,0,0,,,2020-07-29 00:57:25,2020
53,2020-07-29 00:30:31+00:00,5,61,True,True,0,14,61,False,active,True,0,0,,,2020-07-29 00:57:25,2020
54,2020-07-28 21:25:34+00:00,15,63,True,True,0,0,63,False,active,True,0,0,,,2020-07-29 00:57:25,2020
55,2020-07-29 00:50:10+00:00,11,64,True,True,0,8,64,False,active,True,0,0,,,2020-07-29 00:57:25,2020
56,2020-07-28 23:13:35+00:00,10,65,True,True,0,12,65,False,active,True,1,0,,,2020-07-29 00:57:25,2020
57,2020-07-29 00:19:41+00:00,9,66,True,True,0,6,66,False,active,True,0,0,,,2020-07-29 00:57:25,2020
58,2020-07-29 00:53:46+00:00,8,67,True,True,0,17,67,True,active,True,2,0,,,2020-07-29 00:57:25,2020
59,2020-07-29 00:57:04+00:00,2,68,True,True,0,17,68,True,active,True,0,0,,,2020-07-29 00:57:25,2020
60,2020-07-29 00:50:26+00:00,6,69,True,True,0,9,69,True,active,True,4,0,,,2020-07-29 00:57:25,2020
61,2020-07-29 00:56:02+00:00,12,70,True,True,0,11,70,False,active,True,0,0,,,2020-07-29 00:57:25,2020
62,2020-07-29 00:54:15+00:00,16,71,True,True,0,7,71,False,active,True,0,0,,,2020-07-29 00:57:25,2020
63,2020-07-29 00:11:12+00:00,12,72,True,True,0,11,72,False,active,True,0,0,,,2020-07-29 00:57:25,2020
64,2020-07-29 00:38:08+00:00,11,73,True,True,0,4,73,False,active,True,0,0,,,2020-07-29 00:57:25,2020
65,2020-07-29 00:54:42+00:00,8,74,True,True,0,9,74,True,active,True,2,0,,,2020-07-29 00:57:25,2020
66,2020-07-29 00:55:07+00:00,7,75,True,True,0,6,75,False,active,True,2,0,,,2020-07-29 00:57:25,2020
67,2020-07-29 00:49:40+00:00,10,76,True,True,0,7,76,False,active,True,0,0,,,2020-07-29 00:57:25,2020
68,2020-07-29 00:57:04+00:00,6,77,True,True,0,8,77,False,active,True,1,0,,,2020-07-29 00:57:25,2020
69,2020-07-29 00:32:53+00:00,13,78,True,True,0,6,78,False,active,True,0,0,,,2020-07-29 00:57:25,2020
70,2020-07-29 00:54:07+00:00,10,79,True,True,0,9,79,False,active,True,0,0,,,2020-07-29 00:57:25,2020
71,2020-07-29 00:39:58+00:00,3,80,True,True,0,32,80,False,active,True,0,0,,,2020-07-29 00:57:25,2020
72,2020-07-29 00:45:51+00:00,1,81,True,True,0,18,81,False,active,True,0,0,,,2020-07-29 00:57:25,2020
73,2020-07-29 00:11:05+00:00,1,82,True,True,0,14,82,False,active,True,0,0,,,2020-07-29 00:57:25,2020
74,2020-07-29 00:34:31+00:00,3,84,True,True,0,11,84,False,active,True,1,0,,,2020-07-29 00:57:25,2020
75,2020-07-28 23:58:59+00:00,1,85,True,True,0,18,85,False,active,True,0,0,,,2020-07-29 00:57:25,2020
76,2020-07-29 00:55:36+00:00,11,86,True,True,0,8,86,False,active,True,0,0,,,2020-07-29 00:57:25,2020
77,2020-07-29 00:56:23+00:00,15,87,True,True,0,0,87,False,active,True,0,0,,,2020-07-29 00:57:25,2020
78,2020-07-29 00:44:40+00:00,8,89,True,True,0,11,89,False,active,True,0,0,,,2020-07-29 00:57:25,2020
79,2020-07-29 00:48:36+00:00,17,90,True,True,0,2,90,False,active,True,0,0,,,2020-07-29 00:57:25,2020
80,2020-07-29 00:50:48+00:00,3,91,True,True,0,14,91,False,active,True,2,0,,,2020-07-29 00:57:25,2020
81,2020-07-29 00:51:31+00:00,12,92,True,True,0,6,92,False,active,True,1,0,,,2020-07-29 00:57:25,2020
82,2020-07-29 00:49:43+00:00,5,93,True,True,0,9,93,False,active,True,1,0,,,2020-07-29 00:57:25,2020
83,2020-07-29 00:54:29+00:00,9,94,True,True,0,2,94,False,active,True,0,0,,,2020-07-29 00:57:25,2020
