,last_reported,legacy_id,num_bikes_available,station_status,is_installed,eightd_has_available_keys,is_returning,num_docks_disabled,station_id,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,2020-07-31 19:21:19+00:00,49,2,active,True,False,True,0,49,0,True,16,0,,,2020-07-31 19:27:25,2020
42,2020-07-31 19:26:37+00:00,50,8,active,True,True,True,0,50,0,True,7,0,,,2020-07-31 19:27:25,2020
43,2020-07-31 18:57:55+00:00,51,6,active,True,False,True,0,51,1,True,8,0,,,2020-07-31 19:27:25,2020
44,2020-07-31 19:26:01+00:00,52,12,active,True,True,True,0,52,1,True,10,0,,,2020-07-31 19:27:25,2020
45,2020-07-31 19:26:02+00:00,53,0,active,True,False,True,0,53,1,True,18,0,,,2020-07-31 19:27:25,2020
46,2020-07-31 18:55:31+00:00,54,0,active,True,False,True,0,54,0,True,15,0,,,2020-07-31 19:27:25,2020
47,2020-07-31 19:07:42+00:00,55,7,active,True,False,True,0,55,0,True,8,0,,,2020-07-31 19:27:25,2020
48,2020-07-31 19:09:49+00:00,56,7,active,True,True,True,0,56,0,True,11,0,,,2020-07-31 19:27:25,2020
49,2020-07-31 19:10:46+00:00,57,1,active,True,True,True,0,57,0,True,13,0,,,2020-07-31 19:27:25,2020
50,2020-07-31 19:20:47+00:00,58,7,active,True,True,True,0,58,0,True,12,0,,,2020-07-31 19:27:25,2020
51,2020-07-31 19:21:44+00:00,59,7,active,True,True,True,0,59,0,True,12,0,,,2020-07-31 19:27:25,2020
52,2020-07-31 19:27:10+00:00,60,5,active,True,False,True,0,60,0,True,14,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 63, 'off_dock_capacity': 40, 'dock_blocked_count': 0, 'region': 'BOS', 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 19}",2020-07-31 19:27:25,2020
53,2020-07-31 19:18:44+00:00,61,15,active,True,False,True,0,61,0,True,4,0,,,2020-07-31 19:27:25,2020
54,2020-07-31 18:13:46+00:00,63,7,active,True,False,True,0,63,0,True,8,0,,,2020-07-31 19:27:25,2020
55,2020-07-31 18:43:18+00:00,64,17,active,True,False,True,0,64,1,True,1,0,,,2020-07-31 19:27:25,2020
56,2020-07-31 18:31:35+00:00,65,5,active,True,False,True,0,65,0,True,18,0,,,2020-07-31 19:27:25,2020
57,2020-07-31 19:20:30+00:00,66,1,active,True,False,True,0,66,0,True,14,0,,,2020-07-31 19:27:25,2020
58,2020-07-31 19:24:32+00:00,67,3,active,True,True,True,0,67,2,True,22,0,,,2020-07-31 19:27:25,2020
59,2020-07-31 19:26:32+00:00,68,6,active,True,True,True,0,68,0,True,13,0,,,2020-07-31 19:27:25,2020
60,2020-07-31 19:13:44+00:00,69,6,active,True,True,True,0,69,0,True,13,0,,,2020-07-31 19:27:25,2020
61,2020-07-31 19:26:56+00:00,70,20,active,True,False,True,0,70,0,True,3,0,,,2020-07-31 19:27:25,2020
62,2020-07-31 19:03:19+00:00,71,14,active,True,False,True,0,71,0,True,9,0,,,2020-07-31 19:27:25,2020
63,2020-07-31 19:03:04+00:00,72,5,active,True,False,True,0,72,0,True,18,0,,,2020-07-31 19:27:25,2020
64,2020-07-31 18:33:45+00:00,73,14,active,True,False,True,0,73,1,True,0,0,,,2020-07-31 19:27:25,2020
65,2020-07-31 19:16:37+00:00,74,19,active,True,True,True,0,74,0,True,0,0,,,2020-07-31 19:27:25,2020
66,2020-07-31 19:23:56+00:00,75,2,active,True,False,True,0,75,0,True,13,0,,,2020-07-31 19:27:25,2020
67,2020-07-31 19:11:22+00:00,76,1,active,True,False,True,0,76,0,True,16,0,,,2020-07-31 19:27:25,2020
68,2020-07-31 19:05:03+00:00,77,7,active,True,False,True,0,77,0,True,8,0,,,2020-07-31 19:27:25,2020
69,2020-07-31 19:21:09+00:00,78,11,active,True,False,True,0,78,1,True,7,0,,,2020-07-31 19:27:25,2020
70,2020-07-31 19:12:22+00:00,79,2,active,True,False,True,0,79,0,True,17,0,,,2020-07-31 19:27:25,2020
71,2020-07-31 19:13:27+00:00,80,32,active,True,False,True,0,80,1,True,2,0,,,2020-07-31 19:27:25,2020
72,2020-07-31 19:26:40+00:00,81,9,active,True,False,True,0,81,0,True,10,0,,,2020-07-31 19:27:25,2020
73,2020-07-31 19:03:34+00:00,82,0,active,True,False,True,0,82,0,True,15,0,,,2020-07-31 19:27:25,2020
74,2020-07-31 19:27:13+00:00,84,7,active,True,False,True,0,84,0,True,8,0,,,2020-07-31 19:27:25,2020
75,2020-07-31 19:15:03+00:00,85,14,active,True,False,True,0,85,0,True,5,0,,,2020-07-31 19:27:25,2020
76,2020-07-31 19:20:40+00:00,86,2,active,True,False,True,0,86,0,True,17,0,,,2020-07-31 19:27:25,2020
77,2020-07-31 19:21:11+00:00,87,10,active,True,False,True,0,87,0,True,5,0,,,2020-07-31 19:27:25,2020
78,2020-07-31 19:26:09+00:00,89,15,active,True,False,True,0,89,0,True,4,0,,,2020-07-31 19:27:25,2020
79,2020-07-31 19:26:19+00:00,90,2,active,True,False,True,0,90,0,True,17,0,,,2020-07-31 19:27:25,2020
80,2020-07-31 19:19:03+00:00,91,12,active,True,False,True,0,91,0,True,7,0,,,2020-07-31 19:27:25,2020
81,2020-07-31 19:04:38+00:00,92,14,active,True,False,True,0,92,0,True,5,0,,,2020-07-31 19:27:25,2020
82,2020-07-31 18:01:10+00:00,93,11,active,True,False,True,0,93,2,True,2,0,,,2020-07-31 19:27:25,2020
83,2020-07-31 19:15:33+00:00,94,5,active,True,False,True,0,94,0,True,6,0,,,2020-07-31 19:27:25,2020
84,2020-07-31 19:19:01+00:00,95,8,active,True,False,True,0,95,0,True,7,0,,,2020-07-31 19:27:25,2020
85,2020-07-31 19:21:20+00:00,96,5,active,True,False,True,0,96,0,True,14,0,,,2020-07-31 19:27:25,2020
86,2020-07-31 19:12:41+00:00,97,5,active,True,False,True,0,97,0,True,14,0,,,2020-07-31 19:27:25,2020
87,2020-07-31 19:23:28+00:00,98,4,active,True,False,True,0,98,0,True,18,0,,,2020-07-31 19:27:25,2020
88,2020-07-31 19:24:48+00:00,99,6,active,True,False,True,0,99,0,True,9,0,,,2020-07-31 19:27:25,2020
89,2020-07-31 19:25:39+00:00,100,10,active,True,True,True,0,100,1,True,14,0,,,2020-07-31 19:27:25,2020
90,2020-07-31 13:22:41+00:00,101,0,active,True,False,True,0,101,0,True,15,0,,,2020-07-31 19:27:25,2020
91,2020-07-31 17:15:10+00:00,102,0,active,True,False,True,0,102,0,True,15,0,,,2020-07-31 19:27:25,2020
92,2020-07-31 19:26:00+00:00,103,1,active,True,False,True,0,103,1,True,13,0,,,2020-07-31 19:27:25,2020
93,2020-07-31 18:43:49+00:00,104,15,active,True,False,True,0,104,0,True,4,0,,,2020-07-31 19:27:25,2020
94,2020-07-31 18:51:42+00:00,105,0,active,True,False,True,0,105,0,True,19,0,,,2020-07-31 19:27:25,2020
95,2020-07-31 19:20:34+00:00,106,5,active,True,False,True,0,106,1,True,9,0,,,2020-07-31 19:27:25,2020
96,2020-07-31 19:08:43+00:00,107,19,active,True,False,True,0,107,0,True,0,0,,,2020-07-31 19:27:25,2020
97,2020-07-31 19:14:35+00:00,108,13,active,True,False,True,0,108,0,True,4,0,,,2020-07-31 19:27:25,2020
98,2020-07-31 18:31:32+00:00,109,25,active,True,False,True,0,109,2,True,8,0,,,2020-07-31 19:27:25,2020
99,2020-07-31 19:09:11+00:00,110,9,active,True,False,True,0,110,1,True,5,0,,,2020-07-31 19:27:25,2020
100,2020-07-31 19:19:42+00:00,111,3,active,True,False,True,0,111,0,True,12,0,,,2020-07-31 19:27:25,2020
101,2020-07-31 15:49:48+00:00,112,4,active,True,False,True,0,112,0,True,11,0,,,2020-07-31 19:27:25,2020
102,2020-07-31 19:20:32+00:00,113,3,active,True,False,True,0,113,0,True,12,0,,,2020-07-31 19:27:25,2020
103,2020-07-31 19:22:53+00:00,114,4,active,True,False,True,0,114,0,True,11,0,,,2020-07-31 19:27:25,2020
