,legacy_id,station_status,station_id,num_docks_available,num_bikes_available,is_renting,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_ebikes_available,num_bikes_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
45,53,active,53,3,16,True,False,2020-08-12 01:12:31+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
46,54,active,54,12,2,True,False,2020-08-12 00:40:41+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
47,55,active,55,7,8,True,False,2020-08-12 00:41:38+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
48,56,active,56,9,9,True,True,2020-08-11 23:48:10+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
49,57,active,57,1,13,True,True,2020-08-12 00:44:18+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
50,58,active,58,6,11,True,True,2020-08-12 01:02:31+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
51,59,active,59,10,9,True,True,2020-08-12 00:35:44+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
52,60,active,60,11,8,True,False,2020-08-12 01:13:43+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
53,61,active,61,11,8,True,False,2020-08-12 01:05:46+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
54,63,active,63,11,4,True,False,2020-08-11 23:56:13+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
55,64,active,64,10,8,True,False,2020-08-12 00:39:43+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
56,65,active,65,19,3,True,False,2020-08-11 23:49:54+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
57,66,active,66,2,13,True,False,2020-08-12 01:11:20+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
58,67,active,67,23,3,True,True,2020-08-12 01:17:53+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
59,68,active,68,5,12,True,True,2020-08-12 01:02:14+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
60,69,active,69,5,14,True,True,2020-08-12 00:47:37+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
61,70,active,70,9,14,True,False,2020-08-12 01:06:48+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
62,71,active,71,2,21,True,False,2020-08-12 01:04:03+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
63,72,active,72,19,4,True,False,2020-08-12 01:15:28+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
64,73,active,73,8,7,True,False,2020-08-12 01:16:49+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
65,74,active,74,8,10,True,True,2020-08-12 01:08:45+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
66,75,active,75,10,5,True,False,2020-08-12 01:09:00+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
67,76,active,76,7,9,True,False,2020-08-12 01:16:04+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
68,77,active,77,9,6,True,False,2020-08-12 00:00:32+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
69,78,active,78,11,8,True,False,2020-08-12 00:44:03+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
70,79,active,79,4,14,True,False,2020-08-12 00:53:24+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
71,80,active,80,34,1,True,False,2020-08-12 00:58:43+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
72,81,active,81,3,13,True,False,2020-08-12 01:16:52+00:00,True,0,0,3,True,2020-08-12 01:18:05,2020
73,82,active,82,10,5,True,False,2020-08-12 00:56:23+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
74,84,active,84,2,13,True,False,2020-08-12 00:34:39+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
75,85,active,85,18,1,True,False,2020-08-12 01:13:55+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
76,86,active,86,12,7,True,False,2020-08-12 01:09:26+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
77,87,active,87,3,12,True,False,2020-08-12 01:11:09+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
78,89,active,89,11,8,True,False,2020-08-12 01:13:06+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
79,90,active,90,2,17,True,False,2020-08-12 01:13:28+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
80,91,active,91,18,0,True,False,2020-08-12 00:30:25+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
81,92,active,92,9,9,True,False,2020-08-12 00:24:18+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
82,93,active,93,4,9,True,False,2020-08-12 01:16:11+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
