,num_bikes_available,eightd_has_available_keys,is_installed,is_returning,station_id,legacy_id,num_bikes_disabled,station_status,last_reported,is_renting,num_docks_available,num_docks_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,4,False,True,True,3,3,0,active,2020-08-19 00:59:51+00:00,True,11,0,0,2020-08-19 01:32:25,2020
1,18,False,True,True,4,4,0,active,2020-08-19 01:26:07+00:00,True,1,0,0,2020-08-19 01:32:25,2020
2,2,False,True,True,5,5,3,active,2020-08-19 01:29:13+00:00,True,10,0,0,2020-08-19 01:32:25,2020
3,10,False,True,True,6,6,2,active,2020-08-19 01:31:32+00:00,True,3,0,0,2020-08-19 01:32:25,2020
4,6,False,True,True,7,7,1,active,2020-08-19 01:23:39+00:00,True,8,0,0,2020-08-19 01:32:25,2020
5,9,False,True,True,8,8,4,active,2020-08-19 01:06:55+00:00,True,6,0,0,2020-08-19 01:32:25,2020
6,2,False,True,True,9,9,1,active,2020-08-19 01:21:54+00:00,True,12,0,0,2020-08-19 01:32:25,2020
7,0,False,True,True,10,10,0,active,2020-08-19 00:13:39+00:00,True,11,0,0,2020-08-19 01:32:25,2020
8,4,False,True,True,11,11,0,active,2020-08-19 01:12:11+00:00,True,11,0,0,2020-08-19 01:32:25,2020
9,5,False,True,True,12,12,0,active,2020-08-19 01:06:34+00:00,True,13,0,0,2020-08-19 01:32:25,2020
10,1,False,True,True,13,13,1,active,2020-08-19 00:32:09+00:00,True,17,0,0,2020-08-19 01:32:25,2020
11,4,False,True,True,14,14,0,active,2020-08-19 01:18:06+00:00,True,21,0,0,2020-08-19 01:32:25,2020
12,12,False,True,True,15,15,1,active,2020-08-19 01:23:40+00:00,True,2,0,0,2020-08-19 01:32:25,2020
13,10,True,True,True,16,16,1,active,2020-08-19 01:04:37+00:00,True,8,0,0,2020-08-19 01:32:25,2020
14,5,False,True,True,17,17,1,active,2020-08-19 00:55:02+00:00,True,9,0,0,2020-08-19 01:32:25,2020
15,7,False,True,True,19,19,0,active,2020-08-18 23:45:49+00:00,True,8,0,0,2020-08-19 01:32:25,2020
16,10,True,True,True,20,20,0,active,2020-08-19 01:27:35+00:00,True,13,0,0,2020-08-19 01:32:25,2020
17,2,True,True,True,21,21,0,active,2020-08-19 01:06:40+00:00,True,16,0,0,2020-08-19 01:32:25,2020
18,7,True,True,True,22,22,1,active,2020-08-19 01:19:35+00:00,True,39,0,0,2020-08-19 01:32:25,2020
19,4,False,True,True,23,23,0,active,2020-08-19 01:04:04+00:00,True,17,0,0,2020-08-19 01:32:25,2020
20,9,False,True,True,24,24,1,active,2020-08-19 01:22:18+00:00,True,9,0,0,2020-08-19 01:32:25,2020
21,13,False,True,True,25,25,0,active,2020-08-19 00:45:56+00:00,True,2,0,0,2020-08-19 01:32:25,2020
22,13,False,True,True,26,26,0,active,2020-08-19 01:17:31+00:00,True,2,0,0,2020-08-19 01:32:25,2020
23,23,False,True,True,27,27,0,active,2020-08-19 01:22:26+00:00,True,0,0,0,2020-08-19 01:32:25,2020
24,4,False,True,True,29,29,1,active,2020-08-18 23:25:24+00:00,True,10,0,0,2020-08-19 01:32:25,2020
25,2,False,True,True,30,30,0,active,2020-08-19 01:25:36+00:00,True,13,0,0,2020-08-19 01:32:25,2020
26,2,True,True,True,31,31,0,active,2020-08-18 23:03:41+00:00,True,17,0,0,2020-08-19 01:32:25,2020
27,10,False,True,True,32,32,1,active,2020-08-19 01:29:39+00:00,True,4,0,0,2020-08-19 01:32:25,2020
28,23,False,True,True,33,33,1,active,2020-08-19 01:23:39+00:00,True,3,0,0,2020-08-19 01:32:25,2020
29,0,False,True,True,35,35,0,active,2020-08-18 23:23:20+00:00,True,23,0,0,2020-08-19 01:32:25,2020
30,20,True,True,True,36,36,0,active,2020-08-19 00:52:28+00:00,True,13,0,0,2020-08-19 01:32:25,2020
31,13,True,True,True,37,37,0,active,2020-08-19 01:27:52+00:00,True,2,0,0,2020-08-19 01:32:25,2020
32,2,False,True,True,39,39,0,active,2020-08-19 01:08:48+00:00,True,21,0,0,2020-08-19 01:32:25,2020
33,14,False,True,True,40,40,0,active,2020-08-19 01:24:52+00:00,True,5,0,0,2020-08-19 01:32:25,2020
34,25,True,True,True,41,41,1,active,2020-08-19 01:31:27+00:00,True,1,0,0,2020-08-19 01:32:25,2020
35,13,False,True,True,42,42,0,active,2020-08-19 01:22:17+00:00,True,10,0,0,2020-08-19 01:32:25,2020
36,3,True,True,True,43,43,0,active,2020-08-19 00:47:38+00:00,True,12,0,0,2020-08-19 01:32:25,2020
37,14,False,True,True,44,44,0,active,2020-08-19 01:29:41+00:00,True,9,0,0,2020-08-19 01:32:25,2020
38,13,False,True,True,46,46,0,active,2020-08-19 01:31:32+00:00,True,6,0,0,2020-08-19 01:32:25,2020
39,18,True,True,True,47,47,0,active,2020-08-19 01:24:16+00:00,True,1,0,0,2020-08-19 01:32:25,2020
40,4,False,True,True,48,48,0,active,2020-08-19 00:10:07+00:00,True,15,0,0,2020-08-19 01:32:25,2020
41,11,False,True,True,49,49,0,active,2020-08-19 01:29:32+00:00,True,7,0,0,2020-08-19 01:32:25,2020
42,13,True,True,True,50,50,1,active,2020-08-19 00:54:34+00:00,True,1,0,0,2020-08-19 01:32:25,2020
43,4,False,True,True,51,51,0,active,2020-08-19 01:24:54+00:00,True,11,0,0,2020-08-19 01:32:25,2020
44,9,True,True,True,52,52,2,active,2020-08-19 01:31:22+00:00,True,12,0,0,2020-08-19 01:32:25,2020
45,1,False,True,True,53,53,3,active,2020-08-19 01:31:09+00:00,True,15,0,0,2020-08-19 01:32:25,2020
46,9,False,True,True,54,54,1,active,2020-08-19 01:25:37+00:00,True,5,0,0,2020-08-19 01:32:25,2020
47,7,False,True,True,55,55,0,active,2020-08-19 01:12:01+00:00,True,8,0,0,2020-08-19 01:32:25,2020
48,7,False,True,True,56,56,1,active,2020-08-19 01:28:31+00:00,True,10,0,0,2020-08-19 01:32:25,2020
49,10,True,True,True,57,57,0,active,2020-08-19 01:19:52+00:00,True,4,0,0,2020-08-19 01:32:25,2020
50,11,True,True,True,58,58,2,active,2020-08-19 01:13:37+00:00,True,6,0,0,2020-08-19 01:32:25,2020
51,1,True,True,True,59,59,0,active,2020-08-19 00:53:31+00:00,True,18,0,0,2020-08-19 01:32:25,2020
52,8,False,True,True,60,60,2,active,2020-08-19 01:18:46+00:00,True,9,0,0,2020-08-19 01:32:25,2020
53,10,False,True,True,61,61,0,active,2020-08-19 01:24:51+00:00,True,9,0,0,2020-08-19 01:32:25,2020
54,15,False,True,True,63,63,0,active,2020-08-19 00:24:41+00:00,True,0,0,0,2020-08-19 01:32:25,2020
55,7,False,True,True,64,64,1,active,2020-08-19 01:28:09+00:00,True,11,0,0,2020-08-19 01:32:25,2020
56,4,False,True,True,65,65,0,active,2020-08-19 01:19:59+00:00,True,19,0,0,2020-08-19 01:32:25,2020
57,13,False,True,True,66,66,1,active,2020-08-19 01:14:46+00:00,True,1,0,0,2020-08-19 01:32:25,2020
58,2,True,True,True,67,67,0,active,2020-08-19 01:32:10+00:00,True,25,0,0,2020-08-19 01:32:25,2020
59,17,True,True,True,68,68,0,active,2020-08-19 01:27:57+00:00,True,2,0,0,2020-08-19 01:32:25,2020
60,19,True,True,True,69,69,0,active,2020-08-19 01:23:21+00:00,True,0,0,0,2020-08-19 01:32:25,2020
61,7,False,True,True,70,70,0,active,2020-08-19 00:49:23+00:00,True,16,0,0,2020-08-19 01:32:25,2020
62,16,False,True,True,71,71,0,active,2020-08-19 01:21:02+00:00,True,7,0,0,2020-08-19 01:32:25,2020
63,15,False,True,True,72,72,0,active,2020-08-19 00:24:32+00:00,True,8,0,0,2020-08-19 01:32:25,2020
64,7,False,True,True,73,73,3,active,2020-08-19 01:08:26+00:00,True,5,0,0,2020-08-19 01:32:25,2020
65,15,True,True,True,74,74,1,active,2020-08-19 01:31:20+00:00,True,3,0,0,2020-08-19 01:32:25,2020
66,3,False,True,True,75,75,1,active,2020-08-19 01:14:15+00:00,True,11,0,0,2020-08-19 01:32:25,2020
67,17,False,True,True,76,76,0,active,2020-08-19 01:17:12+00:00,True,0,0,0,2020-08-19 01:32:25,2020
68,8,False,True,True,77,77,0,active,2020-08-19 00:25:17+00:00,True,7,0,0,2020-08-19 01:32:25,2020
69,10,False,True,True,78,78,0,active,2020-08-19 00:46:23+00:00,True,9,0,0,2020-08-19 01:32:25,2020
70,16,False,True,True,79,79,2,active,2020-08-19 00:49:17+00:00,True,1,0,0,2020-08-19 01:32:25,2020
71,0,False,True,True,80,80,0,active,2020-08-19 00:45:02+00:00,True,35,0,0,2020-08-19 01:32:25,2020
72,5,False,True,True,81,81,3,active,2020-08-19 01:31:35+00:00,True,11,0,0,2020-08-19 01:32:25,2020
73,9,False,True,True,82,82,1,active,2020-08-19 00:39:06+00:00,True,5,0,0,2020-08-19 01:32:25,2020
74,10,False,True,True,84,84,1,active,2020-08-19 01:24:43+00:00,True,4,0,0,2020-08-19 01:32:25,2020
75,1,False,True,True,85,85,0,active,2020-08-19 00:22:07+00:00,True,18,0,0,2020-08-19 01:32:25,2020
76,10,False,True,True,86,86,0,active,2020-08-19 01:20:38+00:00,True,9,0,0,2020-08-19 01:32:25,2020
77,14,False,True,True,87,87,1,active,2020-08-19 00:34:46+00:00,True,0,0,0,2020-08-19 01:32:25,2020
78,8,False,True,True,89,89,0,active,2020-08-19 00:39:17+00:00,True,11,0,0,2020-08-19 01:32:25,2020
79,10,False,True,True,90,90,0,active,2020-08-19 00:59:57+00:00,True,9,0,0,2020-08-19 01:32:25,2020
80,4,False,True,True,91,91,0,active,2020-08-19 01:01:07+00:00,True,15,0,0,2020-08-19 01:32:25,2020
81,18,False,True,True,92,92,1,active,2020-08-19 00:24:51+00:00,True,0,0,0,2020-08-19 01:32:25,2020
82,11,False,True,True,93,93,2,active,2020-08-19 01:20:38+00:00,True,2,0,0,2020-08-19 01:32:25,2020
83,2,False,True,True,94,94,0,active,2020-08-19 01:22:02+00:00,True,9,0,0,2020-08-19 01:32:25,2020
84,1,False,True,True,95,95,3,active,2020-08-19 01:16:16+00:00,True,11,0,0,2020-08-19 01:32:25,2020
85,6,False,True,True,96,96,0,active,2020-08-19 00:31:33+00:00,True,13,0,0,2020-08-19 01:32:25,2020
86,3,False,True,True,97,97,2,active,2020-08-19 01:26:43+00:00,True,14,0,0,2020-08-19 01:32:25,2020
87,5,False,True,True,98,98,0,active,2020-08-19 01:21:38+00:00,True,18,0,0,2020-08-19 01:32:25,2020
88,9,False,True,True,99,99,2,active,2020-08-19 00:50:22+00:00,True,4,0,0,2020-08-19 01:32:25,2020
89,9,True,True,True,100,100,1,active,2020-08-19 01:31:14+00:00,True,15,0,0,2020-08-19 01:32:25,2020
90,9,False,True,True,101,101,0,active,2020-08-19 01:22:29+00:00,True,6,0,0,2020-08-19 01:32:25,2020
91,6,False,True,True,102,102,0,active,2020-08-19 01:30:32+00:00,True,9,0,0,2020-08-19 01:32:25,2020
92,13,False,True,True,103,103,0,active,2020-08-19 01:22:37+00:00,True,2,0,0,2020-08-19 01:32:25,2020
93,5,False,True,True,104,104,0,active,2020-08-19 00:03:47+00:00,True,14,0,0,2020-08-19 01:32:25,2020
94,11,False,True,True,105,105,0,active,2020-08-19 01:16:57+00:00,True,8,0,0,2020-08-19 01:32:25,2020
95,8,False,True,True,106,106,0,active,2020-08-18 20:26:10+00:00,True,7,0,0,2020-08-19 01:32:25,2020
96,1,False,True,True,107,107,1,active,2020-08-19 01:23:41+00:00,True,17,0,0,2020-08-19 01:32:25,2020
97,5,False,True,True,108,108,0,active,2020-08-19 01:29:15+00:00,True,12,0,0,2020-08-19 01:32:25,2020
98,2,False,True,True,109,109,2,active,2020-08-18 22:32:39+00:00,True,31,0,0,2020-08-19 01:32:25,2020
99,2,False,True,True,110,110,0,active,2020-08-19 00:55:46+00:00,True,13,0,0,2020-08-19 01:32:25,2020
100,2,False,True,True,111,111,0,active,2020-08-18 22:49:12+00:00,True,13,0,0,2020-08-19 01:32:25,2020
101,7,False,True,True,112,112,0,active,2020-08-19 00:39:38+00:00,True,8,0,0,2020-08-19 01:32:25,2020
102,1,False,True,True,113,113,1,active,2020-08-19 01:14:42+00:00,True,13,0,0,2020-08-19 01:32:25,2020
