,num_docks_available,num_bikes_disabled,num_bikes_available,station_status,num_ebikes_available,num_docks_disabled,station_id,is_renting,is_returning,legacy_id,eightd_has_available_keys,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,4,1,13,active,0,0,49,True,True,49,False,2020-08-21 18:22:50+00:00,True,,,2020-08-21 18:45:15,2020
42,5,1,9,active,0,0,50,True,True,50,True,2020-08-21 18:33:20+00:00,True,,,2020-08-21 18:45:15,2020
43,11,1,3,active,0,0,51,True,True,51,False,2020-08-21 18:18:59+00:00,True,,,2020-08-21 18:45:15,2020
44,17,0,6,active,0,0,52,True,True,52,True,2020-08-21 18:31:42+00:00,True,,,2020-08-21 18:45:15,2020
45,16,0,3,active,0,0,53,True,True,53,False,2020-08-21 18:43:52+00:00,True,,,2020-08-21 18:45:15,2020
46,13,0,2,active,0,0,54,True,True,54,False,2020-08-21 18:44:41+00:00,True,,,2020-08-21 18:45:15,2020
47,8,0,7,active,0,0,55,True,True,55,False,2020-08-21 18:37:46+00:00,True,,,2020-08-21 18:45:15,2020
48,13,0,5,active,0,0,56,True,True,56,True,2020-08-21 17:04:36+00:00,True,,,2020-08-21 18:45:15,2020
49,7,1,6,active,0,0,57,True,True,57,True,2020-08-21 18:29:55+00:00,True,,,2020-08-21 18:45:15,2020
50,17,1,1,active,0,0,58,True,True,58,True,2020-08-21 18:28:09+00:00,True,,,2020-08-21 18:45:15,2020
51,18,0,1,active,0,0,59,True,True,59,True,2020-08-21 18:42:10+00:00,True,,,2020-08-21 18:45:15,2020
52,15,1,3,active,0,0,60,True,True,60,False,2020-08-21 18:35:58+00:00,True,"{'off_dock_capacity': 40, 'region': 'BOS', 'valet_revision': 89, 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 31, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-21 18:45:15,2020
53,5,0,14,active,0,0,61,True,True,61,False,2020-08-21 18:17:35+00:00,True,,,2020-08-21 18:45:15,2020
54,14,0,1,active,0,0,63,True,True,63,False,2020-08-21 18:40:37+00:00,True,,,2020-08-21 18:45:15,2020
55,1,0,18,active,0,0,64,True,True,64,False,2020-08-21 18:45:08+00:00,True,,,2020-08-21 18:45:15,2020
56,10,0,13,active,0,0,65,True,True,65,False,2020-08-21 15:42:52+00:00,True,,,2020-08-21 18:45:15,2020
