,num_bikes_available,is_returning,num_ebikes_available,eightd_has_available_keys,last_reported,station_status,is_installed,legacy_id,station_id,num_docks_available,is_renting,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
69,17,True,0,False,2020-08-01 00:35:40+00:00,active,True,78,78,1,True,1,0,,,2020-08-01 00:54:00,2020
70,10,True,0,False,2020-07-31 23:55:52+00:00,active,True,79,79,9,True,0,0,,,2020-08-01 00:54:00,2020
71,0,True,0,False,2020-08-01 00:46:44+00:00,active,True,80,80,33,True,2,0,,,2020-08-01 00:54:00,2020
72,4,True,0,False,2020-08-01 00:52:14+00:00,active,True,81,81,15,True,0,0,,,2020-08-01 00:54:00,2020
73,6,True,0,False,2020-07-31 23:34:40+00:00,active,True,82,82,9,True,0,0,,,2020-08-01 00:54:00,2020
74,4,True,0,False,2020-08-01 00:43:10+00:00,active,True,84,84,11,True,0,0,,,2020-08-01 00:54:00,2020
75,0,True,0,False,2020-08-01 00:16:04+00:00,active,True,85,85,19,True,0,0,,,2020-08-01 00:54:00,2020
76,0,True,0,False,2020-08-01 00:48:21+00:00,active,True,86,86,19,True,0,0,,,2020-08-01 00:54:00,2020
77,9,True,0,False,2020-08-01 00:49:20+00:00,active,True,87,87,5,True,1,0,,,2020-08-01 00:54:00,2020
78,19,True,0,False,2020-08-01 00:29:14+00:00,active,True,89,89,0,True,0,0,,,2020-08-01 00:54:00,2020
79,3,True,0,False,2020-08-01 00:47:32+00:00,active,True,90,90,16,True,0,0,,,2020-08-01 00:54:00,2020
80,2,True,0,False,2020-08-01 00:47:08+00:00,active,True,91,91,17,True,0,0,,,2020-08-01 00:54:00,2020
81,12,True,0,False,2020-07-31 23:47:39+00:00,active,True,92,92,7,True,0,0,,,2020-08-01 00:54:00,2020
82,8,True,0,False,2020-08-01 00:49:04+00:00,active,True,93,93,4,True,3,0,,,2020-08-01 00:54:00,2020
83,11,True,0,False,2020-08-01 00:31:51+00:00,active,True,94,94,0,True,0,0,,,2020-08-01 00:54:00,2020
84,2,True,0,False,2020-08-01 00:12:19+00:00,active,True,95,95,13,True,0,0,,,2020-08-01 00:54:00,2020
85,4,True,0,False,2020-08-01 00:41:05+00:00,active,True,96,96,15,True,0,0,,,2020-08-01 00:54:00,2020
86,8,True,0,False,2020-08-01 00:48:54+00:00,active,True,97,97,10,True,1,0,,,2020-08-01 00:54:00,2020
87,2,True,0,False,2020-08-01 00:32:51+00:00,active,True,98,98,19,True,1,0,,,2020-08-01 00:54:00,2020
88,4,True,0,False,2020-08-01 00:46:27+00:00,active,True,99,99,10,True,1,0,,,2020-08-01 00:54:00,2020
