,is_installed,is_renting,is_returning,num_ebikes_available,num_bikes_available,num_bikes_disabled,station_id,station_status,num_docks_available,legacy_id,eightd_has_available_keys,last_reported,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,True,True,True,0,8,0,49,active,10,49,False,2020-07-29 16:39:12+00:00,0,,,2020-07-29 17:33:50,2020
42,True,True,True,0,12,0,50,active,3,50,True,2020-07-29 17:33:45+00:00,0,,,2020-07-29 17:33:50,2020
43,True,False,False,0,4,3,51,active,8,51,False,2020-07-29 17:00:44+00:00,0,,,2020-07-29 17:33:50,2020
44,True,True,True,0,6,0,52,active,17,52,True,2020-07-29 17:15:11+00:00,0,,,2020-07-29 17:33:50,2020
45,True,True,True,0,1,0,53,active,18,53,False,2020-07-29 17:25:29+00:00,0,,,2020-07-29 17:33:50,2020
46,True,True,True,0,4,0,54,active,11,54,False,2020-07-29 17:27:06+00:00,0,,,2020-07-29 17:33:50,2020
47,True,True,True,0,8,2,55,active,5,55,False,2020-07-29 16:56:41+00:00,0,,,2020-07-29 17:33:50,2020
48,True,True,True,0,13,0,56,active,5,56,True,2020-07-29 17:24:04+00:00,0,,,2020-07-29 17:33:50,2020
49,True,True,True,0,7,0,57,active,7,57,True,2020-07-29 17:30:28+00:00,0,,,2020-07-29 17:33:50,2020
50,True,True,True,0,5,1,58,active,13,58,True,2020-07-29 17:27:02+00:00,0,,,2020-07-29 17:33:50,2020
51,True,True,True,0,2,0,59,active,17,59,True,2020-07-29 17:05:44+00:00,0,,,2020-07-29 17:33:50,2020
52,True,True,True,0,3,0,60,active,16,60,False,2020-07-29 17:31:39+00:00,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 28, 'off_dock_capacity': 40, 'dock_blocked_count': 0, 'valet_revision': 61}",2020-07-29 17:33:50,2020
53,True,True,True,0,9,1,61,active,9,61,False,2020-07-29 17:30:55+00:00,0,,,2020-07-29 17:33:50,2020
54,True,True,True,0,14,0,63,active,1,63,False,2020-07-29 17:13:57+00:00,0,,,2020-07-29 17:33:50,2020
55,True,True,True,0,12,1,64,active,6,64,False,2020-07-29 17:18:37+00:00,0,,,2020-07-29 17:33:50,2020
56,True,True,True,0,7,1,65,active,15,65,False,2020-07-29 15:24:17+00:00,0,,,2020-07-29 17:33:50,2020
57,True,True,True,0,1,0,66,active,14,66,False,2020-07-29 17:12:52+00:00,0,,,2020-07-29 17:33:50,2020
58,True,True,True,0,10,3,67,active,14,67,True,2020-07-29 17:26:39+00:00,0,,,2020-07-29 17:33:50,2020
59,True,True,True,0,6,1,68,active,12,68,True,2020-07-29 17:28:51+00:00,0,,,2020-07-29 17:33:50,2020
60,True,True,True,0,3,1,69,active,15,69,True,2020-07-29 17:25:22+00:00,0,,,2020-07-29 17:33:50,2020
61,True,True,True,0,5,0,70,active,18,70,False,2020-07-29 17:08:18+00:00,0,,,2020-07-29 17:33:50,2020
62,True,True,True,0,16,0,71,active,7,71,False,2020-07-29 16:53:42+00:00,0,,,2020-07-29 17:33:50,2020
63,True,True,True,0,8,0,72,active,15,72,False,2020-07-29 17:11:41+00:00,0,,,2020-07-29 17:33:50,2020
64,True,True,True,0,6,1,73,active,8,73,False,2020-07-29 17:12:38+00:00,0,,,2020-07-29 17:33:50,2020
65,True,True,True,0,9,2,74,active,8,74,True,2020-07-29 17:25:36+00:00,0,,,2020-07-29 17:33:50,2020
66,True,True,True,0,8,0,75,active,7,75,False,2020-07-29 17:08:35+00:00,0,,,2020-07-29 17:33:50,2020
67,True,True,True,0,1,0,76,active,16,76,False,2020-07-29 17:32:14+00:00,0,,,2020-07-29 17:33:50,2020
68,True,True,True,0,4,0,77,active,11,77,False,2020-07-29 17:05:56+00:00,0,,,2020-07-29 17:33:50,2020
69,True,True,True,0,10,0,78,active,9,78,False,2020-07-29 17:07:19+00:00,0,,,2020-07-29 17:33:50,2020
70,True,True,True,0,7,0,79,active,12,79,False,2020-07-29 17:20:08+00:00,0,,,2020-07-29 17:33:50,2020
71,True,True,True,0,26,4,80,active,5,80,False,2020-07-29 17:33:19+00:00,0,,,2020-07-29 17:33:50,2020
72,True,True,True,0,4,0,81,active,15,81,False,2020-07-29 17:28:45+00:00,0,,,2020-07-29 17:33:50,2020
73,True,True,True,0,5,1,82,active,9,82,False,2020-07-29 17:32:11+00:00,0,,,2020-07-29 17:33:50,2020
74,True,True,True,0,11,1,84,active,3,84,False,2020-07-29 17:33:20+00:00,0,,,2020-07-29 17:33:50,2020
75,True,True,True,0,14,1,85,active,4,85,False,2020-07-29 17:05:00+00:00,0,,,2020-07-29 17:33:50,2020
76,True,True,True,0,7,0,86,active,12,86,False,2020-07-29 17:26:33+00:00,0,,,2020-07-29 17:33:50,2020
77,True,True,True,0,4,0,87,active,11,87,False,2020-07-29 17:18:01+00:00,0,,,2020-07-29 17:33:50,2020
78,True,True,True,0,11,0,89,active,8,89,False,2020-07-29 16:49:52+00:00,0,,,2020-07-29 17:33:50,2020
79,True,True,True,0,10,0,90,active,9,90,False,2020-07-29 16:54:23+00:00,0,,,2020-07-29 17:33:50,2020
80,True,True,True,0,15,3,91,active,1,91,False,2020-07-29 17:28:20+00:00,0,,,2020-07-29 17:33:50,2020
81,True,True,True,0,12,1,92,active,6,92,False,2020-07-29 15:59:01+00:00,0,,,2020-07-29 17:33:50,2020
82,True,True,True,0,5,1,93,active,9,93,False,2020-07-29 12:40:38+00:00,0,,,2020-07-29 17:33:50,2020
83,True,True,True,0,8,0,94,active,3,94,False,2020-07-29 17:31:15+00:00,0,,,2020-07-29 17:33:50,2020
84,True,True,True,0,2,1,95,active,12,95,False,2020-07-29 17:27:33+00:00,0,,,2020-07-29 17:33:50,2020
85,True,True,True,0,3,0,96,active,16,96,False,2020-07-29 14:13:20+00:00,0,,,2020-07-29 17:33:50,2020
86,True,True,True,0,7,1,97,active,11,97,False,2020-07-29 17:29:44+00:00,0,,,2020-07-29 17:33:50,2020
87,True,True,True,0,11,0,98,active,11,98,False,2020-07-29 17:04:49+00:00,0,,,2020-07-29 17:33:50,2020
88,True,True,True,0,8,2,99,active,5,99,False,2020-07-29 16:24:16+00:00,0,,,2020-07-29 17:33:50,2020
89,True,True,True,0,16,1,100,active,8,100,True,2020-07-29 17:23:06+00:00,0,,,2020-07-29 17:33:50,2020
90,True,True,True,0,2,0,101,active,13,101,False,2020-07-29 16:29:21+00:00,0,,,2020-07-29 17:33:50,2020
91,True,True,True,0,3,0,102,active,12,102,False,2020-07-29 17:00:55+00:00,0,,,2020-07-29 17:33:50,2020
