,is_renting,last_reported,station_status,legacy_id,num_bikes_disabled,station_id,num_bikes_available,num_ebikes_available,is_installed,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-08-21 15:18:17+00:00,active,3,0,3,12,0,True,0,True,3,False,,,2020-08-21 15:31:00,2020
1,True,2020-08-21 15:18:10+00:00,active,4,0,4,15,0,True,0,True,4,False,,,2020-08-21 15:31:00,2020
2,True,2020-08-21 15:26:08+00:00,active,5,0,5,4,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
3,True,2020-08-21 15:15:11+00:00,active,6,1,6,8,0,True,0,True,6,False,,,2020-08-21 15:31:00,2020
4,True,2020-08-21 15:09:41+00:00,active,7,0,7,2,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
5,True,2020-08-21 15:17:24+00:00,active,8,1,8,6,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
6,True,2020-08-21 15:24:52+00:00,active,9,0,9,11,0,True,0,True,4,False,,,2020-08-21 15:31:00,2020
7,True,2020-08-21 14:59:26+00:00,active,10,0,10,9,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
8,True,2020-08-21 15:24:39+00:00,active,11,0,11,11,0,True,0,True,4,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 100, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'off_dock_count': 71, 'region': 'BOS', 'active': True, 'dock_blocked_count': 0}",2020-08-21 15:31:00,2020
9,True,2020-08-21 15:20:06+00:00,active,12,0,12,15,0,True,0,True,3,True,,,2020-08-21 15:31:00,2020
10,True,2020-08-21 15:21:28+00:00,active,13,0,13,15,0,True,0,True,4,False,,,2020-08-21 15:31:00,2020
11,True,2020-08-21 15:16:50+00:00,active,14,0,14,24,0,True,0,True,1,False,,,2020-08-21 15:31:00,2020
12,True,2020-08-21 15:11:50+00:00,active,15,0,15,13,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
13,True,2020-08-21 15:06:29+00:00,active,16,0,16,0,0,True,0,True,19,True,,,2020-08-21 15:31:00,2020
14,True,2020-08-21 15:19:11+00:00,active,17,0,17,7,0,True,0,True,8,False,,,2020-08-21 15:31:00,2020
15,True,2020-08-21 14:55:58+00:00,active,19,0,19,1,0,True,0,True,14,False,,,2020-08-21 15:31:00,2020
16,True,2020-08-21 15:18:36+00:00,active,20,0,20,21,0,True,0,True,2,True,,,2020-08-21 15:31:00,2020
17,True,2020-08-21 15:05:55+00:00,active,21,1,21,10,0,True,0,True,7,True,,,2020-08-21 15:31:00,2020
18,True,2020-08-21 15:14:00+00:00,active,22,0,22,16,0,True,0,True,31,True,,,2020-08-21 15:31:00,2020
19,True,2020-08-21 15:07:44+00:00,active,23,0,23,11,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
20,True,2020-08-21 14:27:09+00:00,active,24,1,24,3,0,True,0,True,15,False,,,2020-08-21 15:31:00,2020
21,True,2020-08-21 14:22:32+00:00,active,25,0,25,5,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
22,True,2020-08-21 14:29:36+00:00,active,26,0,26,11,0,True,0,True,4,False,,,2020-08-21 15:31:00,2020
23,True,2020-08-21 15:02:48+00:00,active,27,1,27,12,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
24,True,2020-08-21 14:02:38+00:00,active,29,1,29,3,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
25,True,2020-08-21 15:30:19+00:00,active,30,0,30,15,0,True,0,True,0,False,,,2020-08-21 15:31:00,2020
26,True,2020-08-21 14:49:40+00:00,active,31,0,31,3,0,True,0,True,16,True,,,2020-08-21 15:31:00,2020
27,True,2020-08-21 15:26:49+00:00,active,32,0,32,3,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
28,True,2020-08-21 15:28:43+00:00,active,33,0,33,12,0,True,0,True,15,True,,,2020-08-21 15:31:00,2020
29,True,2020-08-21 15:28:52+00:00,active,35,0,35,11,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
30,True,2020-08-21 15:10:09+00:00,active,36,0,36,13,0,True,0,True,20,True,,,2020-08-21 15:31:00,2020
31,True,2020-08-21 13:12:46+00:00,active,37,0,37,7,0,True,0,True,8,True,,,2020-08-21 15:31:00,2020
32,True,2020-08-21 15:26:25+00:00,active,39,1,39,12,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
33,True,2020-08-21 14:58:46+00:00,active,40,0,40,14,0,True,0,True,5,False,,,2020-08-21 15:31:00,2020
34,True,2020-08-21 15:19:03+00:00,active,41,1,41,13,0,True,0,True,13,True,,,2020-08-21 15:31:00,2020
35,True,2020-08-21 15:21:08+00:00,active,42,0,42,3,0,True,0,True,20,False,,,2020-08-21 15:31:00,2020
36,True,2020-08-21 15:10:37+00:00,active,43,0,43,4,0,True,0,True,11,True,,,2020-08-21 15:31:00,2020
37,True,2020-08-21 14:55:10+00:00,active,44,0,44,14,0,True,0,True,9,False,,,2020-08-21 15:31:00,2020
38,True,2020-08-21 15:29:21+00:00,active,46,1,46,2,0,True,0,True,16,False,,,2020-08-21 15:31:00,2020
39,True,2020-08-21 15:30:27+00:00,active,47,0,47,5,0,True,0,True,14,True,,,2020-08-21 15:31:00,2020
40,True,2020-08-21 15:19:05+00:00,active,48,0,48,14,0,True,0,True,5,False,,,2020-08-21 15:31:00,2020
41,True,2020-08-21 15:19:17+00:00,active,49,1,49,15,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
42,True,2020-08-21 15:00:59+00:00,active,50,1,50,12,0,True,0,True,2,True,,,2020-08-21 15:31:00,2020
43,True,2020-08-21 15:03:53+00:00,active,51,0,51,10,0,True,0,True,5,False,,,2020-08-21 15:31:00,2020
44,True,2020-08-21 15:30:01+00:00,active,52,0,52,3,0,True,0,True,20,True,,,2020-08-21 15:31:00,2020
45,True,2020-08-21 15:27:13+00:00,active,53,0,53,4,0,True,0,True,15,False,,,2020-08-21 15:31:00,2020
46,True,2020-08-21 15:30:39+00:00,active,54,0,54,1,0,True,0,True,14,False,,,2020-08-21 15:31:00,2020
47,True,2020-08-21 14:18:17+00:00,active,55,0,55,1,0,True,0,True,14,False,,,2020-08-21 15:31:00,2020
48,True,2020-08-21 12:12:05+00:00,active,56,0,56,4,0,True,0,True,14,True,,,2020-08-21 15:31:00,2020
49,True,2020-08-21 15:26:37+00:00,active,57,0,57,7,0,True,0,True,7,True,,,2020-08-21 15:31:00,2020
50,True,2020-08-21 15:26:23+00:00,active,58,1,58,1,0,True,0,True,17,True,,,2020-08-21 15:31:00,2020
51,True,2020-08-21 15:27:29+00:00,active,59,0,59,8,0,True,0,True,11,True,,,2020-08-21 15:31:00,2020
52,True,2020-08-21 15:25:43+00:00,active,60,0,60,5,0,True,0,True,14,False,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 89, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'off_dock_count': 31, 'region': 'BOS', 'active': True, 'dock_blocked_count': 0}",2020-08-21 15:31:00,2020
53,True,2020-08-21 15:27:44+00:00,active,61,0,61,19,0,True,0,True,0,False,,,2020-08-21 15:31:00,2020
54,True,2020-08-21 14:33:38+00:00,active,63,0,63,1,0,True,0,True,14,False,,,2020-08-21 15:31:00,2020
55,True,2020-08-21 15:21:01+00:00,active,64,0,64,17,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
56,True,2020-08-21 12:30:49+00:00,active,65,0,65,12,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
57,True,2020-08-21 15:29:49+00:00,active,66,0,66,2,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
58,True,2020-08-21 15:28:21+00:00,active,67,0,67,11,0,True,0,True,16,True,,,2020-08-21 15:31:00,2020
59,True,2020-08-21 15:16:57+00:00,active,68,1,68,17,0,True,0,True,1,False,,,2020-08-21 15:31:00,2020
60,True,2020-08-21 15:14:53+00:00,active,69,0,69,5,0,True,0,True,14,True,,,2020-08-21 15:31:00,2020
61,True,2020-08-21 15:04:47+00:00,active,70,0,70,10,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
62,True,2020-08-21 15:26:57+00:00,active,71,2,71,10,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
63,True,2020-08-21 14:16:12+00:00,active,72,0,72,5,0,True,0,True,18,False,,,2020-08-21 15:31:00,2020
64,True,2020-08-21 14:46:58+00:00,active,73,0,73,4,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
65,True,2020-08-21 15:22:53+00:00,active,74,0,74,14,0,True,0,True,5,True,,,2020-08-21 15:31:00,2020
66,True,2020-08-21 14:52:32+00:00,active,75,1,75,2,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
67,True,2020-08-21 15:28:57+00:00,active,76,0,76,3,0,True,0,True,14,False,,,2020-08-21 15:31:00,2020
68,True,2020-08-21 15:10:36+00:00,active,77,0,77,2,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
69,True,2020-08-21 15:19:43+00:00,active,78,0,78,12,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
70,True,2020-08-21 15:26:45+00:00,active,79,1,79,7,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
71,True,2020-08-21 15:29:07+00:00,active,80,0,80,35,0,True,0,True,0,False,,,2020-08-21 15:31:00,2020
72,True,2020-08-21 15:28:36+00:00,active,81,0,81,9,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
73,True,2020-08-21 14:55:17+00:00,active,82,1,82,1,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
74,True,2020-08-21 15:30:33+00:00,active,84,0,84,13,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
75,True,2020-08-21 15:27:50+00:00,active,85,1,85,18,0,True,0,True,0,False,,,2020-08-21 15:31:00,2020
76,True,2020-08-21 15:25:00+00:00,active,86,0,86,2,0,True,0,True,17,False,,,2020-08-21 15:31:00,2020
77,True,2020-08-21 15:30:01+00:00,active,87,0,87,4,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
78,True,2020-08-21 15:21:37+00:00,active,89,0,89,11,0,True,0,True,8,False,,,2020-08-21 15:31:00,2020
79,True,2020-08-21 14:31:52+00:00,active,90,0,90,7,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
80,True,2020-08-21 15:29:16+00:00,active,91,1,91,15,0,True,0,True,3,False,,,2020-08-21 15:31:00,2020
81,True,2020-08-21 15:07:20+00:00,active,92,1,92,9,0,True,0,True,9,False,,,2020-08-21 15:31:00,2020
82,True,2020-08-21 15:18:09+00:00,active,93,0,93,6,0,True,0,True,9,False,,,2020-08-21 15:31:00,2020
83,True,2020-08-21 15:07:01+00:00,active,94,1,94,7,0,True,0,True,3,False,,,2020-08-21 15:31:00,2020
84,True,2020-08-21 15:26:25+00:00,active,95,1,95,3,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
85,True,2020-08-21 14:56:50+00:00,active,96,0,96,7,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
86,True,2020-08-21 15:19:43+00:00,active,97,0,97,12,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
87,True,2020-08-21 15:21:18+00:00,active,98,1,98,2,0,True,0,True,20,False,,,2020-08-21 15:31:00,2020
88,True,2020-08-21 14:29:04+00:00,active,99,0,99,13,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
89,True,2020-08-21 15:27:21+00:00,active,100,1,100,12,0,True,0,True,12,True,,,2020-08-21 15:31:00,2020
90,True,2020-08-21 15:24:57+00:00,active,101,0,101,4,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
91,True,2020-08-21 15:14:11+00:00,active,102,0,102,0,0,True,0,True,15,False,,,2020-08-21 15:31:00,2020
92,True,2020-08-21 15:26:29+00:00,active,103,0,103,8,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
93,True,2020-08-21 14:39:23+00:00,active,104,0,104,12,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
94,True,2020-08-21 15:29:17+00:00,active,105,1,105,6,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
95,True,2020-08-21 14:28:10+00:00,active,106,0,106,6,0,True,0,True,9,False,,,2020-08-21 15:31:00,2020
96,True,2020-08-21 15:17:44+00:00,active,107,0,107,19,0,True,0,True,0,False,,,2020-08-21 15:31:00,2020
97,True,2020-08-21 15:14:47+00:00,active,108,0,108,10,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
98,True,2020-08-21 08:55:46+00:00,active,109,0,109,2,0,True,0,True,33,False,,,2020-08-21 15:31:00,2020
99,True,2020-08-21 14:35:02+00:00,active,110,0,110,2,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
100,True,2020-08-21 14:01:54+00:00,active,111,0,111,7,0,True,0,True,8,False,,,2020-08-21 15:31:00,2020
101,True,2020-08-21 13:56:40+00:00,active,112,0,112,7,0,True,0,True,8,False,,,2020-08-21 15:31:00,2020
102,True,2020-08-21 15:24:57+00:00,active,113,2,113,3,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
103,True,2020-08-21 14:04:57+00:00,active,114,0,114,2,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
104,True,2020-08-21 14:46:11+00:00,active,115,0,115,7,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
105,True,2020-08-21 15:24:19+00:00,active,116,0,116,11,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
106,True,2020-08-21 14:41:22+00:00,active,117,0,117,10,0,True,0,True,9,False,,,2020-08-21 15:31:00,2020
107,True,2020-08-21 15:17:30+00:00,active,118,2,118,17,0,True,0,True,0,False,,,2020-08-21 15:31:00,2020
108,True,2020-08-21 15:12:48+00:00,active,119,0,119,3,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
109,True,2020-08-21 15:10:01+00:00,active,120,0,120,4,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
110,True,2020-08-21 14:00:04+00:00,active,121,1,121,0,0,True,0,True,16,False,,,2020-08-21 15:31:00,2020
111,True,2020-08-21 15:25:26+00:00,active,122,0,122,4,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
112,True,2020-08-21 15:20:54+00:00,active,124,0,124,0,0,True,0,True,15,False,,,2020-08-21 15:31:00,2020
113,True,2020-08-21 15:07:47+00:00,active,125,1,125,0,0,True,0,True,14,False,,,2020-08-21 15:31:00,2020
114,True,2020-08-21 12:51:37+00:00,active,126,1,126,12,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
115,True,2020-08-21 14:54:08+00:00,active,128,0,128,2,0,True,0,True,17,False,,,2020-08-21 15:31:00,2020
116,True,2020-08-21 15:24:49+00:00,active,129,0,129,3,0,True,0,True,16,False,,,2020-08-21 15:31:00,2020
117,True,2020-08-21 15:28:59+00:00,active,130,0,130,8,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
118,True,2020-08-21 15:29:42+00:00,active,131,1,131,7,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
119,True,2020-08-21 13:57:50+00:00,active,133,1,133,4,0,True,0,True,18,False,,,2020-08-21 15:31:00,2020
120,True,2020-08-21 13:36:10+00:00,active,135,0,135,2,0,True,0,True,15,False,,,2020-08-21 15:31:00,2020
121,True,2020-08-21 14:17:50+00:00,active,136,0,136,3,0,True,0,True,16,False,,,2020-08-21 15:31:00,2020
122,True,2020-08-21 04:04:16+00:00,active,137,0,137,8,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
123,True,2020-08-21 14:57:00+00:00,active,138,1,138,5,0,True,0,True,9,False,,,2020-08-21 15:31:00,2020
124,True,2020-08-21 14:37:08+00:00,active,139,0,139,0,0,True,0,True,19,False,,,2020-08-21 15:31:00,2020
125,True,2020-08-21 13:07:47+00:00,active,140,0,140,16,0,True,0,True,1,False,,,2020-08-21 15:31:00,2020
126,True,2020-08-21 15:19:08+00:00,active,141,0,141,3,0,True,0,True,12,False,,,2020-08-21 15:31:00,2020
127,True,2020-08-21 14:39:42+00:00,active,142,0,142,19,0,True,0,True,4,False,,,2020-08-21 15:31:00,2020
128,True,2020-08-21 15:05:52+00:00,active,143,0,143,21,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
129,True,2020-08-21 15:17:49+00:00,active,144,0,144,17,0,True,0,True,2,False,,,2020-08-21 15:31:00,2020
130,True,2020-08-21 15:19:59+00:00,active,145,0,145,12,0,True,0,True,7,False,,,2020-08-21 15:31:00,2020
131,True,2020-08-21 15:17:47+00:00,active,146,0,146,9,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
132,True,2020-08-21 15:28:52+00:00,active,149,0,149,10,0,True,0,True,8,True,,,2020-08-21 15:31:00,2020
133,True,2020-08-21 14:49:21+00:00,active,150,1,150,7,0,True,0,True,11,False,,,2020-08-21 15:31:00,2020
134,True,2020-08-21 14:44:37+00:00,active,151,0,151,11,0,True,0,True,8,False,,,2020-08-21 15:31:00,2020
135,True,2020-08-21 15:17:31+00:00,active,152,0,152,9,0,True,0,True,6,True,,,2020-08-21 15:31:00,2020
136,True,2020-08-21 15:30:32+00:00,active,156,0,156,2,0,True,0,True,13,False,,,2020-08-21 15:31:00,2020
137,True,2020-08-21 14:44:05+00:00,active,157,0,157,5,0,True,0,True,10,False,,,2020-08-21 15:31:00,2020
138,True,2020-08-21 13:15:51+00:00,active,159,1,159,0,0,True,0,True,14,False,,,2020-08-21 15:31:00,2020
139,True,2020-08-21 13:45:28+00:00,active,160,0,160,9,0,True,0,True,5,True,,,2020-08-21 15:31:00,2020
