,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,legacy_id,last_reported,num_bikes_disabled,station_status,is_renting,num_bikes_available,station_id,is_returning,is_installed,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,0,True,0,56,2020-07-29 00:12:01+00:00,0,active,True,15,56,True,True,3,,,2020-07-29 00:26:45,2020
49,0,True,0,57,2020-07-29 00:21:25+00:00,0,active,True,1,57,True,True,13,,,2020-07-29 00:26:45,2020
50,0,True,0,58,2020-07-29 00:26:03+00:00,1,active,True,5,58,True,True,13,,,2020-07-29 00:26:45,2020
51,0,True,0,59,2020-07-29 00:04:55+00:00,0,active,True,1,59,True,True,18,,,2020-07-29 00:26:45,2020
52,0,False,0,60,2020-07-29 00:25:36+00:00,0,active,True,3,60,True,True,16,,,2020-07-29 00:26:45,2020
53,0,False,0,61,2020-07-29 00:23:20+00:00,0,active,True,3,61,True,True,16,,,2020-07-29 00:26:45,2020
54,0,False,0,63,2020-07-28 21:25:34+00:00,0,active,True,15,63,True,True,0,,,2020-07-29 00:26:45,2020
55,0,False,0,64,2020-07-29 00:26:24+00:00,0,active,True,12,64,True,True,7,,,2020-07-29 00:26:45,2020
56,0,False,0,65,2020-07-28 23:13:35+00:00,1,active,True,10,65,True,True,12,,,2020-07-29 00:26:45,2020
57,0,False,0,66,2020-07-29 00:19:41+00:00,0,active,True,9,66,True,True,6,,,2020-07-29 00:26:45,2020
58,0,True,0,67,2020-07-29 00:26:05+00:00,3,active,True,7,67,True,True,17,,,2020-07-29 00:26:45,2020
59,0,True,0,68,2020-07-29 00:23:34+00:00,0,active,True,9,68,True,True,10,,,2020-07-29 00:26:45,2020
60,0,True,0,69,2020-07-29 00:13:15+00:00,4,active,True,7,69,True,True,8,,,2020-07-29 00:26:45,2020
61,0,False,0,70,2020-07-29 00:05:33+00:00,1,active,True,12,70,True,True,10,,,2020-07-29 00:26:45,2020
62,0,False,0,71,2020-07-29 00:12:57+00:00,0,active,True,16,71,True,True,7,,,2020-07-29 00:26:45,2020
63,0,False,0,72,2020-07-29 00:11:12+00:00,0,active,True,12,72,True,True,11,,,2020-07-29 00:26:45,2020
64,0,False,0,73,2020-07-29 00:24:37+00:00,0,active,True,13,73,True,True,2,,,2020-07-29 00:26:45,2020
65,0,True,0,74,2020-07-29 00:07:56+00:00,2,active,True,7,74,True,True,10,,,2020-07-29 00:26:45,2020
66,0,False,0,75,2020-07-28 23:20:32+00:00,2,active,True,3,75,True,True,10,,,2020-07-29 00:26:45,2020
67,0,False,0,76,2020-07-29 00:14:48+00:00,0,active,True,10,76,True,True,7,,,2020-07-29 00:26:45,2020
68,0,False,0,77,2020-07-29 00:05:10+00:00,1,active,True,7,77,True,True,7,,,2020-07-29 00:26:45,2020
69,0,False,0,78,2020-07-29 00:09:01+00:00,0,active,True,15,78,True,True,4,,,2020-07-29 00:26:45,2020
70,0,False,0,79,2020-07-29 00:08:41+00:00,0,active,True,9,79,True,True,10,,,2020-07-29 00:26:45,2020
71,0,False,0,80,2020-07-29 00:21:40+00:00,0,active,True,7,80,True,True,28,,,2020-07-29 00:26:45,2020
72,0,False,0,81,2020-07-29 00:22:09+00:00,0,active,True,0,81,True,True,19,,,2020-07-29 00:26:45,2020
73,0,False,0,82,2020-07-29 00:11:05+00:00,0,active,True,1,82,True,True,14,,,2020-07-29 00:26:45,2020
74,0,False,0,84,2020-07-29 00:00:11+00:00,1,active,True,2,84,True,True,12,,,2020-07-29 00:26:45,2020
75,0,False,0,85,2020-07-28 23:58:59+00:00,0,active,True,1,85,True,True,18,,,2020-07-29 00:26:45,2020
76,0,False,0,86,2020-07-29 00:23:41+00:00,0,active,True,8,86,True,True,11,,,2020-07-29 00:26:45,2020
77,0,False,0,87,2020-07-29 00:02:59+00:00,0,active,True,15,87,True,True,0,,,2020-07-29 00:26:45,2020
78,0,False,0,89,2020-07-29 00:12:52+00:00,2,active,True,7,89,True,True,10,,,2020-07-29 00:26:45,2020
79,0,False,0,90,2020-07-28 23:49:15+00:00,0,active,True,12,90,True,True,7,,,2020-07-29 00:26:45,2020
80,0,False,0,91,2020-07-29 00:10:01+00:00,2,active,True,2,91,True,True,15,,,2020-07-29 00:26:45,2020
81,0,False,0,92,2020-07-29 00:24:46+00:00,1,active,True,11,92,True,True,7,,,2020-07-29 00:26:45,2020
82,0,False,0,93,2020-07-29 00:11:05+00:00,1,active,True,2,93,True,True,12,,,2020-07-29 00:26:45,2020
83,0,False,0,94,2020-07-29 00:19:55+00:00,0,active,True,10,94,True,True,1,,,2020-07-29 00:26:45,2020
84,0,False,0,95,2020-07-29 00:15:49+00:00,2,active,True,4,95,True,True,9,,,2020-07-29 00:26:45,2020
85,0,False,0,96,2020-07-29 00:21:46+00:00,0,active,True,5,96,True,True,14,,,2020-07-29 00:26:45,2020
86,0,False,0,97,2020-07-29 00:26:26+00:00,0,active,True,5,97,True,True,14,,,2020-07-29 00:26:45,2020
87,0,False,0,98,2020-07-29 00:24:47+00:00,0,active,True,21,98,True,True,1,,,2020-07-29 00:26:45,2020
88,0,False,0,99,2020-07-28 23:59:21+00:00,0,active,True,11,99,True,True,4,,,2020-07-29 00:26:45,2020
89,0,True,0,100,2020-07-29 00:19:55+00:00,2,active,True,22,100,True,True,1,,,2020-07-29 00:26:45,2020
90,0,False,0,101,2020-07-28 23:46:49+00:00,0,active,True,1,101,True,True,14,,,2020-07-29 00:26:45,2020
91,0,False,0,102,2020-07-29 00:25:44+00:00,0,active,True,2,102,True,True,13,,,2020-07-29 00:26:45,2020
92,0,False,0,103,2020-07-29 00:02:07+00:00,0,active,True,3,103,True,True,12,,,2020-07-29 00:26:45,2020
93,0,False,0,104,2020-07-29 00:21:10+00:00,1,active,True,10,104,True,True,8,,,2020-07-29 00:26:45,2020
