,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,False,3,0,0,2020-08-11 12:03:23+00:00,active,14,0,1,3,,,2020-08-11 12:04:55,2020
1,True,True,True,False,4,0,0,2020-08-11 11:57:53+00:00,active,13,0,6,4,,,2020-08-11 12:04:55,2020
2,True,True,True,False,5,0,0,2020-08-11 11:59:40+00:00,active,9,0,6,5,,,2020-08-11 12:04:55,2020
3,True,True,True,False,6,0,0,2020-08-11 11:57:08+00:00,active,6,2,7,6,,,2020-08-11 12:04:55,2020
4,True,True,True,False,7,0,0,2020-08-11 11:51:40+00:00,active,6,0,9,7,,,2020-08-11 12:04:55,2020
5,True,True,True,False,8,0,0,2020-08-11 11:33:12+00:00,active,7,1,11,8,,,2020-08-11 12:04:55,2020
6,True,True,True,False,9,0,0,2020-08-11 12:01:45+00:00,active,1,0,14,9,,,2020-08-11 12:04:55,2020
7,True,True,True,False,10,0,0,2020-08-11 11:38:07+00:00,active,4,0,7,10,,,2020-08-11 12:04:55,2020
8,True,True,True,False,11,0,0,2020-08-11 12:04:13+00:00,active,8,1,6,11,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 38, 'active': True, 'valet_revision': 83, 'dock_blocked_count': 0, 'off_dock_capacity': 50}",2020-08-11 12:04:55,2020
9,True,True,True,True,12,0,0,2020-08-11 12:03:45+00:00,active,3,1,14,12,,,2020-08-11 12:04:55,2020
10,True,True,True,False,13,0,0,2020-08-11 12:00:18+00:00,active,6,1,12,13,,,2020-08-11 12:04:55,2020
11,True,True,True,False,14,0,0,2020-08-11 11:51:13+00:00,active,19,0,6,14,,,2020-08-11 12:04:55,2020
12,True,True,True,False,15,0,0,2020-08-11 12:01:56+00:00,active,1,0,14,15,,,2020-08-11 12:04:55,2020
13,True,True,True,True,16,0,0,2020-08-11 11:54:28+00:00,active,10,0,9,16,,,2020-08-11 12:04:55,2020
14,True,True,True,False,17,0,0,2020-08-11 11:31:00+00:00,active,11,1,3,17,,,2020-08-11 12:04:55,2020
15,True,True,True,False,19,0,0,2020-08-11 10:50:32+00:00,active,9,0,6,19,,,2020-08-11 12:04:55,2020
16,True,True,True,True,20,0,0,2020-08-11 12:01:05+00:00,active,18,0,5,20,,,2020-08-11 12:04:55,2020
17,True,True,True,True,21,0,0,2020-08-11 11:54:22+00:00,active,14,0,4,21,,,2020-08-11 12:04:55,2020
18,True,True,True,True,22,0,0,2020-08-11 12:00:49+00:00,active,43,2,2,22,,,2020-08-11 12:04:55,2020
19,True,True,True,False,23,0,0,2020-08-11 11:55:31+00:00,active,19,1,1,23,,,2020-08-11 12:04:55,2020
20,True,True,True,False,24,0,0,2020-08-11 11:49:00+00:00,active,12,1,6,24,,,2020-08-11 12:04:55,2020
21,True,True,True,False,25,0,0,2020-08-11 12:02:08+00:00,active,8,1,6,25,,,2020-08-11 12:04:55,2020
22,True,True,True,False,26,0,0,2020-08-11 11:51:30+00:00,active,4,1,10,26,,,2020-08-11 12:04:55,2020
23,True,True,True,False,27,0,0,2020-08-11 12:04:44+00:00,active,5,1,17,27,,,2020-08-11 12:04:55,2020
24,True,True,True,False,29,0,0,2020-08-11 11:55:53+00:00,active,5,1,9,29,,,2020-08-11 12:04:55,2020
25,True,True,True,False,30,0,0,2020-08-11 11:40:09+00:00,active,6,0,9,30,,,2020-08-11 12:04:55,2020
26,True,True,True,True,31,0,0,2020-08-11 11:26:35+00:00,active,12,1,6,31,,,2020-08-11 12:04:55,2020
27,True,True,True,False,32,0,0,2020-08-11 11:29:11+00:00,active,4,0,11,32,,,2020-08-11 12:04:55,2020
