,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,station_status,station_id,is_renting,last_reported,num_ebikes_available,num_docks_available,is_returning,is_installed,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,49,0,4,False,active,49,True,2020-08-04 18:05:03+00:00,0,13,True,True,1,,,2020-08-04 18:13:25,2020
42,50,0,13,True,active,50,True,2020-08-04 17:52:01+00:00,0,0,True,True,2,,,2020-08-04 18:13:25,2020
43,51,0,8,False,active,51,True,2020-08-04 17:52:08+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
44,52,0,11,True,active,52,True,2020-08-04 17:16:32+00:00,0,11,True,True,1,,,2020-08-04 18:13:25,2020
45,53,0,5,False,active,53,True,2020-08-04 18:12:15+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
46,54,0,13,False,active,54,True,2020-08-04 18:05:43+00:00,0,1,True,True,1,,,2020-08-04 18:13:25,2020
47,55,0,8,False,active,55,True,2020-08-04 18:05:39+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
48,56,0,6,True,active,56,True,2020-08-04 17:21:38+00:00,0,12,True,True,0,,,2020-08-04 18:13:25,2020
49,57,0,2,True,active,57,True,2020-08-04 17:56:03+00:00,0,11,True,True,1,,,2020-08-04 18:13:25,2020
50,58,0,2,True,active,58,True,2020-08-04 17:43:28+00:00,0,17,True,True,0,,,2020-08-04 18:13:25,2020
51,59,0,8,True,active,59,True,2020-08-04 18:09:58+00:00,0,10,True,True,1,,,2020-08-04 18:13:25,2020
52,60,0,7,False,active,60,True,2020-08-04 18:12:59+00:00,0,12,True,True,0,,,2020-08-04 18:13:25,2020
53,61,0,6,False,active,61,True,2020-08-04 18:12:44+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
54,63,0,7,False,active,63,True,2020-08-04 17:06:05+00:00,0,8,True,True,0,,,2020-08-04 18:13:25,2020
55,64,0,14,False,active,64,True,2020-08-04 17:47:50+00:00,0,5,True,True,0,,,2020-08-04 18:13:25,2020
56,65,0,6,False,active,65,True,2020-08-04 16:26:16+00:00,0,16,True,True,1,,,2020-08-04 18:13:25,2020
57,66,0,1,False,active,66,True,2020-08-04 17:47:46+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
58,67,0,11,True,active,67,True,2020-08-04 18:07:22+00:00,0,16,True,True,0,,,2020-08-04 18:13:25,2020
59,68,0,2,True,active,68,True,2020-08-04 18:05:15+00:00,0,16,True,True,1,,,2020-08-04 18:13:25,2020
60,69,0,8,True,active,69,True,2020-08-04 18:10:46+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
61,70,0,20,False,active,70,True,2020-08-04 17:11:26+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
62,71,0,12,False,active,71,True,2020-08-04 17:54:43+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
63,72,0,4,False,active,72,True,2020-08-04 18:12:48+00:00,0,19,True,True,0,,,2020-08-04 18:13:25,2020
64,73,0,2,False,active,73,True,2020-08-04 17:54:05+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
65,74,0,10,True,active,74,True,2020-08-04 18:12:16+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
66,75,0,1,False,active,75,True,2020-08-04 16:37:59+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
67,76,0,7,False,active,76,True,2020-08-04 17:31:21+00:00,0,10,True,True,0,,,2020-08-04 18:13:25,2020
68,77,0,5,False,active,77,True,2020-08-04 17:36:34+00:00,0,10,True,True,0,,,2020-08-04 18:13:25,2020
69,78,0,14,False,active,78,True,2020-08-04 15:55:18+00:00,0,5,True,True,0,,,2020-08-04 18:13:25,2020
70,79,0,3,False,active,79,True,2020-08-04 17:54:29+00:00,0,16,True,True,0,,,2020-08-04 18:13:25,2020
71,80,0,32,False,active,80,True,2020-08-04 18:11:03+00:00,0,2,True,True,1,,,2020-08-04 18:13:25,2020
72,81,0,12,False,active,81,True,2020-08-04 17:58:08+00:00,0,6,True,True,1,,,2020-08-04 18:13:25,2020
73,82,0,10,False,active,82,True,2020-08-04 18:10:40+00:00,0,5,True,True,0,,,2020-08-04 18:13:25,2020
74,84,0,6,False,active,84,True,2020-08-04 17:39:22+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
75,85,0,11,False,active,85,True,2020-08-04 17:46:26+00:00,0,6,True,True,2,,,2020-08-04 18:13:25,2020
76,86,0,13,False,active,86,True,2020-08-04 18:13:13+00:00,0,5,True,True,1,,,2020-08-04 18:13:25,2020
77,87,0,6,False,active,87,True,2020-08-04 18:12:19+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
78,89,0,11,False,active,89,True,2020-08-04 18:05:12+00:00,0,7,True,True,1,,,2020-08-04 18:13:25,2020
79,90,0,5,False,active,90,True,2020-08-04 16:47:54+00:00,0,13,True,True,1,,,2020-08-04 18:13:25,2020
