,station_id,last_reported,num_bikes_available,num_docks_available,is_installed,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,is_returning,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
52,60,2020-08-14 22:08:22+00:00,2,17,True,60,active,0,False,0,0,True,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'active': True, 'valet_revision': 77, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_count': 2}",2020-08-14 22:09:40,2020
53,61,2020-08-14 22:07:57+00:00,11,8,True,61,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
54,63,2020-08-14 21:52:59+00:00,2,13,True,63,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
55,64,2020-08-14 22:06:11+00:00,10,8,True,64,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
56,65,2020-08-14 21:45:11+00:00,9,14,True,65,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
57,66,2020-08-14 22:04:05+00:00,11,4,True,66,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
58,67,2020-08-14 22:09:25+00:00,14,13,True,67,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
59,68,2020-08-14 22:09:31+00:00,13,5,True,68,active,0,True,0,1,True,True,,,2020-08-14 22:09:40,2020
60,69,2020-08-14 22:06:24+00:00,6,13,True,69,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
61,70,2020-08-14 22:05:47+00:00,6,17,True,70,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
62,71,2020-08-14 22:05:37+00:00,4,19,True,71,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
63,72,2020-08-14 22:07:20+00:00,3,20,True,72,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
64,73,2020-08-14 22:08:57+00:00,15,0,True,73,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
65,74,2020-08-14 21:55:22+00:00,19,0,True,74,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
66,75,2020-08-14 21:42:33+00:00,0,15,True,75,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
67,76,2020-08-14 22:04:48+00:00,1,14,True,76,active,0,False,0,2,True,True,,,2020-08-14 22:09:40,2020
68,77,2020-08-14 21:22:41+00:00,1,13,True,77,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
69,78,2020-08-14 22:05:59+00:00,10,9,True,78,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
70,79,2020-08-14 22:06:15+00:00,4,14,True,79,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
71,80,2020-08-14 22:08:39+00:00,19,15,True,80,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
72,81,2020-08-14 22:02:35+00:00,15,3,True,81,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
73,82,2020-08-14 22:00:23+00:00,4,11,True,82,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
74,84,2020-08-14 22:08:07+00:00,10,4,True,84,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
75,85,2020-08-14 21:55:24+00:00,9,10,True,85,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
76,86,2020-08-14 22:01:02+00:00,12,7,True,86,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
77,87,2020-08-14 21:59:01+00:00,0,15,True,87,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
78,89,2020-08-14 22:08:25+00:00,12,7,True,89,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
79,90,2020-08-14 22:04:39+00:00,11,8,True,90,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
80,91,2020-08-14 22:05:51+00:00,3,15,True,91,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
81,92,2020-08-14 20:27:55+00:00,15,4,True,92,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
82,93,2020-08-14 22:07:59+00:00,9,5,True,93,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
83,94,2020-08-14 22:04:15+00:00,5,6,True,94,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
84,95,2020-08-14 22:08:47+00:00,8,5,True,95,active,0,False,0,2,True,True,,,2020-08-14 22:09:40,2020
85,96,2020-08-14 22:08:07+00:00,9,9,True,96,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
86,97,2020-08-14 22:02:31+00:00,1,16,True,97,active,0,False,0,2,True,True,,,2020-08-14 22:09:40,2020
87,98,2020-08-14 22:09:30+00:00,7,15,True,98,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
88,99,2020-08-14 21:34:03+00:00,9,6,True,99,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
89,100,2020-08-14 22:08:44+00:00,21,3,True,100,active,0,True,0,1,True,True,,,2020-08-14 22:09:40,2020
90,101,2020-08-14 21:25:31+00:00,12,3,True,101,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
91,102,2020-08-14 22:03:41+00:00,10,5,True,102,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
92,103,2020-08-14 22:05:54+00:00,4,11,True,103,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
93,104,2020-08-14 21:47:34+00:00,4,15,True,104,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
94,105,2020-08-14 22:06:44+00:00,9,9,True,105,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
95,106,2020-08-14 21:05:26+00:00,1,14,True,106,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
96,107,2020-08-14 22:04:43+00:00,0,18,True,107,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
97,108,2020-08-14 22:02:03+00:00,6,11,True,108,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
98,109,2020-08-14 17:31:49+00:00,2,33,True,109,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
99,110,2020-08-14 21:57:09+00:00,11,3,True,110,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
