,num_docks_available,station_id,station_status,num_bikes_disabled,num_docks_disabled,is_returning,last_reported,eightd_has_available_keys,is_installed,legacy_id,is_renting,num_ebikes_available,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,13,3,active,2,0,True,2020-07-30 03:50:50+00:00,True,True,3,True,0,0,2020-07-30 04:48:00,2020
1,4,4,active,1,0,True,2020-07-30 04:16:25+00:00,False,True,4,True,0,14,2020-07-30 04:48:00,2020
2,1,5,active,1,0,True,2020-07-30 04:01:08+00:00,False,True,5,True,0,13,2020-07-30 04:48:00,2020
3,6,6,active,0,0,True,2020-07-30 04:32:09+00:00,False,True,6,True,0,9,2020-07-30 04:48:00,2020
4,10,7,active,1,0,True,2020-07-30 03:30:54+00:00,False,True,7,True,0,4,2020-07-30 04:48:00,2020
5,0,8,active,2,0,True,2020-07-30 04:44:16+00:00,False,True,8,True,0,17,2020-07-30 04:48:00,2020
6,9,9,active,1,0,True,2020-07-30 03:52:04+00:00,False,True,9,True,0,5,2020-07-30 04:48:00,2020
7,11,10,active,0,0,True,2020-07-30 00:54:27+00:00,False,True,10,True,0,0,2020-07-30 04:48:00,2020
8,6,11,active,0,0,True,2020-07-30 04:44:42+00:00,False,True,11,True,0,9,2020-07-30 04:48:00,2020
9,13,12,active,1,0,True,2020-07-30 04:45:52+00:00,True,True,12,True,0,4,2020-07-30 04:48:00,2020
10,19,13,active,0,0,True,2020-07-30 03:50:07+00:00,False,True,13,True,0,0,2020-07-30 04:48:00,2020
11,25,14,active,0,0,True,2020-07-30 02:20:48+00:00,False,True,14,True,0,0,2020-07-30 04:48:00,2020
12,3,15,active,0,0,True,2020-07-30 03:38:25+00:00,False,True,15,True,0,12,2020-07-30 04:48:00,2020
13,14,16,active,2,0,True,2020-07-30 03:29:56+00:00,True,True,16,True,0,3,2020-07-30 04:48:00,2020
14,4,17,active,0,0,True,2020-07-30 03:28:09+00:00,False,True,17,True,0,11,2020-07-30 04:48:00,2020
15,11,19,active,0,0,True,2020-07-30 03:34:54+00:00,False,True,19,True,0,4,2020-07-30 04:48:00,2020
16,7,20,active,1,0,True,2020-07-30 04:44:21+00:00,False,True,20,True,0,15,2020-07-30 04:48:00,2020
17,7,21,active,0,0,True,2020-07-30 03:54:35+00:00,False,True,21,True,0,11,2020-07-30 04:48:00,2020
18,34,22,active,1,0,True,2020-07-30 04:35:24+00:00,True,True,22,True,0,12,2020-07-30 04:48:00,2020
19,16,23,active,0,0,True,2020-07-30 04:40:45+00:00,True,True,23,True,0,5,2020-07-30 04:48:00,2020
20,4,24,active,0,0,True,2020-07-30 03:54:44+00:00,False,True,24,True,0,15,2020-07-30 04:48:00,2020
21,0,25,active,0,0,True,2020-07-30 03:01:02+00:00,False,True,25,True,0,15,2020-07-30 04:48:00,2020
22,10,26,active,1,0,True,2020-07-30 02:50:30+00:00,False,True,26,True,0,4,2020-07-30 04:48:00,2020
23,20,27,active,2,0,True,2020-07-30 04:23:53+00:00,False,True,27,True,0,1,2020-07-30 04:48:00,2020
24,8,29,active,0,0,True,2020-07-30 00:20:39+00:00,False,True,29,True,0,7,2020-07-30 04:48:00,2020
25,13,30,active,0,0,True,2020-07-30 04:28:13+00:00,False,True,30,True,0,2,2020-07-30 04:48:00,2020
26,11,31,active,1,0,True,2020-07-30 02:41:54+00:00,True,True,31,True,0,7,2020-07-30 04:48:00,2020
27,4,32,active,2,0,True,2020-07-30 04:22:34+00:00,False,True,32,True,0,9,2020-07-30 04:48:00,2020
28,3,33,active,1,0,True,2020-07-30 03:19:13+00:00,False,True,33,True,0,23,2020-07-30 04:48:00,2020
29,19,35,active,0,0,True,2020-07-30 04:04:00+00:00,False,True,35,True,0,4,2020-07-30 04:48:00,2020
30,23,36,active,0,0,True,2020-07-30 04:40:40+00:00,True,True,36,True,0,10,2020-07-30 04:48:00,2020
31,12,37,active,0,0,True,2020-07-29 23:52:20+00:00,True,True,37,True,0,3,2020-07-30 04:48:00,2020
32,7,39,active,1,0,True,2020-07-30 04:32:25+00:00,False,True,39,True,0,15,2020-07-30 04:48:00,2020
33,8,40,active,0,0,True,2020-07-30 04:29:34+00:00,False,True,40,True,0,11,2020-07-30 04:48:00,2020
34,4,41,active,1,0,True,2020-07-30 04:30:46+00:00,True,True,41,True,0,22,2020-07-30 04:48:00,2020
35,1,42,active,1,0,True,2020-07-30 02:13:18+00:00,False,True,42,True,0,21,2020-07-30 04:48:00,2020
36,9,43,active,0,0,True,2020-07-30 02:37:40+00:00,True,True,43,True,0,6,2020-07-30 04:48:00,2020
