,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
52,10,60,9,True,True,active,0,True,False,2020-08-13 04:07:00+00:00,60,0,0,2020-08-13 05:28:25,2020
53,14,61,5,True,True,active,0,True,False,2020-08-13 05:05:34+00:00,61,0,0,2020-08-13 05:28:25,2020
54,11,63,4,True,True,active,0,True,False,2020-08-13 03:22:10+00:00,63,0,0,2020-08-13 05:28:25,2020
55,6,64,13,True,True,active,0,True,False,2020-08-13 04:04:08+00:00,64,0,0,2020-08-13 05:28:25,2020
56,22,65,1,True,True,active,0,True,False,2020-08-13 03:15:46+00:00,65,0,0,2020-08-13 05:28:25,2020
57,0,66,14,True,True,active,0,True,False,2020-08-13 03:15:13+00:00,66,1,0,2020-08-13 05:28:25,2020
58,24,67,3,True,True,active,0,True,True,2020-08-13 05:27:43+00:00,67,0,0,2020-08-13 05:28:25,2020
59,5,68,12,True,True,active,0,True,True,2020-08-13 05:24:10+00:00,68,2,0,2020-08-13 05:28:25,2020
60,7,69,12,True,True,active,0,True,True,2020-08-13 04:33:36+00:00,69,0,0,2020-08-13 05:28:25,2020
61,12,70,9,True,True,active,0,True,False,2020-08-13 04:13:08+00:00,70,2,0,2020-08-13 05:28:25,2020
62,1,71,22,True,True,active,0,True,False,2020-08-13 05:00:53+00:00,71,0,0,2020-08-13 05:28:25,2020
63,21,72,2,True,True,active,0,True,False,2020-08-13 04:00:37+00:00,72,0,0,2020-08-13 05:28:25,2020
64,14,73,0,True,True,active,0,True,False,2020-08-13 03:32:01+00:00,73,1,0,2020-08-13 05:28:25,2020
65,12,74,4,True,True,active,0,True,True,2020-08-13 04:53:55+00:00,74,3,0,2020-08-13 05:28:25,2020
66,3,75,12,True,True,active,0,True,False,2020-08-13 03:39:40+00:00,75,0,0,2020-08-13 05:28:25,2020
67,0,76,17,True,True,active,0,True,False,2020-08-13 04:23:47+00:00,76,0,0,2020-08-13 05:28:25,2020
68,1,77,13,True,True,active,0,True,False,2020-08-13 03:15:35+00:00,77,1,0,2020-08-13 05:28:25,2020
69,3,78,16,True,True,active,0,True,False,2020-08-13 03:48:18+00:00,78,0,0,2020-08-13 05:28:25,2020
70,6,79,11,True,True,active,0,True,False,2020-08-13 03:17:14+00:00,79,2,0,2020-08-13 05:28:25,2020
71,34,80,1,True,True,active,0,True,False,2020-08-13 03:59:19+00:00,80,0,0,2020-08-13 05:28:25,2020
72,5,81,13,True,True,active,0,True,False,2020-08-13 03:22:08+00:00,81,1,0,2020-08-13 05:28:25,2020
73,15,82,0,True,True,active,0,True,False,2020-08-13 03:17:02+00:00,82,0,0,2020-08-13 05:28:25,2020
74,11,84,4,True,True,active,0,True,False,2020-08-13 03:15:23+00:00,84,0,0,2020-08-13 05:28:25,2020
75,19,85,0,True,True,active,0,True,False,2020-08-13 00:20:27+00:00,85,0,0,2020-08-13 05:28:25,2020
76,17,86,2,True,True,active,0,True,False,2020-08-13 04:34:57+00:00,86,0,0,2020-08-13 05:28:25,2020
77,0,87,15,True,True,active,0,True,False,2020-08-13 04:24:36+00:00,87,0,0,2020-08-13 05:28:25,2020
78,7,89,11,True,True,active,0,True,False,2020-08-13 03:50:02+00:00,89,1,0,2020-08-13 05:28:25,2020
79,7,90,12,True,True,active,0,True,False,2020-08-13 04:08:59+00:00,90,0,0,2020-08-13 05:28:25,2020
80,15,91,4,True,True,active,0,True,False,2020-08-13 05:26:44+00:00,91,0,0,2020-08-13 05:28:25,2020
81,10,92,8,True,True,active,0,True,False,2020-08-13 03:16:38+00:00,92,1,0,2020-08-13 05:28:25,2020
82,0,93,13,True,True,active,0,True,False,2020-08-13 03:15:19+00:00,93,2,0,2020-08-13 05:28:25,2020
83,7,94,4,True,True,active,0,True,False,2020-08-13 04:47:36+00:00,94,0,0,2020-08-13 05:28:25,2020
84,9,95,6,True,True,active,0,True,False,2020-08-13 04:38:06+00:00,95,0,0,2020-08-13 05:28:25,2020
85,5,96,14,True,True,active,0,True,False,2020-08-13 04:20:25+00:00,96,0,0,2020-08-13 05:28:25,2020
86,5,97,13,True,True,active,0,True,False,2020-08-13 03:39:34+00:00,97,1,0,2020-08-13 05:28:25,2020
87,13,98,9,True,True,active,0,True,False,2020-08-13 03:15:45+00:00,98,1,0,2020-08-13 05:28:25,2020
88,6,99,8,True,True,active,0,True,False,2020-08-13 03:15:37+00:00,99,1,0,2020-08-13 05:28:25,2020
89,3,100,22,True,True,active,0,True,True,2020-08-13 03:16:30+00:00,100,0,0,2020-08-13 05:28:25,2020
90,2,101,13,True,True,active,0,True,False,2020-08-13 03:17:09+00:00,101,0,0,2020-08-13 05:28:25,2020
91,6,102,9,True,True,active,0,True,False,2020-08-13 03:37:27+00:00,102,0,0,2020-08-13 05:28:25,2020
92,0,103,15,True,True,active,0,True,False,2020-08-13 03:15:49+00:00,103,0,0,2020-08-13 05:28:25,2020
93,12,104,7,True,True,active,0,True,False,2020-08-13 03:39:02+00:00,104,0,0,2020-08-13 05:28:25,2020
94,0,105,18,True,True,active,0,True,False,2020-08-13 03:16:18+00:00,105,1,0,2020-08-13 05:28:25,2020
95,12,106,2,True,True,active,0,True,False,2020-08-13 04:03:18+00:00,106,1,0,2020-08-13 05:28:25,2020
