,station_id,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_renting,num_bikes_disabled,is_installed,station_status,last_reported,num_bikes_available,legacy_id,is_returning,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
166,192,12,False,0,True,0,True,active,2020-08-06 03:22:07+00:00,7,192,True,0,,,2020-08-06 09:36:55,2020
167,193,12,True,0,True,1,True,active,2020-08-06 08:33:28+00:00,2,193,True,0,,,2020-08-06 09:36:55,2020
168,194,12,False,0,True,0,True,active,2020-08-06 08:53:34+00:00,7,194,True,0,,,2020-08-06 09:36:55,2020
169,195,10,False,0,True,1,True,active,2020-08-06 09:36:33+00:00,12,195,True,0,,,2020-08-06 09:36:55,2020
170,196,9,True,0,True,0,True,active,2020-08-06 08:51:41+00:00,1,196,True,0,,,2020-08-06 09:36:55,2020
171,197,13,False,0,True,0,True,active,2020-08-06 08:53:33+00:00,2,197,True,0,,,2020-08-06 09:36:55,2020
172,199,11,False,0,True,0,True,active,2020-08-06 09:32:24+00:00,4,199,True,0,,,2020-08-06 09:36:55,2020
173,200,4,False,0,True,1,True,active,2020-08-06 08:38:21+00:00,14,200,True,0,,,2020-08-06 09:36:55,2020
174,201,10,False,0,True,0,True,active,2020-08-06 08:23:22+00:00,5,201,True,0,,,2020-08-06 09:36:55,2020
175,202,7,False,0,True,0,True,active,2020-08-06 08:57:28+00:00,8,202,True,0,,,2020-08-06 09:36:55,2020
176,203,10,False,0,True,0,True,active,2020-08-06 08:26:46+00:00,5,203,True,0,,,2020-08-06 09:36:55,2020
177,204,6,False,0,True,1,True,active,2020-08-06 08:42:29+00:00,8,204,True,0,,,2020-08-06 09:36:55,2020
178,205,7,False,0,True,0,True,active,2020-08-06 08:56:51+00:00,8,205,True,0,,,2020-08-06 09:36:55,2020
179,206,23,False,0,False,0,True,active,2020-08-06 01:50:08+00:00,0,206,False,0,,,2020-08-06 09:36:55,2020
180,208,3,True,0,True,0,True,active,2020-08-06 08:27:51+00:00,12,208,True,0,,,2020-08-06 09:36:55,2020
181,209,10,False,0,True,0,True,active,2020-08-06 08:36:42+00:00,5,209,True,0,,,2020-08-06 09:36:55,2020
182,210,14,False,0,True,0,True,active,2020-08-06 08:01:56+00:00,1,210,True,0,,,2020-08-06 09:36:55,2020
183,211,9,False,0,True,0,True,active,2020-08-06 08:32:03+00:00,10,211,True,0,,,2020-08-06 09:36:55,2020
184,212,14,False,0,True,0,True,active,2020-08-06 08:42:19+00:00,19,212,True,0,,,2020-08-06 09:36:55,2020
185,213,8,True,0,True,0,True,active,2020-08-06 08:27:59+00:00,8,213,True,0,,,2020-08-06 09:36:55,2020
186,214,0,False,0,True,0,True,active,2020-08-06 02:54:24+00:00,15,214,True,0,,,2020-08-06 09:36:55,2020
187,215,6,False,0,True,1,True,active,2020-08-06 08:42:08+00:00,8,215,True,0,,,2020-08-06 09:36:55,2020
188,216,2,False,0,True,0,True,active,2020-08-06 08:37:47+00:00,17,216,True,0,,,2020-08-06 09:36:55,2020
189,217,0,False,0,True,0,True,active,2020-08-06 08:22:55+00:00,19,217,True,0,,,2020-08-06 09:36:55,2020
190,218,9,False,0,True,1,True,active,2020-08-06 08:14:56+00:00,5,218,True,0,,,2020-08-06 09:36:55,2020
