,eightd_has_available_keys,num_docks_available,num_bikes_available,num_docks_disabled,station_id,station_status,legacy_id,last_reported,num_bikes_disabled,is_installed,is_renting,num_ebikes_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
50,True,8,10,0,58,active,58,2020-08-06 22:56:40+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
51,True,11,6,0,59,active,59,2020-08-06 23:02:42+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
52,False,1,18,0,60,active,60,2020-08-06 23:03:22+00:00,0,True,True,0,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 3, 'off_dock_capacity': 40, 'active': True, 'valet_revision': 69, 'dock_blocked_count': 0}",2020-08-06 23:04:15,2020
53,False,1,18,0,61,active,61,2020-08-06 23:03:43+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
54,False,9,6,0,63,active,63,2020-08-06 22:00:11+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
55,False,13,6,0,64,active,64,2020-08-06 23:03:12+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
56,False,19,3,0,65,active,65,2020-08-06 22:32:24+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
57,False,10,5,0,66,active,66,2020-08-06 22:58:46+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
58,True,15,12,0,67,active,67,2020-08-06 23:03:47+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
59,True,7,12,0,68,active,68,2020-08-06 23:01:31+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
60,True,11,8,0,69,active,69,2020-08-06 22:58:15+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
61,False,2,21,0,70,active,70,2020-08-06 22:56:00+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
62,False,2,21,0,71,active,71,2020-08-06 22:20:53+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
63,False,6,17,0,72,active,72,2020-08-06 22:42:42+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
64,False,10,4,0,73,active,73,2020-08-06 23:03:09+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
65,True,3,16,0,74,active,74,2020-08-06 23:01:18+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
66,False,4,11,0,75,active,75,2020-08-06 23:02:27+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
67,False,10,7,0,76,active,76,2020-08-06 23:00:11+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
68,False,12,3,0,77,active,77,2020-08-06 20:33:56+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
69,False,4,14,0,78,active,78,2020-08-06 22:54:30+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
70,False,9,10,0,79,active,79,2020-08-06 22:58:29+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
