,num_ebikes_available,last_reported,station_id,num_bikes_disabled,is_installed,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_status,num_docks_disabled,legacy_id,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
56,0,2020-08-06 08:05:06+00:00,65,1,True,True,True,7,False,active,0,65,15,,,2020-08-06 08:46:00,2020
57,0,2020-08-06 07:38:01+00:00,66,0,True,True,True,14,False,active,0,66,1,,,2020-08-06 08:46:00,2020
58,0,2020-08-06 08:38:28+00:00,67,0,True,True,True,1,True,active,0,67,26,,,2020-08-06 08:46:00,2020
59,0,2020-08-06 08:43:24+00:00,68,1,True,True,True,14,True,active,0,68,4,,,2020-08-06 08:46:00,2020
60,0,2020-08-06 08:33:25+00:00,69,1,True,True,True,6,True,active,0,69,12,,,2020-08-06 08:46:00,2020
61,0,2020-08-06 08:32:48+00:00,70,0,True,True,True,15,False,active,0,70,8,,,2020-08-06 08:46:00,2020
62,0,2020-08-06 02:09:35+00:00,71,0,True,True,True,22,False,active,0,71,1,,,2020-08-06 08:46:00,2020
63,0,2020-08-06 08:43:23+00:00,72,0,True,True,True,1,False,active,0,72,22,,,2020-08-06 08:46:00,2020
64,0,2020-08-06 08:42:11+00:00,73,2,True,True,True,1,False,active,0,73,12,,,2020-08-06 08:46:00,2020
65,0,2020-08-06 08:37:45+00:00,74,0,True,True,True,7,True,active,0,74,12,,,2020-08-06 08:46:00,2020
66,0,2020-08-06 03:09:24+00:00,75,0,True,True,True,7,False,active,0,75,8,,,2020-08-06 08:46:00,2020
67,0,2020-08-06 08:02:12+00:00,76,0,True,True,True,16,False,active,0,76,1,,,2020-08-06 08:46:00,2020
68,0,2020-08-06 04:35:48+00:00,77,0,True,True,True,12,False,active,0,77,3,,,2020-08-06 08:46:00,2020
69,0,2020-08-06 08:42:10+00:00,78,1,True,True,True,17,False,active,0,78,1,,,2020-08-06 08:46:00,2020
70,0,2020-08-06 07:39:23+00:00,79,0,True,True,True,9,False,active,0,79,10,,,2020-08-06 08:46:00,2020
71,0,2020-08-06 03:29:44+00:00,80,0,True,True,True,0,False,active,0,80,35,,,2020-08-06 08:46:00,2020
72,0,2020-08-06 08:32:22+00:00,81,1,True,True,True,13,False,active,0,81,5,,,2020-08-06 08:46:00,2020
73,0,2020-08-06 08:17:54+00:00,82,0,True,True,True,7,False,active,0,82,8,,,2020-08-06 08:46:00,2020
74,0,2020-08-06 08:03:25+00:00,84,0,True,True,True,7,False,active,0,84,8,,,2020-08-06 08:46:00,2020
75,0,2020-08-06 08:42:05+00:00,85,0,True,True,True,1,False,active,0,85,18,,,2020-08-06 08:46:00,2020
76,0,2020-08-06 03:50:22+00:00,86,1,True,True,True,10,False,active,0,86,8,,,2020-08-06 08:46:00,2020
77,0,2020-08-06 08:37:10+00:00,87,0,True,True,True,14,False,active,0,87,1,,,2020-08-06 08:46:00,2020
78,0,2020-08-06 08:08:14+00:00,89,0,True,True,True,15,False,active,0,89,4,,,2020-08-06 08:46:00,2020
79,0,2020-08-06 08:08:20+00:00,90,0,True,True,True,16,False,active,0,90,3,,,2020-08-06 08:46:00,2020
80,0,2020-08-06 08:07:36+00:00,91,1,True,True,True,4,False,active,0,91,14,,,2020-08-06 08:46:00,2020
81,0,2020-08-06 00:04:06+00:00,92,1,True,True,True,10,False,active,0,92,8,,,2020-08-06 08:46:00,2020
