,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,6,True,active,0,12,56,0,2020-08-20 22:57:01+00:00,56,True,True,0,False,,,2020-08-20 23:03:00,2020
49,2,True,active,0,12,57,0,2020-08-20 22:59:04+00:00,57,True,True,0,True,,,2020-08-20 23:03:00,2020
50,10,True,active,0,8,58,1,2020-08-20 23:00:40+00:00,58,True,True,0,True,,,2020-08-20 23:03:00,2020
51,9,True,active,0,10,59,0,2020-08-20 22:51:32+00:00,59,True,True,0,True,,,2020-08-20 23:03:00,2020
52,5,True,active,0,14,60,0,2020-08-20 23:02:00+00:00,60,True,True,0,False,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'valet_revision': 87, 'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'off_dock_count': 14}",2020-08-20 23:03:00,2020
53,16,True,active,0,3,61,0,2020-08-20 23:02:52+00:00,61,True,True,0,False,,,2020-08-20 23:03:00,2020
54,2,True,active,0,13,63,0,2020-08-20 23:00:30+00:00,63,True,True,0,False,,,2020-08-20 23:03:00,2020
55,13,True,active,0,6,64,0,2020-08-20 22:46:28+00:00,64,True,True,0,False,,,2020-08-20 23:03:00,2020
56,3,True,active,0,19,65,1,2020-08-20 22:56:17+00:00,65,True,True,0,False,,,2020-08-20 23:03:00,2020
57,4,True,active,0,11,66,0,2020-08-20 22:55:53+00:00,66,True,True,0,False,,,2020-08-20 23:03:00,2020
58,18,True,active,0,6,67,3,2020-08-20 23:02:38+00:00,67,True,True,0,True,,,2020-08-20 23:03:00,2020
59,16,True,active,0,3,68,0,2020-08-20 22:59:27+00:00,68,True,True,0,True,,,2020-08-20 23:03:00,2020
