,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,True,4,True,2020-08-04 20:49:46+00:00,0,11,3,3,0,active,True,0,,,2020-08-04 20:56:45,2020
1,True,True,14,True,2020-08-04 20:50:06+00:00,1,4,4,4,0,active,False,0,,,2020-08-04 20:56:45,2020
2,True,True,9,True,2020-08-04 20:54:26+00:00,0,6,5,5,0,active,False,0,,,2020-08-04 20:56:45,2020
3,True,True,3,True,2020-08-04 20:50:49+00:00,1,11,6,6,0,active,False,0,,,2020-08-04 20:56:45,2020
4,True,True,7,True,2020-08-04 20:53:50+00:00,1,7,7,7,0,active,False,0,,,2020-08-04 20:56:45,2020
5,True,True,14,True,2020-08-04 20:42:47+00:00,0,5,8,8,0,active,False,0,,,2020-08-04 20:56:45,2020
6,True,True,7,True,2020-08-04 20:56:32+00:00,0,8,9,9,0,active,False,0,,,2020-08-04 20:56:45,2020
7,True,True,3,True,2020-08-04 20:40:31+00:00,2,6,10,10,0,active,False,0,,,2020-08-04 20:56:45,2020
8,True,True,5,True,2020-08-04 20:55:22+00:00,0,10,11,11,0,active,False,0,"{'region': 'BOS', 'valet_revision': 77, 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 21, 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-04 20:56:45,2020
9,True,True,6,True,2020-08-04 20:53:59+00:00,0,12,12,12,0,active,True,0,,,2020-08-04 20:56:45,2020
10,True,True,19,True,2020-08-04 20:25:48+00:00,0,0,13,13,0,active,False,0,,,2020-08-04 20:56:45,2020
11,True,True,10,True,2020-08-04 20:44:53+00:00,5,10,14,14,0,active,False,0,,,2020-08-04 20:56:45,2020
12,True,True,4,True,2020-08-04 20:46:56+00:00,0,11,15,15,0,active,False,0,,,2020-08-04 20:56:45,2020
13,True,True,10,True,2020-08-04 20:44:25+00:00,0,9,16,16,0,active,True,0,,,2020-08-04 20:56:45,2020
14,True,True,10,True,2020-08-04 19:54:12+00:00,2,3,17,17,0,active,False,0,,,2020-08-04 20:56:45,2020
15,True,True,4,True,2020-08-04 19:52:49+00:00,2,9,19,19,0,active,False,0,,,2020-08-04 20:56:45,2020
16,True,True,6,True,2020-08-04 20:52:06+00:00,1,16,20,20,0,active,True,0,,,2020-08-04 20:56:45,2020
17,True,True,18,True,2020-08-04 18:20:12+00:00,0,0,21,21,0,active,True,0,,,2020-08-04 20:56:45,2020
18,True,True,41,True,2020-08-04 20:52:46+00:00,1,5,22,22,0,active,True,0,,,2020-08-04 20:56:45,2020
19,True,True,18,True,2020-08-04 20:49:52+00:00,2,1,23,23,0,active,True,0,,,2020-08-04 20:56:45,2020
20,True,True,12,True,2020-08-04 19:53:18+00:00,1,6,24,24,0,active,False,0,,,2020-08-04 20:56:45,2020
21,True,True,12,True,2020-08-04 20:33:33+00:00,0,3,25,25,0,active,False,0,,,2020-08-04 20:56:45,2020
22,True,True,5,True,2020-08-04 20:47:53+00:00,1,9,26,26,0,active,False,0,,,2020-08-04 20:56:45,2020
23,True,True,11,True,2020-08-04 20:55:58+00:00,0,12,27,27,0,active,False,0,,,2020-08-04 20:56:45,2020
24,True,True,5,True,2020-08-04 20:06:14+00:00,0,10,29,29,0,active,False,0,,,2020-08-04 20:56:45,2020
25,True,True,3,True,2020-08-04 20:52:08+00:00,0,12,30,30,0,active,False,0,,,2020-08-04 20:56:45,2020
26,True,True,16,True,2020-08-04 20:19:18+00:00,0,3,31,31,0,active,True,0,,,2020-08-04 20:56:45,2020
27,True,True,9,True,2020-08-04 20:53:41+00:00,1,5,32,32,0,active,False,0,,,2020-08-04 20:56:45,2020
28,True,True,20,True,2020-08-04 20:09:21+00:00,1,6,33,33,0,active,False,0,,,2020-08-04 20:56:45,2020
29,True,True,14,True,2020-08-04 20:29:03+00:00,0,9,35,35,0,active,False,0,,,2020-08-04 20:56:45,2020
