,num_docks_disabled,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_id,is_installed,station_status,last_reported,num_bikes_disabled,num_docks_available,legacy_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,True,14,False,3,True,active,2020-08-20 18:08:26+00:00,0,1,3,0,,,2020-08-20 18:47:20,2020
1,0,True,True,5,False,4,True,active,2020-08-20 18:28:43+00:00,0,14,4,0,,,2020-08-20 18:47:20,2020
2,0,True,True,0,False,5,True,active,2020-08-20 18:46:55+00:00,0,15,5,0,,,2020-08-20 18:47:20,2020
3,0,True,True,11,False,6,True,active,2020-08-20 18:39:29+00:00,1,3,6,0,,,2020-08-20 18:47:20,2020
4,0,True,True,7,False,7,True,active,2020-08-20 18:30:09+00:00,0,8,7,0,,,2020-08-20 18:47:20,2020
5,0,True,True,9,False,8,True,active,2020-08-20 18:29:41+00:00,1,9,8,0,,,2020-08-20 18:47:20,2020
6,0,True,True,1,False,9,True,active,2020-08-20 18:40:36+00:00,0,14,9,0,,,2020-08-20 18:47:20,2020
7,0,True,True,7,False,10,True,active,2020-08-20 18:44:59+00:00,0,4,10,0,,,2020-08-20 18:47:20,2020
8,0,True,True,11,False,11,True,active,2020-08-20 18:40:05+00:00,0,4,11,0,,,2020-08-20 18:47:20,2020
9,0,True,True,17,True,12,True,active,2020-08-20 18:38:42+00:00,1,0,12,0,,,2020-08-20 18:47:20,2020
10,0,True,True,12,False,13,True,active,2020-08-20 18:46:26+00:00,0,7,13,0,,,2020-08-20 18:47:20,2020
11,0,True,True,24,False,14,True,active,2020-08-20 18:37:50+00:00,0,1,14,0,,,2020-08-20 18:47:20,2020
12,0,True,True,11,False,15,True,active,2020-08-20 17:41:19+00:00,0,4,15,0,,,2020-08-20 18:47:20,2020
13,0,True,True,7,True,16,True,active,2020-08-20 18:03:23+00:00,0,12,16,0,,,2020-08-20 18:47:20,2020
14,0,True,True,0,False,17,True,active,2020-08-20 18:44:41+00:00,2,13,17,0,,,2020-08-20 18:47:20,2020
15,0,True,True,3,False,19,True,active,2020-08-20 16:19:04+00:00,0,12,19,0,,,2020-08-20 18:47:20,2020
16,0,True,True,4,True,20,True,active,2020-08-20 18:40:48+00:00,0,19,20,0,,,2020-08-20 18:47:20,2020
17,0,True,True,3,True,21,True,active,2020-08-20 17:49:37+00:00,0,15,21,0,,,2020-08-20 18:47:20,2020
18,0,True,True,19,True,22,True,active,2020-08-20 18:46:53+00:00,0,28,22,0,,,2020-08-20 18:47:20,2020
19,0,True,True,13,False,23,True,active,2020-08-20 18:45:54+00:00,0,8,23,0,,,2020-08-20 18:47:20,2020
20,0,True,True,15,False,24,True,active,2020-08-20 18:42:13+00:00,1,3,24,0,,,2020-08-20 18:47:20,2020
21,0,True,True,8,False,25,True,active,2020-08-20 18:22:52+00:00,0,7,25,0,,,2020-08-20 18:47:20,2020
22,0,True,True,3,False,26,True,active,2020-08-20 18:39:59+00:00,2,10,26,0,,,2020-08-20 18:47:20,2020
23,0,True,True,15,False,27,True,active,2020-08-20 18:34:25+00:00,0,8,27,0,,,2020-08-20 18:47:20,2020
24,0,True,True,5,False,29,True,active,2020-08-20 17:17:02+00:00,1,9,29,0,,,2020-08-20 18:47:20,2020
25,0,True,True,9,False,30,True,active,2020-08-20 18:45:51+00:00,0,6,30,0,,,2020-08-20 18:47:20,2020
26,0,True,True,0,True,31,True,active,2020-08-20 17:26:50+00:00,0,19,31,0,,,2020-08-20 18:47:20,2020
27,0,True,True,14,False,32,True,active,2020-08-20 18:32:51+00:00,1,0,32,0,,,2020-08-20 18:47:20,2020
28,0,True,True,24,False,33,True,active,2020-08-20 18:47:15+00:00,0,3,33,0,,,2020-08-20 18:47:20,2020
29,0,True,True,17,False,35,True,active,2020-08-20 18:30:40+00:00,1,5,35,0,,,2020-08-20 18:47:20,2020
30,0,True,True,24,True,36,True,active,2020-08-20 18:35:47+00:00,0,9,36,0,,,2020-08-20 18:47:20,2020
31,0,True,True,12,True,37,True,active,2020-08-20 18:07:21+00:00,0,3,37,0,,,2020-08-20 18:47:20,2020
32,0,True,True,4,False,39,True,active,2020-08-20 18:34:47+00:00,0,19,39,0,,,2020-08-20 18:47:20,2020
33,0,True,True,2,False,40,True,active,2020-08-20 18:38:21+00:00,0,17,40,0,,,2020-08-20 18:47:20,2020
34,0,True,True,5,True,41,True,active,2020-08-20 18:25:08+00:00,1,21,41,0,,,2020-08-20 18:47:20,2020
35,0,True,True,11,False,42,True,active,2020-08-20 18:45:42+00:00,2,10,42,0,,,2020-08-20 18:47:20,2020
36,0,True,True,13,True,43,True,active,2020-08-20 18:31:20+00:00,0,2,43,0,,,2020-08-20 18:47:20,2020
37,0,True,True,13,False,44,True,active,2020-08-20 17:52:25+00:00,0,10,44,0,,,2020-08-20 18:47:20,2020
38,0,True,True,5,False,46,True,active,2020-08-20 18:47:16+00:00,0,14,46,0,,,2020-08-20 18:47:20,2020
39,0,True,True,0,True,47,True,active,2020-08-20 18:45:23+00:00,0,19,47,0,,,2020-08-20 18:47:20,2020
40,0,True,True,14,False,48,True,active,2020-08-20 18:46:04+00:00,0,5,48,0,,,2020-08-20 18:47:20,2020
41,0,True,True,16,False,49,True,active,2020-08-20 17:49:18+00:00,2,0,49,0,,,2020-08-20 18:47:20,2020
42,0,True,True,6,True,50,True,active,2020-08-20 16:52:21+00:00,1,8,50,0,,,2020-08-20 18:47:20,2020
43,0,True,True,13,False,51,True,active,2020-08-20 18:45:15+00:00,1,1,51,0,,,2020-08-20 18:47:20,2020
44,0,True,True,17,True,52,True,active,2020-08-20 18:44:03+00:00,0,6,52,0,,,2020-08-20 18:47:20,2020
45,0,True,True,4,False,53,True,active,2020-08-20 18:45:35+00:00,0,15,53,0,,,2020-08-20 18:47:20,2020
46,0,True,True,3,False,54,True,active,2020-08-20 18:44:59+00:00,0,12,54,0,,,2020-08-20 18:47:20,2020
47,0,True,True,2,False,55,True,active,2020-08-20 18:34:27+00:00,2,11,55,0,,,2020-08-20 18:47:20,2020
48,0,True,True,7,False,56,True,active,2020-08-20 18:22:58+00:00,0,11,56,0,,,2020-08-20 18:47:20,2020
49,0,True,True,0,True,57,True,active,2020-08-20 18:37:46+00:00,0,14,57,0,,,2020-08-20 18:47:20,2020
50,0,True,True,1,True,58,True,active,2020-08-20 18:22:56+00:00,1,17,58,0,,,2020-08-20 18:47:20,2020
51,0,True,True,15,True,59,True,active,2020-08-20 18:20:10+00:00,0,4,59,0,,,2020-08-20 18:47:20,2020
52,0,True,True,6,False,60,True,active,2020-08-20 18:38:06+00:00,1,12,60,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'dock_blocked_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'valet_revision': 85, 'active': True, 'off_dock_count': 32}",2020-08-20 18:47:20,2020
53,0,True,True,6,False,61,True,active,2020-08-20 18:46:47+00:00,1,12,61,0,,,2020-08-20 18:47:20,2020
54,0,True,True,4,False,63,True,active,2020-08-20 18:38:30+00:00,0,11,63,0,,,2020-08-20 18:47:20,2020
55,0,True,True,16,False,64,True,active,2020-08-20 18:20:47+00:00,0,3,64,0,,,2020-08-20 18:47:20,2020
56,0,True,True,6,False,65,True,active,2020-08-20 12:51:35+00:00,0,17,65,0,,,2020-08-20 18:47:20,2020
57,0,True,True,2,False,66,True,active,2020-08-20 18:44:52+00:00,0,13,66,0,,,2020-08-20 18:47:20,2020
58,0,True,True,18,True,67,True,active,2020-08-20 18:45:25+00:00,0,9,67,0,,,2020-08-20 18:47:20,2020
59,0,True,True,18,True,68,True,active,2020-08-20 18:46:31+00:00,1,0,68,0,,,2020-08-20 18:47:20,2020
60,0,True,True,7,True,69,True,active,2020-08-20 18:15:17+00:00,0,12,69,0,,,2020-08-20 18:47:20,2020
61,0,True,True,19,False,70,True,active,2020-08-20 17:52:02+00:00,0,4,70,0,,,2020-08-20 18:47:20,2020
62,0,True,True,16,False,71,True,active,2020-08-20 18:41:45+00:00,1,6,71,0,,,2020-08-20 18:47:20,2020
63,0,True,True,10,False,72,True,active,2020-08-20 18:38:11+00:00,0,13,72,0,,,2020-08-20 18:47:20,2020
64,0,True,True,5,False,73,True,active,2020-08-20 18:45:24+00:00,0,10,73,0,,,2020-08-20 18:47:20,2020
65,0,True,True,14,True,74,True,active,2020-08-20 18:43:28+00:00,0,5,74,0,,,2020-08-20 18:47:20,2020
66,0,True,True,5,False,75,True,active,2020-08-20 18:35:18+00:00,0,10,75,0,,,2020-08-20 18:47:20,2020
