,station_status,is_renting,is_returning,last_reported,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_available,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,active,True,True,2020-08-18 17:25:36+00:00,False,56,1,0,56,9,0,8,True,,,2020-08-18 18:03:00,2020
49,active,True,True,2020-08-18 17:56:09+00:00,True,57,0,0,57,9,0,5,True,,,2020-08-18 18:03:00,2020
50,active,True,True,2020-08-18 17:07:35+00:00,True,58,2,0,58,16,0,1,True,,,2020-08-18 18:03:00,2020
51,active,True,True,2020-08-18 17:41:25+00:00,True,59,0,0,59,15,0,4,True,,,2020-08-18 18:03:00,2020
52,active,True,True,2020-08-18 18:02:22+00:00,False,60,0,0,60,18,0,1,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'region': 'BOS', 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 81, 'off_dock_count': 36, 'off_dock_capacity': 40}",2020-08-18 18:03:00,2020
53,active,True,True,2020-08-18 17:58:23+00:00,False,61,0,0,61,10,0,9,True,,,2020-08-18 18:03:00,2020
54,active,True,True,2020-08-18 17:10:01+00:00,False,63,0,0,63,2,0,13,True,,,2020-08-18 18:03:00,2020
55,active,True,True,2020-08-18 17:44:51+00:00,False,64,0,0,64,5,0,14,True,,,2020-08-18 18:03:00,2020
56,active,True,True,2020-08-18 14:51:46+00:00,False,65,0,0,65,20,0,3,True,,,2020-08-18 18:03:00,2020
57,active,True,True,2020-08-18 17:55:25+00:00,False,66,1,0,66,14,0,0,True,,,2020-08-18 18:03:00,2020
58,active,True,True,2020-08-18 17:52:19+00:00,True,67,1,0,67,1,0,25,True,,,2020-08-18 18:03:00,2020
59,active,True,True,2020-08-18 17:59:27+00:00,True,68,0,0,68,1,0,18,True,,,2020-08-18 18:03:00,2020
60,active,True,True,2020-08-18 18:02:25+00:00,True,69,0,0,69,10,0,9,True,,,2020-08-18 18:03:00,2020
61,active,True,True,2020-08-18 17:30:30+00:00,False,70,0,0,70,10,0,13,True,,,2020-08-18 18:03:00,2020
62,active,True,True,2020-08-18 17:51:45+00:00,False,71,0,0,71,13,0,10,True,,,2020-08-18 18:03:00,2020
63,active,True,True,2020-08-18 17:50:28+00:00,False,72,0,0,72,9,0,14,True,,,2020-08-18 18:03:00,2020
64,active,True,True,2020-08-18 18:02:26+00:00,False,73,2,0,73,10,0,3,True,,,2020-08-18 18:03:00,2020
65,active,True,True,2020-08-18 17:57:05+00:00,True,74,1,0,74,0,0,18,True,,,2020-08-18 18:03:00,2020
66,active,True,True,2020-08-18 17:43:40+00:00,False,75,1,0,75,9,0,5,True,,,2020-08-18 18:03:00,2020
67,active,True,True,2020-08-18 18:01:02+00:00,False,76,0,0,76,12,0,5,True,,,2020-08-18 18:03:00,2020
68,active,True,True,2020-08-18 16:39:43+00:00,False,77,0,0,77,11,0,4,True,,,2020-08-18 18:03:00,2020
69,active,True,True,2020-08-18 17:56:08+00:00,False,78,1,0,78,5,0,13,True,,,2020-08-18 18:03:00,2020
70,active,True,True,2020-08-18 17:53:31+00:00,False,79,0,0,79,10,0,9,True,,,2020-08-18 18:03:00,2020
71,active,True,True,2020-08-18 18:02:46+00:00,False,80,0,0,80,6,0,29,True,,,2020-08-18 18:03:00,2020
72,active,True,True,2020-08-18 18:02:26+00:00,False,81,2,0,81,11,0,6,True,,,2020-08-18 18:03:00,2020
73,active,True,True,2020-08-18 17:21:34+00:00,False,82,1,0,82,12,0,2,True,,,2020-08-18 18:03:00,2020
74,active,True,True,2020-08-18 17:51:49+00:00,False,84,1,0,84,3,0,11,True,,,2020-08-18 18:03:00,2020
75,active,True,True,2020-08-18 17:36:50+00:00,False,85,1,0,85,3,0,15,True,,,2020-08-18 18:03:00,2020
76,active,True,True,2020-08-18 17:29:03+00:00,False,86,0,0,86,16,0,3,True,,,2020-08-18 18:03:00,2020
77,active,True,True,2020-08-18 17:56:57+00:00,False,87,0,0,87,10,0,5,True,,,2020-08-18 18:03:00,2020
78,active,True,True,2020-08-18 17:44:35+00:00,False,89,0,0,89,12,0,7,True,,,2020-08-18 18:03:00,2020
79,active,True,True,2020-08-18 18:02:47+00:00,False,90,0,0,90,15,0,4,True,,,2020-08-18 18:03:00,2020
80,active,True,True,2020-08-18 17:28:28+00:00,False,91,1,0,91,1,0,17,True,,,2020-08-18 18:03:00,2020
81,active,True,True,2020-08-18 16:50:17+00:00,False,92,1,0,92,2,0,16,True,,,2020-08-18 18:03:00,2020
82,active,True,True,2020-08-18 15:51:22+00:00,False,93,2,0,93,5,0,8,True,,,2020-08-18 18:03:00,2020
83,active,True,True,2020-08-18 17:22:38+00:00,False,94,0,0,94,5,0,6,True,,,2020-08-18 18:03:00,2020
84,active,True,True,2020-08-18 17:35:25+00:00,False,95,2,0,95,7,0,6,True,,,2020-08-18 18:03:00,2020
85,active,True,True,2020-08-18 17:29:52+00:00,False,96,0,0,96,7,0,12,True,,,2020-08-18 18:03:00,2020
86,active,True,True,2020-08-18 17:53:45+00:00,False,97,1,0,97,16,0,2,True,,,2020-08-18 18:03:00,2020
87,active,True,True,2020-08-18 17:28:38+00:00,False,98,0,0,98,21,0,2,True,,,2020-08-18 18:03:00,2020
88,active,True,True,2020-08-18 17:40:44+00:00,False,99,1,0,99,0,0,14,True,,,2020-08-18 18:03:00,2020
89,active,True,True,2020-08-18 17:56:42+00:00,True,100,0,0,100,13,0,12,True,,,2020-08-18 18:03:00,2020
90,active,True,True,2020-08-18 12:46:30+00:00,False,101,0,0,101,10,0,5,True,,,2020-08-18 18:03:00,2020
91,active,True,True,2020-08-18 17:54:44+00:00,False,102,0,0,102,12,0,3,True,,,2020-08-18 18:03:00,2020
