,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
45,False,12,active,2020-08-10 01:33:35+00:00,0,True,True,53,1,53,6,True,0,2020-08-10 01:41:50,2020
46,False,12,active,2020-08-10 01:37:42+00:00,0,True,True,54,0,54,3,True,0,2020-08-10 01:41:50,2020
47,False,11,active,2020-08-10 01:26:15+00:00,0,True,True,55,1,55,3,True,0,2020-08-10 01:41:50,2020
48,True,5,active,2020-08-10 01:34:40+00:00,0,True,True,56,0,56,13,True,0,2020-08-10 01:41:50,2020
49,True,4,active,2020-08-10 01:03:40+00:00,0,True,True,57,1,57,9,True,0,2020-08-10 01:41:50,2020
50,True,14,active,2020-08-10 00:22:00+00:00,0,True,True,58,3,58,2,True,0,2020-08-10 01:41:50,2020
51,True,0,active,2020-08-10 01:14:28+00:00,0,True,True,59,0,59,19,True,0,2020-08-10 01:41:50,2020
52,False,9,active,2020-08-10 01:08:17+00:00,0,True,True,60,1,60,9,True,0,2020-08-10 01:41:50,2020
53,False,8,active,2020-08-10 01:34:08+00:00,0,True,True,61,2,61,9,True,0,2020-08-10 01:41:50,2020
54,False,6,active,2020-08-10 00:52:25+00:00,0,True,True,63,2,63,7,True,0,2020-08-10 01:41:50,2020
55,False,2,active,2020-08-10 00:55:38+00:00,0,True,True,64,0,64,17,True,0,2020-08-10 01:41:50,2020
56,False,4,active,2020-08-10 01:08:16+00:00,0,True,True,65,0,65,19,True,0,2020-08-10 01:41:50,2020
57,False,7,active,2020-08-10 01:24:12+00:00,0,True,True,66,0,66,8,True,0,2020-08-10 01:41:50,2020
58,True,5,active,2020-08-10 01:37:54+00:00,0,True,True,67,1,67,21,True,0,2020-08-10 01:41:50,2020
59,True,14,active,2020-08-10 01:37:03+00:00,0,True,True,68,1,68,4,True,0,2020-08-10 01:41:50,2020
60,True,7,active,2020-08-10 01:37:38+00:00,0,True,True,69,0,69,12,True,0,2020-08-10 01:41:50,2020
61,False,13,active,2020-08-10 01:06:49+00:00,0,True,True,70,0,70,10,True,0,2020-08-10 01:41:50,2020
62,False,21,active,2020-08-10 01:03:35+00:00,0,True,True,71,0,71,2,True,0,2020-08-10 01:41:50,2020
63,False,2,active,2020-08-10 01:29:33+00:00,0,True,True,72,0,72,21,True,0,2020-08-10 01:41:50,2020
64,False,12,active,2020-08-10 01:25:29+00:00,0,True,True,73,0,73,3,True,0,2020-08-10 01:41:50,2020
65,True,18,active,2020-08-10 01:23:22+00:00,0,True,True,74,1,74,0,True,0,2020-08-10 01:41:50,2020
66,False,6,active,2020-08-10 01:23:07+00:00,0,True,True,75,0,75,9,True,0,2020-08-10 01:41:50,2020
67,False,8,active,2020-08-10 01:36:21+00:00,0,True,True,76,0,76,9,True,0,2020-08-10 01:41:50,2020
68,False,1,active,2020-08-10 01:35:04+00:00,0,True,True,77,1,77,13,True,0,2020-08-10 01:41:50,2020
69,False,0,active,2020-08-10 00:49:55+00:00,0,True,True,78,0,78,19,True,0,2020-08-10 01:41:50,2020
70,False,15,active,2020-08-10 01:41:38+00:00,0,True,True,79,3,79,1,True,0,2020-08-10 01:41:50,2020
71,False,1,active,2020-08-10 01:23:57+00:00,0,True,True,80,0,80,34,True,0,2020-08-10 01:41:50,2020
72,False,0,active,2020-08-10 01:11:11+00:00,0,True,True,81,0,81,19,True,0,2020-08-10 01:41:50,2020
73,False,3,active,2020-08-10 00:23:32+00:00,0,True,True,82,0,82,12,True,0,2020-08-10 01:41:50,2020
74,False,4,active,2020-08-10 01:39:15+00:00,0,True,True,84,0,84,11,True,0,2020-08-10 01:41:50,2020
75,False,8,active,2020-08-10 00:30:38+00:00,0,True,True,85,0,85,11,True,0,2020-08-10 01:41:50,2020
76,False,3,active,2020-08-10 01:33:34+00:00,0,True,True,86,0,86,16,True,0,2020-08-10 01:41:50,2020
77,False,5,active,2020-08-10 01:26:53+00:00,0,True,True,87,0,87,10,True,0,2020-08-10 01:41:50,2020
78,False,13,active,2020-08-10 01:30:59+00:00,0,True,True,89,0,89,6,True,0,2020-08-10 01:41:50,2020
