,is_renting,is_returning,legacy_id,num_ebikes_available,station_status,num_docks_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_id,num_bikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,True,True,49,0,active,14,0,True,2020-08-13 22:26:36+00:00,0,49,4,False,,,2020-08-13 22:29:40,2020
42,True,True,50,0,active,15,0,True,2020-08-13 22:28:12+00:00,0,50,0,True,,,2020-08-13 22:29:40,2020
43,True,True,51,0,active,10,0,True,2020-08-13 22:27:28+00:00,0,51,5,False,,,2020-08-13 22:29:40,2020
44,True,True,52,0,active,10,0,True,2020-08-13 22:23:05+00:00,0,52,13,True,,,2020-08-13 22:29:40,2020
45,True,True,53,0,active,4,1,True,2020-08-13 22:25:55+00:00,0,53,14,False,,,2020-08-13 22:29:40,2020
46,True,True,54,0,active,3,0,True,2020-08-13 22:19:41+00:00,0,54,12,False,,,2020-08-13 22:29:40,2020
47,True,True,55,0,active,6,1,True,2020-08-13 22:23:37+00:00,0,55,8,False,,,2020-08-13 22:29:40,2020
48,True,True,56,0,active,16,1,True,2020-08-13 22:26:16+00:00,0,56,1,True,,,2020-08-13 22:29:40,2020
49,True,True,57,0,active,3,1,True,2020-08-13 22:29:36+00:00,0,57,10,True,,,2020-08-13 22:29:40,2020
50,True,True,58,0,active,8,1,True,2020-08-13 22:28:53+00:00,0,58,10,True,,,2020-08-13 22:29:40,2020
51,True,True,59,0,active,4,0,True,2020-08-13 22:06:02+00:00,0,59,15,True,,,2020-08-13 22:29:40,2020
52,True,True,60,0,active,9,0,True,2020-08-13 22:29:20+00:00,0,60,10,False,,,2020-08-13 22:29:40,2020
53,True,True,61,0,active,11,0,True,2020-08-13 22:28:34+00:00,0,61,8,False,,,2020-08-13 22:29:40,2020
54,True,True,63,0,active,10,0,True,2020-08-13 21:27:25+00:00,0,63,5,False,,,2020-08-13 22:29:40,2020
55,True,True,64,0,active,7,2,True,2020-08-13 22:09:13+00:00,0,64,10,False,,,2020-08-13 22:29:40,2020
56,True,True,65,0,active,20,0,True,2020-08-13 22:19:43+00:00,0,65,3,False,,,2020-08-13 22:29:40,2020
57,True,True,66,0,active,11,1,True,2020-08-13 22:24:41+00:00,0,66,3,False,,,2020-08-13 22:29:40,2020
58,True,True,67,0,active,12,5,True,2020-08-13 22:28:46+00:00,0,67,10,True,,,2020-08-13 22:29:40,2020
59,True,True,68,0,active,4,1,True,2020-08-13 22:29:06+00:00,0,68,14,True,,,2020-08-13 22:29:40,2020
60,True,True,69,0,active,7,0,True,2020-08-13 22:29:09+00:00,0,69,12,True,,,2020-08-13 22:29:40,2020
61,True,True,70,0,active,7,0,True,2020-08-13 22:20:36+00:00,0,70,16,False,,,2020-08-13 22:29:40,2020
62,True,True,71,0,active,6,1,True,2020-08-13 22:15:58+00:00,0,71,16,False,,,2020-08-13 22:29:40,2020
63,True,True,72,0,active,5,0,True,2020-08-13 22:23:02+00:00,0,72,18,False,,,2020-08-13 22:29:40,2020
64,True,True,73,0,active,7,1,True,2020-08-13 22:22:26+00:00,0,73,7,False,,,2020-08-13 22:29:40,2020
65,True,True,74,0,active,14,1,True,2020-08-13 22:26:39+00:00,0,74,4,True,,,2020-08-13 22:29:40,2020
66,True,True,75,0,active,10,0,True,2020-08-13 22:28:18+00:00,0,75,5,False,,,2020-08-13 22:29:40,2020
67,True,True,76,0,active,12,1,True,2020-08-13 22:28:51+00:00,0,76,4,False,,,2020-08-13 22:29:40,2020
68,True,True,77,0,active,4,1,True,2020-08-13 22:07:29+00:00,0,77,10,False,,,2020-08-13 22:29:40,2020
69,True,True,78,0,active,9,0,True,2020-08-13 22:24:22+00:00,0,78,10,False,,,2020-08-13 22:29:40,2020
70,True,True,79,0,active,9,3,True,2020-08-13 22:25:21+00:00,0,79,7,False,,,2020-08-13 22:29:40,2020
71,True,True,80,0,active,24,2,True,2020-08-13 22:29:12+00:00,0,80,9,False,,,2020-08-13 22:29:40,2020
72,True,True,81,0,active,3,2,True,2020-08-13 22:28:15+00:00,0,81,14,False,,,2020-08-13 22:29:40,2020
73,True,True,82,0,active,14,0,True,2020-08-13 22:19:56+00:00,0,82,1,False,,,2020-08-13 22:29:40,2020
74,True,True,84,0,active,5,0,True,2020-08-13 22:11:46+00:00,0,84,10,False,,,2020-08-13 22:29:40,2020
75,True,True,85,0,active,13,0,True,2020-08-13 22:22:28+00:00,0,85,6,False,,,2020-08-13 22:29:40,2020
76,True,True,86,0,active,0,0,True,2020-08-13 22:26:10+00:00,0,86,19,False,,,2020-08-13 22:29:40,2020
77,True,True,87,0,active,5,0,True,2020-08-13 22:22:03+00:00,0,87,10,False,,,2020-08-13 22:29:40,2020
78,True,True,89,0,active,7,0,True,2020-08-13 22:22:44+00:00,0,89,12,False,,,2020-08-13 22:29:40,2020
79,True,True,90,0,active,9,1,True,2020-08-13 22:21:48+00:00,0,90,9,False,,,2020-08-13 22:29:40,2020
80,True,True,91,0,active,15,0,True,2020-08-13 22:29:05+00:00,0,91,4,False,,,2020-08-13 22:29:40,2020
81,True,True,92,0,active,9,0,True,2020-08-13 22:29:15+00:00,0,92,10,False,,,2020-08-13 22:29:40,2020
82,True,True,93,0,active,3,0,True,2020-08-13 22:16:27+00:00,0,93,12,False,,,2020-08-13 22:29:40,2020
83,True,True,94,0,active,11,0,True,2020-08-13 22:21:18+00:00,0,94,0,False,,,2020-08-13 22:29:40,2020
84,True,True,95,0,active,5,1,True,2020-08-13 22:28:28+00:00,0,95,9,False,,,2020-08-13 22:29:40,2020
85,True,True,96,0,active,6,0,True,2020-08-13 22:28:45+00:00,0,96,13,False,,,2020-08-13 22:29:40,2020
86,True,True,97,0,active,9,1,True,2020-08-13 22:29:03+00:00,0,97,9,False,,,2020-08-13 22:29:40,2020
87,True,True,98,0,active,16,0,True,2020-08-13 22:02:20+00:00,0,98,7,False,,,2020-08-13 22:29:40,2020
88,True,True,99,0,active,4,0,True,2020-08-13 22:21:05+00:00,0,99,11,False,,,2020-08-13 22:29:40,2020
89,True,True,100,0,active,6,1,True,2020-08-13 22:25:35+00:00,0,100,18,True,,,2020-08-13 22:29:40,2020
90,True,True,101,0,active,4,0,True,2020-08-13 21:27:28+00:00,0,101,11,False,,,2020-08-13 22:29:40,2020
91,True,True,102,0,active,7,0,True,2020-08-13 22:04:13+00:00,0,102,8,False,,,2020-08-13 22:29:40,2020
92,True,True,103,0,active,11,0,True,2020-08-13 22:21:01+00:00,0,103,4,False,,,2020-08-13 22:29:40,2020
93,True,True,104,0,active,12,0,True,2020-08-13 21:34:53+00:00,0,104,7,False,,,2020-08-13 22:29:40,2020
94,True,True,105,0,active,15,0,True,2020-08-13 22:28:25+00:00,0,105,4,False,,,2020-08-13 22:29:40,2020
95,True,True,106,0,active,13,1,True,2020-08-13 20:48:01+00:00,0,106,1,False,,,2020-08-13 22:29:40,2020
96,True,True,107,0,active,19,0,True,2020-08-13 22:23:21+00:00,0,107,0,False,,,2020-08-13 22:29:40,2020
97,True,True,108,0,active,12,0,True,2020-08-13 21:29:22+00:00,0,108,5,False,,,2020-08-13 22:29:40,2020
98,True,True,109,0,active,34,0,True,2020-08-13 22:24:34+00:00,0,109,1,False,,,2020-08-13 22:29:40,2020
99,True,True,110,0,active,12,0,True,2020-08-13 22:15:34+00:00,0,110,3,False,,,2020-08-13 22:29:40,2020
100,True,True,111,0,active,10,0,True,2020-08-13 20:59:12+00:00,0,111,5,False,,,2020-08-13 22:29:40,2020
101,True,True,112,0,active,3,0,True,2020-08-13 22:16:08+00:00,0,112,12,False,,,2020-08-13 22:29:40,2020
102,True,True,113,0,active,8,0,True,2020-08-13 22:27:28+00:00,0,113,7,False,,,2020-08-13 22:29:40,2020
103,True,True,114,0,active,12,1,True,2020-08-13 22:17:28+00:00,0,114,2,False,,,2020-08-13 22:29:40,2020
104,True,True,115,0,active,6,3,True,2020-08-13 22:21:17+00:00,0,115,10,False,,,2020-08-13 22:29:40,2020
105,True,True,116,0,active,15,0,True,2020-08-13 22:19:27+00:00,0,116,8,False,,,2020-08-13 22:29:40,2020
106,True,True,117,0,active,19,0,True,2020-08-13 22:20:12+00:00,0,117,0,False,,,2020-08-13 22:29:40,2020
107,True,True,118,0,active,12,1,True,2020-08-13 22:26:28+00:00,0,118,6,False,,,2020-08-13 22:29:40,2020
108,True,True,119,0,active,11,0,True,2020-08-13 22:25:05+00:00,0,119,4,False,,,2020-08-13 22:29:40,2020
109,True,True,120,0,active,9,0,True,2020-08-13 22:23:43+00:00,0,120,6,False,,,2020-08-13 22:29:40,2020
110,True,True,121,0,active,7,0,True,2020-08-13 22:20:57+00:00,0,121,10,False,,,2020-08-13 22:29:40,2020
111,True,True,122,0,active,7,0,True,2020-08-13 22:08:22+00:00,0,122,8,False,,,2020-08-13 22:29:40,2020
112,True,True,124,0,active,9,1,True,2020-08-13 21:45:03+00:00,0,124,5,False,,,2020-08-13 22:29:40,2020
113,True,True,125,0,active,12,1,True,2020-08-13 22:15:20+00:00,0,125,2,False,,,2020-08-13 22:29:40,2020
114,True,True,126,0,active,6,1,True,2020-08-13 21:05:38+00:00,0,126,8,False,,,2020-08-13 22:29:40,2020
115,True,True,128,0,active,9,0,True,2020-08-13 22:18:28+00:00,0,128,10,False,,,2020-08-13 22:29:40,2020
116,True,True,129,0,active,3,0,True,2020-08-13 22:08:49+00:00,0,129,16,False,,,2020-08-13 22:29:40,2020
117,True,True,130,0,active,6,0,True,2020-08-13 22:28:40+00:00,0,130,9,False,,,2020-08-13 22:29:40,2020
118,True,True,131,0,active,10,2,True,2020-08-13 22:19:43+00:00,0,131,6,False,,,2020-08-13 22:29:40,2020
119,True,True,133,0,active,16,0,True,2020-08-13 22:21:26+00:00,0,133,7,False,,,2020-08-13 22:29:40,2020
120,True,True,135,0,active,16,0,True,2020-08-13 20:55:32+00:00,0,135,1,False,,,2020-08-13 22:29:40,2020
121,True,True,136,0,active,13,1,True,2020-08-13 22:29:02+00:00,0,136,5,False,,,2020-08-13 22:29:40,2020
122,True,True,137,0,active,7,0,True,2020-08-13 22:20:11+00:00,0,137,8,False,,,2020-08-13 22:29:40,2020
123,True,True,138,0,active,3,2,True,2020-08-13 22:10:30+00:00,0,138,10,False,,,2020-08-13 22:29:40,2020
124,True,True,139,0,active,15,1,True,2020-08-13 22:27:26+00:00,0,139,3,False,,,2020-08-13 22:29:40,2020
125,True,True,140,0,active,2,0,True,2020-08-13 22:19:08+00:00,0,140,15,False,,,2020-08-13 22:29:40,2020
126,True,True,141,0,active,2,0,True,2020-08-13 22:22:57+00:00,0,141,13,False,,,2020-08-13 22:29:40,2020
127,True,True,142,0,active,7,1,True,2020-08-13 22:24:03+00:00,0,142,15,False,,,2020-08-13 22:29:40,2020
128,True,True,143,0,active,9,1,True,2020-08-13 21:33:59+00:00,0,143,13,False,,,2020-08-13 22:29:40,2020
129,True,True,144,0,active,10,0,True,2020-08-13 22:29:37+00:00,0,144,9,False,,,2020-08-13 22:29:40,2020
130,True,True,145,0,active,2,0,True,2020-08-13 20:23:39+00:00,0,145,17,False,,,2020-08-13 22:29:40,2020
131,True,True,146,0,active,17,1,True,2020-08-13 22:21:42+00:00,0,146,1,False,,,2020-08-13 22:29:40,2020
132,True,True,149,0,active,14,1,True,2020-08-13 22:28:56+00:00,0,149,3,True,,,2020-08-13 22:29:40,2020
133,True,True,150,0,active,9,1,True,2020-08-13 22:27:47+00:00,0,150,9,False,,,2020-08-13 22:29:40,2020
134,True,True,151,0,active,12,2,True,2020-08-13 22:28:20+00:00,0,151,5,False,,,2020-08-13 22:29:40,2020
135,True,True,152,0,active,6,0,True,2020-08-13 21:51:22+00:00,0,152,9,True,,,2020-08-13 22:29:40,2020
136,True,True,156,0,active,8,0,True,2020-08-13 21:23:33+00:00,0,156,7,False,,,2020-08-13 22:29:40,2020
137,True,True,157,0,active,9,1,True,2020-08-13 22:24:51+00:00,0,157,5,False,,,2020-08-13 22:29:40,2020
138,True,True,159,0,active,6,0,True,2020-08-13 21:59:28+00:00,0,159,9,False,,,2020-08-13 22:29:40,2020
139,True,True,160,0,active,0,0,True,2020-08-13 22:29:37+00:00,0,160,14,True,,,2020-08-13 22:29:40,2020
140,True,True,161,0,active,11,2,True,2020-08-13 22:27:45+00:00,0,161,10,True,,,2020-08-13 22:29:40,2020
141,True,True,162,0,active,12,0,True,2020-08-13 21:13:06+00:00,0,162,3,False,,,2020-08-13 22:29:40,2020
142,True,True,163,0,active,6,0,True,2020-08-13 22:27:11+00:00,0,163,13,True,,,2020-08-13 22:29:40,2020
